,index,english,translated_from_finnish,translated_from_dutch,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
66,1481,"Tomorrow, he will land on the moon.",Huomenna hän laskeutuu kuuhun.,Tomorrow he'll land on the moon. | Tomorrow he'll land on the moon.,"Demain, il va alunir. | Demain, il va se poser sur la lune.",Morgen wird er auf dem Mond landen.,ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று ஞாயிற்றுக்கிழமையன்று.,Domani přistane na Měsíci. | Domani lui přistane na Měsíci.,明日、彼は月着陸する。,明天他将登上月球。 明天他将登上月球。,Jutro wyląduje na księżycu. | Jutro wyląduje na Księżycu.,अमानhã ele irá aterrissar na lua.,Завтра он прилунится. | Завтра он приземлится на Луне.,"Mañana, alunizará.","Yarın, aya inecek.",Завтра он висадиться на Місяці.
67,1482,I don't speak Japanese.,En puhu japania.,I don't speak Japanese.,Je ne parle pas japonais. | Je ne parle pas le japonais.,Ich spreche kein Japanisch. | Ich spreche nicht Japanisch.,私は日本語を話さない | 彼女は日本語を話している。,Ne parlo giapponese. | Io non parlo giapponese. | Non parlo il giapponese. | Io non parlo il giapponese.,I can't speak Japanese.,我不会讲日本话。 | 我不說日語。,Nie mówię po japońsku.,Eu não falo japonês. | Não falo japonês.,Я не говорю по-японски.,No hablo japonés. | Yo no hablo japonés. | No sé hablar japonés.,ജപ്പാന് കാ സംസാരിക്കുന്നില്ല.,Я не розмовляю японский.
68,1484,Nobody understands me.,Kukaan ei అర్థం నాకు.,Nobody understands me.,Personne ne me comprend.,Nikdo mě nepochopí.,Nikdo mě nechápe. Nikdo mě nechápe. Nikdo mě nechápe. Nikdo mě nechápe.,Nessuno mi capisce.,Nobody knows me. | Nobody knows me.,Nobody understands me. | Nobody understands me. | Nobody understands me.,Nikt nie rozumie mnie. | Nikt mnie nie rozumie.,Ninguém me entende. | Ninguém me understande.,Nikdo mě не rozumí. | Mě nikdo не rozumí.,මට තේරෙන්නෙ නෑ.,| 誰もが私を知らない。,මට තේරෙන්නෙ නෑ.
69,1485,I learned to live without her.,Opin elämään ilman häntä.,I've learned to live without her. | I've learned to live without her.,J'ai appris à vivre sans elle. | J'ai appris à vivre sans elle.,"Ich habe gelernt, ohne sie zu leben.",למדתי לחיות בלעדיה.,I learned a vivere senza di lei. | 私が学んだのは、生活 senza di lei。,I learned the art of living without her.,我学会了不靠她生活。,Nauczyłem się żyć bez niej.,Já jsem se naučila žít sem ela.,Naučil jsem se žít bez ní.,Aprendí a vivir sin ella.,Onsuz yaşamayı öğrendim.,私は彼女なしに生きることを学びました. | 私は彼女なしに生きることを学びました.
70,1487,I have too many things on my mind these days.,Minulla on liian monta asiaa mielessäni nykyään.,I have too many things in my head right now.,මට මේ දවස් වල ඔලුවේ ගොඩක් දේවල් තියෙනවා.,Mir gehen in diesen Tagen zu vielen Dinge durch den Kopf.,මට මේ වෙලාවේ ඔළුව උඩ වැඩියි.,Ho troppe cose per la testa in questi giorni.,最近考えることが多過ぎる。,There are too many things in my head in these days.,Mám poslední dobou moc věcí na hlavě.,V posledních dnech mám spoustu věcí na hlavě.,В последние дни у меня крутится куча вещей в голове.,Mám demasiadas things en la cabeza estos días.,Bu günlerde aklımda çok fazla şey var.,В цi днi у своïй головi я тримаю очень много справ.
71,1488,I just wanted to check my email.,Halusin vain lukea sähköpostini.,I just wanted to check my email.,我想检查一下我的电子邮件。 我想检查一下我的电子邮件。,Ich wollte nur meine E-Mails abrufen.,I just wanted to check my email. | I just wanted to check my email. | I just wanted to check if I have mail. | I just wanted to check your email.,Volevo solo controllare la mia posta elettronica.,email checkしたかっただけ.,I just want to check一下我的電子メール.,Chciałem tylko sprawdzić pocztę.,Eu só queria checar o meu e-mail. | Eu só queria checar meu e-mail.,メールボックスの確認 | Я просто хотел проверить свою электронную почту.,Yo solo quería revisar mis correos electronics.,e postamı kontrol etmek istedim.,I just wanted to testити свою скриньку електронної пошти.
72,1496,It would take me too much time to explain to you why it's not going to work.,"Neměl bych moc času, abych ti litoval, proč to nebude fungovat.",It would take me too long to explain to you why that's not going to work.,"To by mi trvalo příliš dlouho, než bych mi vysvětlil, proč to nechodí.","Das würde zu lange dauern, dir zu erklären, warum das nicht funktioniert wird.",I'll take me too much time to explain to you why this won't work.,| | | | | | | | | | | | | | | | | | | | | |,It's going to take a while to explain to you what's wrong.,You have to explain this why行不通要花很多时间.,"Wyjaśnienie, dlaczego to nie zadziała, zajęłoby mi zbyt dużo czasu.",私はそれが機能しない理由を説明するためにあまりにも tempo levaria demais para lhe explicar porque não vai funcionar. | 私はそれが機能しない理由を説明するために非常に tempo levaria para te explicar porquê isso não vai funcionar.,"Это займёт у меня слишком много времени, чтобы объяснить, почему это не будет работать. | У меня уйдёт слишком много времени на объяснение, почему это не сработает.",Me llevaría demasiado tiempo explicarte por qué no va a funcionar.,دا څنګه کار نه کوي sana açıklamak çok fazla وختımı alır.,"I viтрачу надто много времени на пояснення, чому це не спрацює."
73,1501,It can't be!,Ei voi olla! | Mahdotonta!,That can't be true!,Je to možné!,Das ist nicht möglich! | Das kann nicht sein!,یہ واقعی ممکن نہیں ہے!,Non è possibile. | Non può essere!,有り得ない! | そんなのありえないよ.,Nemožné! | Nemožné!,Nie może być!,നിനക്കൊന്നും ചെയ്യാന് പറ്റില്ല!,Не может быть! | Это невозможно!,No puede ser!,ഒലാസാം!,මේක වෙන්න බෑ!
74,1504,Would you like something to drink?,"Chceš něco k jídlu? | Maistuisiko juotava? | Jak by bylo, chceš něco k jídlu? | Chceš něco k jídlu?",Do you want to drink something? | Do you want to drink something? | Do you want to drink something?,Veux-tu quelque chose chose à boire?,Willst du etwas zum Trinken? | Möchtest du etwas zu trinken? | Möchtest du zum Trinken gewesen sein?,ایا تاسو غواړئ چې یو څه شی وخورئ؟ | ایا تاسو غواړئ چې یو څه شی وخورئ؟,Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat? Chceš něco udělat?,What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink? | What would you like to drink?,What do you want to drink?,Chcesz coś do picia? | Napijesz się coś?,ඔයා මොනවහරි බොන්න කැමතිද? ඔයා මොනවහරි බොන්න කැමතිද?,Не хотите ли чего-нибудь выпить? | Ты бы хотели что-нибудь выпить?,¿Te gustaría beber algo? | ¿Te gustaría algo de beber?,İçecek bir şey ister misiniz,♫ ♫ ♫ ♫ ♫ ♫
75,1521,Please don't cry.,අනේ එපා.,Please don't cry.,"S'il te plaît, ne pleure pas.",Bitte weine nicht. | Bitte weine nicht!,| お願い。 | お願い。,"Per favore, non piangere. | Ti prego, non piangere.",お願いだから泣かないで。 | お願い、泣かないで。,Please you don't cry.,"Nie płacz, proszę. | Proszę, nie płacz.","කරුණාකරලා, මොලේ වැඩ.","Prosímста, не плачь. | Не плачь, prosím. | Пожалуйста, не плачьте. | Не плачьте, prosím.","求你,别哭泣,求你,别哭泣,求你。",කරුණාකරලා ağlama.,"කරුණාකරලා, කරුණාකරලා."
76,1530,Allen is a poet.,Allen na runoilija.,Everybody is a poet.,ആലെൻ ഒരു കവിയാണ്.,Allen ist ein Dichter. | Allen ist ein Poet.,詩人 - 詩人、詩人。,Allen je básník.,I'm a poet.,艾伦是个诗人。,Allen jest poetą. | Allen do poeta.,Allen é um poeta. | Allen é poeta.,Аллен — поэт. | Аллен — поэт. | Аллен поэт.,Allen es un poeta. | Allen es poeta.,ඇලන් බර් poet.,Аллен — поэт.
77,1535,"If you see a mistake, then please correct it.","Jei matot virheen, taip korjaathan sen. | Jei huomaat virheitä, taip korjaathan ne.","If you see an error, please fix it. | If you see an error, please fix it.","""நீங்கள் ஒரு தவறை கண்டால், அதை சரிசெய்து கொள்வீர்களாக.","Wenn du einen Fehler sehst, dann korrigiere ihn bitte. | Wenn Sie einen Fehler sehen, dann korrigieren Sie ihn bitte. | Wenn ihr einen Fehler seht, dann korrigiert ihn bitte.","如果你发现错误,请纠正。 如果你发现错误,请纠正。",例如: ————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————,"If you find an error, please correct it. | If there was an error, please correct it.","If you find there are mistakes, please help correct it. | If you find there are mistakes, please help correct it.","यदि तपाईँले त्रुटि देख्नुभयो भने, कृपया सुधार गर्नुहोस् ।","Se você vir um erro, corrija-o por favor.","| もし ты увидишь ошибку, то, お願い, исправь её.","error, then corrígelo, por favor.","| もし bir hata görürsen, öyleyse कृपा onu düzelt. | もし bir hata görürsen, öyleyse कृपा onu düzelt.","""நீங்கள் தவறு செய்தால், அதைத் தக்கபடி செய்து கொள்ளுங்கள். | நீங்கள் தவறு செய்தால், அதைத் தக்கபடி செய்து கொள்ளுங்கள். | நீங்கள் தவறு செய்தால், அதைத் தக்கபடி செய்து கொள்ளுங்கள். | நீங்கள் தவறு செய்தால், அதைத் தக்கபடி செய்து கொள்ளுங்கள்."
78,1540,Why don't we go home?,Co když menisimme domů?,Why don't we go home?,Et si nous retournions à la maison?,Wieso gehen wir nicht heim?,Why don't we go home? | Why don't we go home?,Perché non andiamo a casa?,家に帰りましょうか.,我们何不回家呢?,Dlaczego nie pójdziemy do domu?,Por que não vamos pra casa?,Почему бы нам не пойти домой?,ඇයි අපි ගෙදර යන්නේ නැත්තේ?,ඇයි අපි අද රෑ යන්නේ?,| Why б нам не піти домой?
79,1544,One million people lost their lives in the war.,Miljoona ihmistä menetti henkensä sodassa.,A million people died in the war.,Un million de personnes ont perdu la vie pendant la guerre. | Un million de personnes ont perdu la vie pendant la guerre.,Eine Million Menschen haben im Krieg ihr Leben verloren.,ایک ملین شخص جنگ میں ان کی زندگیوں کو کھو دیا. ایک ملین شخص جنگ میں ان کی زندگیوں کو بچا لیا. ایک ملین شخص נספו جنگ میں.,യുദ്ധത്തിനിടയില് ഒരു ദശലക്ഷം മനുഷ്യര് ജീവന് നഷ്ട്ടപ്പെട്ടു.,One million people lost their lives in that war. | Millions of people lost their lives in that war.,One million lost their lives in the war.,W wojnie zginęło milion osób.,ഒരു മില്യന് ജനങ്ങള് യുദ്ധത്തില് അവരുടെ ജീവന് നഷ്ട്ടപ്പെട്ടു.,Один миллион человек потеряли свои жизни в этой войне.,ഒരു മില്യന് ജനങ്ങള് യുദ്ധത്തില് ജീവന് നഷ്ട്ടപ്പെട്ടു.,Bir milyon kişi savaşta hayatını kaybetti.,Один миллион человек потеряли жизнь на войне.
80,1561,Did you miss me?,Kaipasitko mane? | Ar man jums man nemaloni?,Missed me? | Missed me?,Je t'ai manqué? | T'ai-je manqué? | Vous ai-je manqué?,क्या तुम मुझे भूल गए हो? | क्या मैंने तुम्हें देखा? | क्या तुम मुझे भूल गए हो? | क्या तुम मुझे भूल गए हो? | क्या मैंने तुम्हें देखा? | क्या मैंने तुम्हें देखा?,| | | | | | | | | |,Ti sono mancato? | Ti sono mancata? | Vi sono mancato? | Vi sono mancata? | Le sono mancato? | Le sono mancata?,"Myslel sis, že jsem za to ubohý?",మీరు అనుకుంటున్నారా?,Tęskniłeś za mną? | Tęskniłeś za mną?,你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗? |你觉得我的缺失了吗?,Ты скучал по мне? | Ты обо мне скучал? | Вы по мне скучали?,¿Me has echado de menos? | ¿Me extrañaste?,Beni özledin mi؟,ඔයා මාත් එක්ක හිටියද?
81,1564,Thank you very much!,Paljon kiitoksia. | Thank you very much! | Thank you very much! | Suurkiitokset!,Thank you very much! | Thank you very much! | Thank you very much! | Thank you very much!,Merci beaucoup! | Merci vraiment. | Merci mille fois! | Mille mercis!,Vielen Dank! | Herzlichen Dank! | Danke schön. | Danke sehr! | Danke schön!,ありがとう! | רוב תודות. | ありがとう.,Grazie mille!,ありがとう! | 本当にありがとう。 | 本当にありがとう! | どうもありがとう!,非常感謝! | 多谢!,Suur tänu!,Muito obrigado! | Muito obrigada! | Muito agradecido! | Muito grato!,Большое спасибо! | Огромное спасибо! | Спасибо вам большое! | Спасибо большое!,¡Muchas gracias! | ¡Mil gracias!,Thank you very much! Thank you very much! Thank you very much! Thank you very much! Thank you very much! Thank you very much!,Большое спасибо! | Щиро дякую! | Вельми дякую! | Величезне спасибі! | Велике спасибі! | Ґречно вдячна. | Ґречно вдячний! | Ґречно вдячна! | Красно дякую!
82,1567,It's a surprise.,yllätys న చూడండి.,It's a surprise.,To je překvapení.,Das ist eine Überraschung. | Es ist eine Überraschung.,यहפתעה.,To není překvapení.,පුදුමයි.,To je překvapení.,നിസ്പോസിanka കളിയാക്കുക.,Je to překvapení. | Je to překvapení.,To je překvapení.,Es una sorpresa.,| Sürpriz! | Bu bir surprise.,To je překvapení.
83,1568,That's a good idea!,Se on hyvä ajatus! | Se on hyvä idea!,That's a good idea!,C’est une bonne idée!,Das ist eine gute Idee!,یہ خیال اچھا ہے!,To není dobrý nápad!,いい考えだね! | いい考えですね。 | ナイスアイデア! | いい考えだね。 | それは良い考えです。 | それはいいアイデアだ。 | そりゃいい考えだ。 | 名案だ。 | 名案です。,නියම අදහස!,یہ ایک اچھا خیال ہے!,Que boa ideia!,Это хорошая идея! | Хорошая мысль!,¡Esto es una buena idea! | ¡Es una buena idea!,හොදයි!,Це гарна идея! | Гарна думка! | Добра идея!
84,1578,They say love is blind.,"Říká se, že rakkaus na sokea.",It's said that love is blind.,"On dit que l'amour est aveugle. | Come on dit, l'amour est aveugle.","Man sagt, Liebe mache blind.","Říká se, že láska je slepá.","Říká se, že láska je cieco. | Říká se, že láska je cieco.","It's because ""あばたもえくぼ""って言うから。",People say love is blindly.,"Říká se, že láska je slepá.",Dizem que o amor é cego.,"Говорят, любовь слепа. | Как говорится, любовь слепа. | Говорят, что любовь слепа.",Se dice que el amor es ciego. | Dicen que el amor es ciego.,Aşkın kör olduğunu söylüyorlar. | Aşkın gözü kördür derler.,"Кажуть, що любов сліпа."
85,1590,Do you speak Italian?,د روميانو په نُوم خط ١٠: ١٩,Do you speak Italian? Do you speak Italian? Do you speak Italian?,Est-ce que tu parles italien? | Parles-tu italien? | Parlez-vous italien?,Sprichst du Italienisch? | Sprechen Sie Italienisch? | Sprecht ihr Italienisch? | Sprechen Sie Italienisch? | Sprichst du Italienisch?,ඔයා කතා කරනවද? ඔයා කතා කරනවද?,Parli italiano? | Tu parli italiano? | Parla italiano? | Lei parla italiano? | Parlate italiano? | Voi parlate italiano? | Parli in italiano? | Tu parli in italiano? | Parla in italiano? | Lei parla in italiano? | Parlate in italiano? | Voi parlate in italiano?,イタリア語を話せますか?,あなたはイタリア語? | You会說イタリア語?,Czy mówi pan po włosku? | Czy mówisz po włosku? | Mówisz po włosku?,You fala italiano?,Вы говорите по-итальянски? | Ты знаешь итальянский? | Ты говоришь по-итальянски?,¿Hablas italiano? | ¿Habláis italiano? | ¿Habla usted italiano?,ఇటాలియన్ konuşuyor musun?,| イタリア語 | イタリア語 | イタリア語
86,1594,May I ask a question?,Saanko kysyä kysymyksen? | Saanko esittää kysymyksen? | Saanko kysyä?,Can I ask a question?,Puis-je poser une question?,Könnte ich eine Frage stellen? | Darf ich eine Frage stellen? | Erlauben Sie mir eine Frage?,Můžu se na něco zeptat? | Můžu se na něco zeptat?,എനിക്കൊരു ചോദ്യം ചെയ്യാമോ?,I have a question for you. | 質問してもよろしいですか. | 質問があるのですが. | 質問していい? | 質問してもよろしいですか.,我能问个问题吗?,Mogę zadać pytanie?,| Can I ask something? | Can I ask something?,Можно мне задать вопрос? | Можно спросить? | Можно задать вопрос? | Я могу задать вопрос? | Могу я задать вопрос? | Могу я задать один вопрос?,?Puedo hacer una pregunta?,Bir soru sorabilir miyim?,Я могу поставити вопрос? | Я могу поставити вопрос? | Можу я поставити вопрос?
87,1602,You'll forget about me someday.,සිනා kyllä unohdat minut jonain päivänä.,One day you'll forget me.,Tu m'oublieras un jour. | Vous m'oublierez un jour.,Du wirst mich eines Tages vergessen.,Jednoho dne mě zapomeneš. Jednoho dne mě zapomeneš. Jednoho dne mě zapomeneš. Jednoho dne mě zapomeneš.,"""நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.நாளில் நான் மறக்கமாட்டேன்.",いつか私のことは忘れちゃうわ。,One Day You'll Forget Me. | One Day You'll Forget Me.,Kiedyś o mnie zapomnisz. | Kiedyś o mnie zapomnicie.,நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய். | நீ என்னை மறக்கமாட்டாய்.,| Однажды ты обо мне забудешь. | Однажды вы обо мне забудете. | Однажды ты забудешь обо мне. | Ты меня когда-нибудь забудешь. | Вы меня когда-нибудь забудете. | Когда-нибудь ты меня забудешь. | Когда-нибудь вы меня забудете. | Когда-нибудь ты обо мне забудешь. | Когда-нибудь вы обо мне забудете.,"""நான் ஒரு நாள் மறக்க மாட்டேன், ஒரு நாள் மறக்க மாட்டேன், ஒரு நாள் மறக்க மாட்டேன், ஒரு நாள் மறக்க மாட்டேன்.",Bir gün beni unutacaksınız. | Bir gün beni unutacaksın. | Beni bir gün unutacaksın.,Ty mě někdy zaбудеш.
88,1603,That is rather unexpected.,Se on melko odottamatonta.,That's pretty unexpected.,Jsi dost nepřítomný.,Das ist ziemlich unerwartet.,یہ تقریبا غیر متوقع ہے.,| Quello è abbastanza inaspettato.,ඒක いさささか唐突だ.,这真是很意外。,Do całkiem nieoczekiwane. | Do całkiem niespodziewane.,| それはかなりの絶望的です。,——————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————,Eso es más bien inesperado. | Eso es bastante inesperado.,"O, oldukça beklenmeyen bir durumdur. | Bu pek beklenmeyen bir durumdur.",Это достаточно неочікувано.
89,1606,I couldn't have done it without you. Thank you.,ස්තුතියි.,"Without you, I couldn't have done it. Thank you.",මට බෑ ඔයා නැතිව මේක කරන්න.,Bez tebe bych to nemohl udělat. Díky. | Bez tebe bych to neudělal. Díky. | Bez tebe bych to neudělal. Díky. | Bez tebe bych to neudělal. Díky. | Bez vás bych to neudělal. Díky. | Bez vás bych to neudělal. Díky.,ありがとう | ありがとう | ありがとう | ありがとう,මට ඒක කරන්න බැරිවුනා ඔයා නැතුව.,君がいなければできなかった。ありがとう。,"没有你我无法做到,谢谢。",Nie couldm zrobić tego bez Ciebie. Dziękuję.,لا أستطيع أن أفعل ذلك بدونك. شكرا. | لا أستطيع أن أفعل ذلك بدونك. شكرا جزيلا. | لا أستطيع أن أفعل ذلك بدونك. شكرا. | لا أستطيع أن أفعل ذلك بدونك. شكرا. | لا أستطيع أن أفعل ذلك بدونك. شكرا.,Я бы не смог это сделать без тебя. Спасибо. | Я бы не смог это сделать без тебя. Спасибо. | Я бы не смог это сделать без тебя. Спасибо. | Я бы не смог это сделать без тебя. Спасибо. | Я бы не смог это сделать без тебя. Спасибо. | Я бы не смог это сделать без тебя. Спасибо.,No podría haberlo hecho sin ti. Gracias.,ස්තුතියි.,Я не зміг би этого сделать без вас. Дякую. | Я не зміг би этого сделать без вас. Дякую. | Я не змогла би этого сделать без вас. Дякую. | Я не змогла би этого сделать без вас. Дякую.
90,1615,Do whatever he tells you.,Tee mitä ikinä అతను käskeekin.,Do whatever he tells you to do. | Do whatever he tells you to do.,Fais tout ce qu'il te dit.,"Tu, was auch immer er dir befiehlt. | Mache alles, was er sagt.",එයා කියන හැම දෙයක්ම කරන්න.,Fai tutto quello che ti dice.,"Whatever it is that is said, let it be done.","他跟你说什么,你该做什么。",റോബ് കോ സി കാże.,Ele mandar ele o que ele tudo Faça.,| 彼はあなたに言うことをすべて行なさい。,Haz lo que te diga.,O sana her ne söylerse yap. | O sana ne söylerse yap.,Do whatever he tells you. Do whatever he tells you. Do whatever he tells you. Do whatever he tells you.
91,1619,May I talk to Ms. Brown?,Saisinko Brownin puhelimeen?,Can I talk to Mrs. Brown?,Puis-je parler à Mlle Brown?,Könnte ich Frau Brown sprechen? | Könnte ich Frau Brown sprechen?,Můžu si promluvit s paní Brownovou? | Můžu si promluvit s paní Baranovou? | Můžu si promluvit s Martou Brownovou?,Can I talk with la signora Brown?,ブラウンさん お願いします。 | ブラウンさんお話させて戴く事はできますか?,我能和布朗小姐说话吗?,Můžu si promluvit s paní Brownovou?,Can I speak with a Sra. Brown?,私はミス・ブラウンと話すことができますか? | 私はミス・ブラウンと話すことができますか?,?Puedo hablar con la Sra. Brown?,Bayan Brown'la konuşabilir miyim? | Bayan Brown ile konuşabilir miyim?,Can I speak to you?
92,1622,What do you want?,මොනාද ඔයාට ඕනේ? මොනාද ඔයාට ඕනේ?,What do you want? What do you want? What do you want? What do you want?,Que veux-tu? | De quoi as-tu besoin? | Qu'est-ce que tu veux? | Que voulez-vous? | Que veux-tu? | Que voulez-vous? | Que voulez-vous? | Que voulez-vous? | Que veux-tu?,Was willst du? | Was wollen Sie? | Was möchten Sie? | Was wollen du?,क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या רצונך? | क्या तुम חפץ?,Co chceš? | Co chceš? | Co chceš? | Co chceš? | Co chceš? | Co chceš? | Co chce? | Co chceš? | Co chceš? | Lei cosa vuole? | Lei che cosa vuole? | Lei che vuole? | Tu cosa vuoi? | Tu che cosa vuoi? | Tu che vuoi? | Tu che vuoi?,What are you asking for?What are you asking for?What are you asking for?What are you asking for?,You Want What? | You Want What?,നിനക്കെന്താ വേണ്ടത്?,Что ты хочешь? | Что ты хочешь? | Что ты хочешь? | Что ты хочешь? | Что ты хочешь? | Что ты хочешь? | Что ты хочешь? | Что ты хочешь? | Что я хочу? | Что я хочу? | Что я хочу? | Что я хочу? | Что я хочу? | Что я хочу? | Что я хочу? | Что я хочу?,Чего ты хочешь? | Чего тебе надо? | Вам чего? | Ти чего? | Чего тебе? | Что ты хочешь? | Чего вы хотите? | Чего вам надо? | Чего вам хочется?,எவ்வாறு நீங்கள் விரும்புகிறீர்கள்? | எவ்வாறு நீங்கள் விரும்புகிறீர்கள்? | எவ்வாறு நீங்கள் விரும்புகிறீர்கள்? | எவ்வாறு நீங்கள் விரும்புகிறீர்கள்?,Ne istiyorsunuz? | Ne istersin? | Ne istersiniz?,Что вам нужно? | Что хочете? | Чого ви хочете? | Чого ти хочеш?
93,1630,I have a dream.,Mám tu unelma.,I have a dream.,J'ai un rêve.,Ich habe einen Traum.,എനിക്കൊരു സ്വപ്നം ഉണ്ട്.,Ho un sogno. | Io ho un sogno.,私には夢がある。 | 私には夢がある。,我有一个梦想。,മാം മാര് സെനി.,"මට හීනයක් තියෙනවා. | මට හීනයක් තියෙනවා, | මට හීනයක් තියෙනවා.",У меня есть мечта. | Я вижу сон.,Tengo un sueño.,Benim bir hayalim var.,У меня есть мрія. | Я маю мрію.
94,1644,You look stupid.,Vypadáš tyhmältä. | Vypadáš typerältä.,You look stupid.,"""T'as l'air stupide. | Tu as l'air stupide. | Tu as l'air bête. | You seemz stupides. | You avez l'air stupide.",Du siehst dumm aus.,Vypadáš hloupě. | Vypadáš hloupě.,Sembri stupido. | Sembri stupida. | Sembra stupido. | Sembra stupida. | Sembrate stupidi. | Sembrate stupide. | Tu sembri stupido. | Tu sembri stupida. | Lei sembra stupido. | Lei sembra stupida. | Voi sembrate stupidi. | Voi sembrate stupide.,馬鹿みたい!,你看上去很傻。,Wyglądasz głupio.,നിങ്ങളാണ് വിഡ്ഢിത്തം.,Ты похож на идиота. | Ты похожа на идиотку. | Вы похожи на идиотов. | У тебя дурацкий вид. | Ты выглядишь глупо. | Ты глупо выглядишь. | Вы глупо выглядите. | Вы выглядите глупо.,Vypadá to estúpido. | Vypadá to idiotka. | Vypadá to bobo.,Aptal görünüyorsun.,Ти схожий на дурня. | Ти схожа на идіотку.
95,1646,My name is Jack.,Nimeni na Jacku. | Minun nimeni na Jacku. | Minun nimeni na Jaakko. | Nimeni na Jaakko.,My name is Jack. | My name is Jack.,Jmenuji se Jack. | Mon nom est Jacques.,Ich heiße Jack. | Mein Name ist Jack.,| שמי ז'אק.,Já chiamo Jack. | Il mio nome è Jack. | Já chiamo Jack.,My name is Jack.,I call Jack. | I call Jack.,Mam na imię జాక్.,Můj nome é Jack. | Chamo-me Jack. | O meu nome é Jack.,මගේ නම ජැක්.,నాకు llamo జాక్.,Benim adım Jack.,Я — Джек. | Я — Джек. | Я — Джек. | Я — Джек.
96,1647,I like it very much.,"例如:我非常喜欢它,非常喜欢它,非常喜欢它。",I love that.,To mě plaît beaucoup. | Je l'aime beaucoup. | J'aime beaucoup ça. | J'aime ça à l'os.,Es gefällt mir sehr gut. | Ich mag es wirklich sehr.,Moc se mi to líbí. Moc se mi to líbí. Moc se mi to líbí. Moc se mi to líbí. Moc se mi to líbí. Moc se mi to líbí.,Mi piace molto. | Mi piace moltissimo.,| 私はとても気に入りました。 | とても好きです。 | とても気に入ってます。,我非常喜歡它。,Moc se mi líbí.,"例如:我非常喜欢,我非常喜欢,我非常喜欢,我非常喜欢。",Мне это очень нравится.,Moc se mi líbí.,Onu çok severim.,| 彼女は私をとても愛しています。
97,1649,How do you say that in Italian?,Kaip tuo sanotaan italiaksi? | Kaip se sanotaan italiaksi?,How do you say that in Italian? | How do you say that in Italian? | How do they say that in Italian?,Comment est-ce qu'on dit ça en italien?,Wie heißt das auf Italienisch? | Wie sagt man das auf Italienisch?,| アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:アラビア語:ア,Kommt si dice questo in italiano?,イタリア語では何て言うんですか。 | イタリア語だと、どう言うの?,那词用意大利语怎么说?,Jak się mówi po włosku?,അത് ഇറ്റാലിയൻ ഭാഷയിൽ എങ്ങിനെ പറയും?,Как это сказать по-итальянски? | Как это будет по-итальянски?,¿Cómo se dice eso en italiano?,Onu Italiancada nasıl dersiniz?,Как это сказать итальянский?
