,english,translated_from_dutch
51214,Have you ever seen a whale?,Have you ever seen a whale?
51225,Do you like black cats?,Do you like black cats? | Do you like black cats?
51284,You have a good memory.,You have a good memory. | You have a good memory. | You have a good memory.
51296,Are you a student?,You're a student? | Are you a student? | Are you a student? | Are you a student?
51362,You have everything.,You have everything.
51370,Do you want anything to eat?,Do you want something to eat?
51485,You're still young.,You're still young.
52019,Where is your room?,Where is your room? | Where is your room?
52198,What is your name?,What's your name? What's your name? What's your name? What's your name?
52496,How old is your father?,How old is your father?
52528,How old is your grandfather?,How old is your grandfather?
52742,Are you students?,Are you students?
53190,I know him.,I know him.
53489,He looks suspicious.,He looks suspicious.
53510,Now I remember.,Now I know it again.
54778,Ten years is a long time.,Ten years is a long time.
54812,It's ten o'clock sharp.,It's exactly 10 o'clock.
55379,Welcome.,Welcome!
55509,You speak fluent English.,You speak fluent English.
55555,I'll make you happy.,I will make you happy. | I will make you happy.
55560,I believe in you.,I believe in you. I believe in you. I believe in you. I believe in you.
56637,It's Monday.,It's Monday.
57023,Can you find it?,Can you find it?
57151,Good luck.,Good luck. | Good luck. | Good luck! | Good luck! | Good luck! | Toi toi toi!
57294,Where do you live now?,Where do you live now? Where do you live now? Where do you live today?
57582,Is he breathing?,Is he breathing?
57834,Look back!,Look behind you!
58614,Let's go!,"Let's go! | Come on, we're gone."
58720,I give up.,I'll give it up.
59166,I'm on a diet.,I'm on a diet.
60039,That's enough for today.,That's enough for today.
60111,It is very cold today.,It's freezing cold today.
60183,It's cold today.,It's cold today. | It's cold today.
60207,It is Monday today.,Today is Monday.
60247,It's hot today.,It's warm today.
60906,Sugar dissolves in water.,So you get a drink in the water.
61013,The worst is over.,The worst is over.
61782,Yesterday was my birthday.,Yesterday was my birthday.
62564,Are you working?,Are you working?
62605,I'm looking for a job.,I'm looking for a job. | I'm looking for a job.
63020,Children need loving.,Kids need love.
63402,"Stop, or I'll shoot.","Halt, or I'll shoot."
64414,Welcome to our home.,Welcome to us.
64711,We try.,We're trying.
64879,We played soccer yesterday.,We played soccer yesterday. | We played soccer yesterday.
65001,We painted the house green.,We've painted the house green.
66839,Please tell me your name.,Please tell me your name.
66866,Follow me.,Follow me.
67038,Do you remember me?,Remember me? | Remember me?
67322,My legs still hurt.,My legs still hurt.
67352,He is my brother.,He's my brother.
67692,Answer me.,Answer me. | Answer me this. | Answer me.
68451,Where's my book?,Where's my book?
68790,I played soccer yesterday.,Yesterday I played soccer. | Yesterday I played football.
68808,I have a car.,I have a car.
68816,I like castles.,I love caves.
68823,I am a student.,I am a student. | I am a student.
69426,I don't drink much wine.,I don't drink a lot of wine.
70203,I have a computer.,I have a computer.
70649,I don't know how to spell the word.,I don't know how to spell the word.
71093,I'm glad to hear that.,I'd love to hear that.
71253,I like chocolate.,I love chocolate.
71273,I hid under the table.,I hid under the table.
71297,I like tennis.,I love tennis.
71529,I'd like to live in New York.,I would love to live in New York City.
71804,I'm happy to see you again.,I'm glad to see you again.
71867,I gave Mary a book.,I gave Maria a book.
72048,I like to eat apples.,I love apples.
72156,I bought a book.,I bought a book.
72280,I can swim.,I can swim.
72329,I study English.,I study English.
72890,I like fish.,I love fish.
72970,I'm going to the bank.,I'm going to the bank.
73077,I like your car.,I love your car.
73078,I need your help.,I need your help. | I need your help.
73156,I'm married.,I am married. | I am married.
73213,I have lost my key.,I lost my key. | I lost my key.
73426,I'm on vacation.,I'm on vacation.
73674,He wrote a letter yesterday.,He wrote a letter yesterday.
73698,I was busy yesterday.,I was busy yesterday.
73707,I retired last year.,I retired last year. | I retired last year.
74284,I wrote a letter.,I wrote a letter. | I wrote letters.
74510,I laughed.,I was laughing. | I was laughing.
74564,I overslept.,I beat myself.
74638,I know the truth.,I know the truth.
74773,I'm not a student.,I'm not a student.
74799,I have a new red car.,I have a new red car.
74809,I've lost my ticket.,I've lost my ticket.
74823,I was in London last month.,I was in London last month.
74847,I am a teacher.,I'm a teacher.
74848,I am not a teacher.,I'm not a teacher.
74945,I run.,I am running. | I am running.
74984,I'm proud of my son.,I'm proud of my son.
75037,I'm healthy.,I'm healthy.
75155,I'm afraid of earthquakes.,I'm afraid of earthquakes.
75470,I love reading books.,I love to read books.
75593,I do not have a cat.,I don't have a cat.
76817,I love her.,I love her. | I love her.
77052,I'm poor.,I'm poor.
77065,I've never climbed Mt. Fuji.,I've never climbed Mt. Fuji.
77275,I'm busy.,I'm busy.
77387,I run every day.,I run every day.
77726,I live with my parents.,I live with my parents. | I live with my parents.
77743,I like apples.,I love apples.
77810,I broke my arm.,I broke my arm.
77834,"I think so, too.",That's what I think.
77908,Please help me.,"Help me, please. | Help me, please."
78717,Poets write poems.,Poets write poems.
79144,Time flies.,Time flies. | Time flies.
79970,Respect yourself.,Respect yourself.
80319,What actually happened?,What actually happened? | What actually happened?
80482,I wish I had a car.,I just had a car.
80569,Drive carefully.,Ride safely. | Driving safely.
80570,Do you know how to drive a car?,Can you drive? | Do you know how to drive a car?
81054,Can I help?,Can I help?
81063,Help me.,Help me. | Help me.
81369,Practice makes perfect.,Training begets art.
81701,Get out!,Away! | Away! | Out! | Go away! | Get lost! | Go with you! | Out under my eyes! | Go away! | Go away here. | Make you go away! | Get up! | Make you go away. | Come out. | Go away. | Darken up. | Make you go away! | Get up! | Get out of here! | Get up! | Make you go away! | Get up!
82881,Get down!,Jump! | Get down! | No! | Get down! | Get down! | Get down! | Get down! | Lay down! | On the ground! | Get off!
83562,Unbelievable!,Unbelievable! | Unbelievable! | Unbelievable!
84767,Are you kidding?,Are you crazy? Are you kidding? Are you kidding me?
86352,Try hard.,Do your best.
86481,Keep quiet.,Keep quiet. | Be quiet!
87954,See above.,Look up here.
88018,Everything went smoothly.,Everything went smoothly. | Everything went smoothly.
88107,I have no idea.,I have no idea.
88478,Open the window.,Open the window!
88496,Close the window.,Close the window.
89422,I am exhausted.,I'm exhausted.
89857,Are you all right?,Are you okay?
90203,Is anybody here?,Anybody here?
90204,Is somebody there?,Is anybody there?
90373,Is anybody home?,Is anyone home?
90434,Who knows?,Who knows? | Who can know? | Who will say?
90652,No one helped me.,Nobody helped me.
90948,It's too expensive.,It's too expensive. | It's too expensive. | That's too expensive!
90985,Ignorance is bliss.,What doesn't know doesn't teach. | What the eye doesn't see doesn't teach the heart.
91027,Knowledge is power.,Knowledge is power.
91406,Let me in.,Let me in.
91640,Stop talking.,Stop talking. | Shut up! | Stop kissing.
91688,Breakfast is ready.,The breakfast is ready. | The breakfast is ready.
92046,Birds sing.,Birds sing.
92080,Birds fly.,Birds fly.
92087,Birds lay eggs.,Birds lay eggs.
92373,It's my brother's.,It's from my brother.
92441,Don't give up!,Don't give up!
92944,Turn off the light.,Turn off the lights. | Turn off the lights.
93063,Answer the phone.,Pick up the phone.
93811,My head aches.,I have headaches.
93842,Cool off!,Cool it down!
94051,Are you lost?,Are you lost?
94219,Are you single?,Are you a single person? Are you a single person?
94881,Have you decided to go to Japan?,Have you decided to go to Japan?
95165,Japan is a rich country.,Japan is a rich country.
95175,Welcome to Japan.,Welcome to Japan.
95690,Years passed.,Years went by.
95715,I am eighteen years old.,I'm 18 years old.
95938,My back still hurts.,My back is still hurting.
96815,Guess what he told me.,Guess what he told me.
97008,I like him.,I like him.
98404,Grab him.,Grab him.
99624,Forget him.,Forget him.
100128,He has long legs.,He's got long legs.
101076,He has a dog.,He has a dog.
101119,He tries.,He's trying.
101596,He is a DJ.,He's a DJ.
101885,How old is he?,How old is he?
102029,He is always with me.,He's always with me.
102666,He doesn't like coffee.,He doesn't like coffee.
102873,He likes playing soccer.,He loves football.
103154,He accelerated.,He accelerated.
104354,He eats a lot.,He eats a lot.
104393,He decided to quit smoking.,He decided to quit smoking. | He decided to quit smoking.
104582,He played tennis.,He played tennis.
104778,He's very ill.,He's very sick.
105129,He became a pianist.,He became a pianist.
105267,He can also speak French.,He also speaks French.
106651,He was afraid of his wife.,He was afraid of his wife. | He was afraid of his wife.
107427,He knows a lot of people.,He knows a lot of people.
107699,He's strong.,He's strong.
107748,He is a teacher.,He's a teacher. | He's a teacher.
107795,He fell backward.,He got behind. | He got behind.
108019,He's stronger than you.,He's stronger than you.
108606,He works in a factory.,He works in a factory.
108608,He is happy.,He's happy.
109160,He died yesterday.,He died yesterday.
109766,He lied to me.,He was arguing with me.
110193,He speaks English better than I do.,He speaks better English than I do.
110575,He tried to kill himself.,He tried to commit suicide.
110579,He committed suicide.,He committed suicide.
111763,He is eating.,He's eating. | He's eating.
111790,Is he sleeping?,Is he falling?
111946,He told the truth.,He told the truth. | He told the truth.
113611,He's talking on the telephone.,He's on the phone. | He's on the phone.
114148,He is not stupid.,He's not crazy. | He's not stupid.
114157,Is he tall?,Is it long? | Is it big?
114194,He is a friendly person.,He's a friendly person.
115351,He likes adventure.,He loves adventure.
115573,He is asleep.,He's asleep.
115912,He's an excellent brain surgeon.,He's an excellent brain surgeon.
116868,They are actors.,They're actors.
116995,They don't always obey their parents.,They don't always obey their parents.
117401,They hated Tom.,They hated Tom.
118204,They went to Chicago by car.,They drove to Chicago.
118642,Are they Japanese?,Are they Japanese?
119825,She opened the door.,She opened the door. | She opened the door. | She opened the door.
121111,She tried.,She tried. | She tried. | She tried.
121341,She is eight.,She's eight. | She's eight years old.
121613,When was she born?,When was she born?
122819,She is very intelligent.,She's very intelligent.
122851,She loves Tom.,She loves Tom.
122914,She smiled.,She was laughing.
123110,She can speak French.,She can speak French.
123125,Does she speak French?,Does she speak French?
123168,She is my girlfriend.,She's my girlfriend.
123555,She worked hard.,She worked hard. | She worked hard.
123811,She went home.,She went home.
124038,She almost drowned.,She was almost drunk.
124133,She cried.,She was crying.
124299,Does she know you?,Does she know you?
125133,She sat next to me.,She sat next to me. | She sat next to me. | She sat next to me.
126464,Who is she?,Who is she?
126944,She married him.,She's married to him. | She married him.
127156,She wanted to help them.,She wanted to help them.
127208,She looks sad.,She looks sad.
127209,She looked sad.,She looked sad.
127559,She walks.,She walks.
128303,Don't be sad.,Don't be sad.
128371,Are you tired?,Are you tired? Are you tired? Are you tired? Are you exhausted? Are you depressed?
130313,I know.,I know.
130613,That's weird.,That's weird. | That's weird.
130674,Study!,Student!
131189,I'm breast-feeding my baby.,I breastfeed my baby.
131519,It's not my fault.,It's not my fault! | It's not my fault
131613,Tell me the truth.,Tell me the truth.
131614,Leave it to me.,Leave it to me. | Leave it to me.
131654,Do you love me?,Do you like me?
131743,I have three cameras.,I have three cameras.
131805,I'm so happy.,I am so happy. | I am so happy.
131829,I have to go now.,I have to go now.
131945,I have a dictionary.,I have a dictionary.
131948,I have two cars.,I have two cars.
131954,I looked around me.,I looked around. | I looked around.
131964,I want to sleep.,I want to sleep.
132036,I have a cold.,I'm elected.
132064,"Me, too.",Me too. | Me too!
132082,When can we eat?,When can we eat?
132232,Many thanks.,Thank you very much. | Thank you very much. | Thank you very much.
132630,Fill it up.,Open it up.
132811,Is it free?,Is it free?
133456,Wood burns.,Keeps burning.
133584,My eyes are sore.,My eyes hurt.
133619,Keep your eyes open.,Open your eyes. | Open your eyes.
133631,Don't shut your eyes.,Do not close your eyes. | Do not close your eyes.
134223,Ghosts exist.,Ghosts exist.
134290,Let's play.,Let's play. | Let's play.
134514,Don't eat too much.,Don't eat too much.
134619,The leaves fell.,The leaves fell.
134720,Please come.,Please come.
135109,Stand up!,Stand up!
135175,The dragon is an imaginary creature.,The dragon is a fantasy animal.
135200,Do you like to travel?,Do you like to travel? | Do you like to travel?
135422,The food is cold.,The food is cold.
135739,History repeats itself.,History repeats itself.
137296,I bought a red tie.,I bought a red tie. | I bought a red tie.
138103,Fuck you!,Get up! | Get the clothes! | Get the shit! | Get the shit! | Get the cancer!
139102,Which country are you from?,What country are you from?
139173,This newspaper is free.,This newspaper is free.
139202,Good morning!,Good morning!
139323,Good evening.,Good night.
139329,I am Chinese.,I am Chinese. | I am Chinese.
139401,I have many friends.,I have a lot of friends.
139413,Who is he?,Who is he?
139463,Come in.,Come in! | Come in!
139472,I'm pregnant.,I'm pregnant. | I'm expecting.
139476,I don't know.,I don't know. | I know a lot. | I have no idea.
139564,I like cats.,I love cats.
139593,"Happy birthday, Muiriel!","Happy birthday, Muiriel! | Congratulations on your birthday, Muiriel! | Happy birthday, Muiriel!"
139615,Who are you?,Who are you? Who are you sitting next to? Who are you? Who are you?
139643,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","I'd like to add hundreds of sentences to Tatoeba, but I have things to do."
139655,Nobody is perfect.,Nobody's perfect.
139668,See you later!,Bye-bye!
139676,Happy New Year!,Happy New Year!
139679,Achoo!,Hats off!
139696,I play the violin.,I play the violin.
139767,I am a vegetarian.,I'm a vegetarian.
139815,My wife is a doctor.,My wife is a doctor.
139824,He raised his hand.,He put his finger up.
139846,I love Arabic.,I love Arabic.
139848,Where are you from?,Where do you come from? Where do you come from? Where do you come from? Where do you come from?
139850,Where do you live?,Where do you live? Where do you live? Where do you live? Where do you live?
139910,He is sick.,He's sick.
139919,There's a monster under my bed.,There's a sample under my bed.
139995,What do you want to eat?,What do you want to eat? | What do you want to eat?
140020,What is your blood type?,What's your blood group? What's your blood group?
140040,Cats don't like water.,Cats don't like water.
140062,Are you serious?,Do you really think so? | Do you really think so?
140063,Really?,Really? | Really? | Really? | Oh! Really? | Really? | Really? | Really? | Is that true? | Is that true? | Really? | Really? | Really? | Really?
140102,How are you?,How's it going? How's it going? How's it going? How's it going with you? How's it going with you? How's it going?
140104,Hello!,Hello. | Hi. | Good morning! | Hello!
140144,Thank you!,Thank you! | Thank you! | Thank you! | I thank you. | Thank you. | Thank you!
140199,I do not understand.,I don't understand.
140200,I don't understand.,I don't understand. | I don't understand. | I don't understand.
140288,Do you speak English?,Do you speak English? Do you speak English? Do you speak English?
140299,I have a dog.,I have a dog.
140341,Do you want to go?,Do you want to go? | Do you want to go? | Do you want to go? | Do you want to go?
140552,I am a man.,I'm a man.
140559,Do you like music?,Do you like music?
140564,He likes oranges.,He loves oranges. | He loves apple seeds.
140579,Tomorrow is Christmas.,Tomorrow is Christmas.
140606,It's a little cold today.,It's fresh today. | It's a little cold today.
140621,Let's begin.,Let's get started.
140622,Let's start!,Let's get started.
140631,I have a high fever.,I have high fever.
140864,She hated her husband.,She hated her husband.
141043,He likes watching TV.,He likes to watch television. | He likes to watch television.
141078,We are men.,We're men. | We're men.
141085,What's she doing?,What is she doing?
141096,He can read well.,He's good at reading.
141316,He loves traveling.,He loves to travel.
141375,Finally!,Finally!
141425,Please.,Please. | Please. | Please. | Please! | Please!
141456,"All animals are equal, but some animals are more equal than others.","All animals are equal, but some animals are more equal than others."
141549,He loves her.,He loves her.
141641,I can't stand him.,I can't stand it.
141651,I know those girls.,I know those girls.
141811,Great!,Great! | Cool! | Brilliant! | Fantastic! | Good! | Gorgeous. | Insane! | Wonderful! | Gone! | Well done! | Very good! | Good. | That's great! | What a great! | Well done! | Great! | Excellent! | Well done! | That's great! | Great! | Awesome!
141972,I am tired.,I'm tired.
142052,I'm just kidding.,I'm just kidding. | I love it.
142132,He's smart.,He's smart. | He's smart.
142143,Are you alone?,Is she alone? | Are you alone?
142218,What do you want to drink?,What do you want to drink? | What do you want to drink?
142220,What would you like to eat?,What would you like to eat? | What would you like to eat?
142259,Speaking English isn't easy.,It's not easy to speak English. | It's not easy to speak English.
142573,Do you understand?,Do you understand? | Do you understand? | Do you understand?
142683,I'm at home.,I'm home.
142692,I'm hungry!,I'm hungry.
142693,Do you understand what I'm saying?,Do you understand what I'm saying?
142767,"You can do it, can't you?","You can do it, right?"
142782,He's eating an apple.,He's eating an apple. | He's eating an apple.
142783,She's eating an apple.,She's eating an apple.
142784,They're eating apples.,They are eating apples. | They are eating apples.
142785,We're eating apples.,We eat apples. | We're eating apples. | We eat apples.
142860,Tom is my friend.,Tom's my friend.
142915,I missed you.,I missed you. | I missed you. | I missed you. | I missed you. | I missed you. | I missed you.
143005,What's your name?,What's your name? What's your name? What's your name?
143134,She is beautiful.,She's beautiful.
143186,She likes oranges.,She likes to eat oranges.
143204,Wait a moment.,Wait a minute. | Wait a minute. | Wait a minute.
143227,Am I wrong?,Am I wrong? | Am I wrong?
143228,We need your help.,We need your help. We need your help. We need your help.
143316,I can't remember his name.,I can't remember his name. | I can't remember his name.
143324,I'll pay.,I'll pay.
143344,You're right.,You're right. You're right.
143440,I was a student at that time.,And then I was a student.
143498,Are you married?,Are you married? | Are you married?
143529,No problem!,No problem! | No problem!
143534,"One, two, three, four, five, six, seven, eight, nine, ten.","One, two, three, four, five, six, seven, eight, nine, 10."
143539,Come home.,Come home.
143548,"Good evening, how are you?","Good night, how are you doing? | Good night, how are you doing?"
143549,What's this?,What is this?
143557,I live near here.,I live in the neighborhood here.
143781,Where are you going?,Where are you going? | Where are you going? | Where are you going? | Where are you going? | Where are you going?
143902,My eyes hurt.,I have pain in my eyes.
143905,I have a sore throat.,I've got a sore throat. | I've got a sore throat.
143935,You idiot!,You're an idiot! You're an idiot! You're an idiot! You're an asshole! You're an asshole! You're an asshole!
144218,I know her.,I know her.
144290,We often play chess.,We often play chess.
144443,Good night!,Good night. | Good night! | Good night!
144560,What time is it?,What time is it?
144791,She is dead.,She's dead. | She's dead. | She's dead.
144819,I'm bored.,I'm bored. | I'm bored.
144848,I was a teacher.,I was a teacher. | I was a teacher.
144962,What did you say?,What did you say? | What do you say? | What did you say?
144965,God exists.,God exists. | God is.
144967,I understand.,I get it. | Okay. | I get it. | I get it! | I get it. | I get it. | I get it! | Sorry.
144968,I got it.,I got it.
144975,Go away.,Go away! | Get up! | Get up! | Get out! | Under my eyes! | Make you go away. | Go away here. | Make you go away! | Make you go away. | Run away! | Make you go away. | Beasts. | Go away. | Make you go away! | Get out of here! | Go away! | Darker up. | Red up. | Beasts! | Get up! | Get up! | Get up!
144976,Of course.,Of course. | Yeah. | Of course! | But of course! | Of course know! | Of course! | Of course. | Of course. | Speaks for itself. | Of course. | Of course!
144982,Don't move.,Do not move. | Do not move!
144984,Excuse me.,I'm sorry.
144986,Wonderful!,Wonderful! | Wonderful. | It's wonderful. | It's wonderful. | It's very beautiful. | It's wonderful. | It's wonderful. | Well done! | What a wonderful! | Well done! | What a wonderful! | Excellent! | Excellent! | Very good! | Well done! | Wonderful. | Brilliant! | Wonderful! | Wonderful!
144987,Fantastic!,Fantastic! | Brilliant! | Wonderful! | Wonderful! | That's great! | Wonderful. | That's great! | That's great! | Wonderful!
144993,Go away!,Get out of here! | Get out of here! | Get up!
145014,Try it again.,Try it again.
145027,I have no money.,I don't have any money.
145028,I don't have any money.,I don't have any money.
145061,Do you have a fever?,Do you have a fever? | Do you have an increase? | Do you have a fever?
145065,I'm serious.,I mean it. I'm serious.
145067,That's enough.,That's enough. | That's enough.
145070,Did you call?,Did you ride? | Did you ride?
145093,Of course!,Of course! | Of course! | Yes.
145099,Don't worry about it.,"Don't worry. | Don't worry. | Don't touch it. | Don't worry, listen."
145100,Follow him.,Follow him. | Follow him!
145112,I'm very hungry.,I'm starving.
145121,Speak clearly.,Be clear.
145123,I've had enough.,I have enough of it. | I've had enough of it.
145124,I'm full.,I'm full. | I'm full.
145218,Anything else?,Something else? | Something else?
145227,Are you hungry?,Are you hungry? | Are you hungry? | Are you hungry?
145232,Are you thirsty?,Do you have a fever? | Do you have a fever? | Do you have a fever?
145302,Can you help me?,Can you help me? | Can you help me?
145324,Come with me.,Come with me. | Come with me!
145430,Enough!,That's good!
145562,He likes to swim.,He likes to swim. | He loves to swim.
145620,Help!,Help!
145653,Did something happen?,Did anything happen?
145671,Whose turn is it?,Who's next? | Who's next?
145685,It's too big.,It's too big.
145711,Calm down.,Hurry up. | Calm down. | Hurry up. | Hurry up. | Relax!
145735,He can also speak Russian.,He also speaks Russian.
145751,That's a good question.,That's a good question.
145754,Has something happened?,Did anything happen?
145763,Life is fun.,Life is fun.
145785,Fuck off!,Screw it!
145852,How old are you?,How old are you? How old are you? How old are you?
145866,I am tall.,I'm long.
145869,I agree.,I agree. | I agree. | I agree.
145935,I am ready.,I'm done.
145944,I am too short.,I'm too small.
145987,I don't know what to say.,I don't know what to say.
146366,Where are my glasses?,Where are my glasses?
146367,We are happy.,We are happy. | We are happy.
146452,It was a terrible day.,It was a terrible day.
146472,Who drew it?,Who drew it?
146478,Prices went up.,Prices have gone up. | Prices have gone up.
146484,That's a good idea.,That's a good idea.
146503,Please open the bottle.,Please open the bottle.
146505,That's not fair.,That's not fair.
146552,I live here.,I live here.
146610,Stop!,Stop! | Stop! | Stop! | Stop it! | Keep it still! | Keep it still! | Keep it still! | No movement!
146659,It's snowing.,It's snowing. | It's snowing.
146671,No one knows.,Nobody knows.
146672,Catch him.,Grab him.
146687,Do you drink coffee?,Do you drink coffee? | Do you drink coffee?
146688,I eat here.,I'm eating here.
146692,Your dog is here.,Your dog's here.
146694,This is your key.,This is your key. | This is your key. | This is your key. | This is your key.
146709,What should I do?,What should I do?
146725,Come if you can.,Come if you can. | Come if you can.
146778,She has few friends.,She has few friends. | She has few friends.
147019,Happy birthday!,Happy birthday! | Congratulations on your birthday!
147057,Love is blind.,Love blinds. | Love is blind.
147078,I ordered two hamburgers.,I ordered two hamburgers.
147352,I don't know what to do.,I don't know what to do.
147369,"I think, therefore I am.","I think, therefore I am. | I think, therefore I am."
147402,What are you interested in?,What are you interested in? What are you interested in? What are you interested in? What are you interested in? What are you interested in? What are you interested in?
147586,It was love at first sight.,"It was love at first sight. | When I first saw her, I fell in love."
147623,It's raining.,It's raining. | It's raining.
147677,May I help you?,Can I help you? | Can I help you? | Can I help you?
147798,Please speak more slowly.,Please speak slower. | Please speak slower.
147840,She is from France.,She's from France.
147894,Hungry?,Hungarian?
147900,I trust you.,I trust you. | I trust you. | I trust you.
147956,My favorite color is red.,My favorite color is red.
147971,I lost my key.,I lost my key. | I lost my key. | I lost my key. | I lost my key.
147996,Crazy!,Look!
148175,Where is your dog?,Where is your dog? | Where is your dog?
148228,Shut up!,Shut up! | Shut up! | Keep your head down! | Shut up! | Be quiet! | Be quiet!
148248,Stay there.,Stay here.
148271,That hurts.,That hurts.
148296,"The bill, please.","The account, please. | Can I have the account? | Can I have the account please? | The account please."
148342,The customer is always right.,The customer is always right. | Sound is king.
148756,Turn around.,Turn around. | Turn around.
148760,Turn right.,Turn right.
148778,Wash your hands.,Wash your hands. | Wash your hands.
148881,What do you need?,What do you need? What do you need? What do you need?
148890,What does this mean?,What does that mean?
149029,What's your phone number?,What's your phone number? What's your phone number? What's your phone number?
149039,Please wait five minutes.,Please wait five minutes. | Please wait five minutes.
149057,Iron is a useful metal.,Iron is a useful metal.
149075,Where is your father?,Where is your father? | Where is your father?
149123,She's my sister.,She's my sister. She's my sister. She's my sister.
149256,I study Korean.,I study Korean.
149275,I was wrong.,I was wrong.
149288,"Hi, how are you?","Hey, how are you?"
149538,No.,No.
149541,Yes.,Yeah.
149667,He closed the door.,He knocked on the door.
149694,I have no friends.,I don't have any friends.
149808,Are they friends?,Are they friends?
149868,Where is my book?,Where's my book?
149949,Guns don't kill people. People kill people.,Guns don't kill people. People kill people. | Guns don't kill people. People kill people.
150041,Drive safely.,Ride safely!
150094,Thanks anyway.,Thank you very much. | Thank you anyway!
150159,I must go now.,I have to go now.
150190,Cheers!,Thank you! | Cheers! | Health!
150242,Swimming is easy.,Swimming is easy.
150457,Do you know the answer?,You know the answer?
150558,I'm a journalist.,I'm a journalist.
150562,Please close the door.,Please close the door.
150727,See you tomorrow.,Until tomorrow. | Until tomorrow!
150811,Good afternoon.,Good afternoon! | Good afternoon.
150828,I'm just looking.,I'm just watching.
151264,Don't worry.,Don't worry. | Don't worry. | Don't worry.
151303,Do you smoke?,Did you smoke? | Did you smoke? | Did you smoke?
151505,The dog is dead.,The dog's dead.
151757,Tom was fired.,Tom was fired. | Tom was fired.
151760,He raised his hands.,He raised his hands.
151849,That's life.,That's life. | That's life. | That's the way it's going.
151862,Are you Japanese?,Are you Japanese? | Are you Japanese?
151926,Today is Monday.,Today is Monday. | Today is Monday.
151946,He is poor.,He's poor.
151972,Goodbye!,Goodbye! | Goodbye. | Goodbye! | Ciao.
152040,You may go.,You can go. | You can go.
152216,It's a good question.,It's a good question.
152365,"Tatoeba means ""for example"" in Japanese.","Tatoeba is Japanese for ""for example."""
152581,She woke up.,She woke up.
152677,Don't tell anyone this.,Don't talk to anybody about this. | Don't tell anybody. | Don't talk!
152752,He ordered a beer.,He ordered a beer.
152938,Where is the most beautiful place in the world?,Where is the most beautiful place on Earth?
153004,How's your mother?,What about your mother?
153176,Do you have a cellphone?,Do you have a cell phone? | Do you have a cell phone? | Do you have a cell phone?
153309,Hi.,Hi. | Hi! | Hi!
153344,He likes fishing.,He likes fish.
153938,Why did you lie?,Why did you lie? | Why did you lie? | Why did you lie? | Why did you lie? | Why did you lie?
153943,No problem.,No problem.
154720,Time is money.,Time is money.
154778,I'm a student.,I am a student. | I am a student.
155238,I hate Mondays.,I hate Mondays.
155418,I'm a man.,I'm a man.
155444,I need help.,I need help.
156353,Go to hell!,Go to hell!
156468,We want complete sentences.,We want full sentences. | We want full sentences.
156481,You don't need to call me.,You don't have to call me.
156708,Do you come here often?,Do you come here often?
157323,Correct!,Right! | Right!
157327,We agree.,We all agree.
157419,This novel is boring.,This novel is boring.
157445,Jump.,Jump. | Jump!
157606,Do you speak Turkish?,Do you speak Turkish? | Do you speak Turkish? | Do you speak Turkish?
157795,Where is the train station?,Where is the train station?
158135,Bye!,Whoa! | Whoa! | Ciao.
158594,Today is Saturday.,Today is Saturday.
159294,He ran.,He ran.
159301,You run.,You run. | You run. | You run.
159302,He runs.,He's running.
159304,She runs.,She's running.
163060,Idiot!,Stupid! Stupid! Stupid! Stupid! Stupid! Stupid! Stupid! Stupid! Stupid!
163441,I'm 18 years old.,I'm 18 years old.
163557,Colorless green ideas sleep furiously.,Colorless green ideas are woefully asleep.
163670,We're neighbors.,We are neighbors.
163907,Happy Mother's Day!,Happy Mother's Day!
164129,Count to thirty.,count to 30.
165980,I am a woman.,I'm a woman.
167003,I'm listening to music.,I listen to music. | I'm listening to music.
168429,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language you want. Here in Tatoeba, all languages are the same."
168951,I am not a witch.,I'm not a fence.
171915,He lives alone.,He lives alone.
172646,I hate you.,I hate you.
173753,I'm always hungry.,I'm always hungry.
174179,Get lost.,Get out of here! | Get up! | Don't go! | Get out of here.
175014,Please continue.,Please go on. | Please go on.
176212,I don't have a cat.,I don't have a cat.
176341,Choose one.,Pick one.
177553,Come!,Come on!
177627,I want to die with Getter Jaani.,I want to die with Getter Jaani.
178536,Run!,Run! | Run away! | Run away! | Run away.
179456,What do you think?,What do you think? What do you think? What do you think? What do you think?
180182,It is too expensive.,It's too expensive.
181016,Hooray!,Whoa! | Joepie! | Jippie!
181351,Are you on Facebook?,Are you on Facebook?
181446,Do you like cooking?,Do you like to cook? | Do you like to cook? | Do you like to cook?
181468,Do you think I'm stupid?,Do you think I'm stupid?
181530,Have you eaten?,Did you eat?
181540,Have you ever dyed your hair?,Have you ever painted your hair?
181601,How was your summer?,How was your summer? How was your summer?
181609,I ate too much.,I ate too much. | I ate too much.
184000,Do you like strawberries?,Do you like strawberries? | Do you like strawberries? | Do you like strawberries?
184037,This is a horse.,This is a horse. | This is a rose.
184118,"Champagne, please.","Champagne, please."
184160,Grammar is very complicated.,Grammar is very complicated.
184235,He died recently.,He just passed away.
184422,I don't drink coffee.,I don't drink coffee.
186312,Tom isn't here.,Tom's not here.
187666,Tom doesn't like cats.,Tom doesn't like cats.
188288,Tom closed his eyes.,Tom closed his eyes. | Tom closed his eyes.
188621,Tom blushed.,Tom was flourishing.
190239,Tom hugged Mary.,Tom hugged Maria.
