,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
9588,24706,What do you mean?,Co chcete říct? | Co chcete říct? | Co chcete říct? | Co chcete říct?,Byl meinst du? | Was meint ihr? | Was mein Sie?,""""" Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ?",Co chceš říct? | Co chceš dire? | Co intendi? | Co vuole dire? | Co intende? | Co intendete?,それはどういうことか。 | どういう意味? | どういう意味?,あなたは何を意味する? | あなたは何を表現する?,O co ci chodzi? | Co masz na myśli?,O que você quer dizer? | Como assim?
9624,24759,What do you want to do?,Que veux-tu faire?,Was willst du machen? | Was wollen Sie tun? | Was willst du tun?,What do you want to do? | What do you want to do?,क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं?,What do you want? what do you want? what do you want? what do you want? what do you want?,何をするつもりですか?| 何をするつもりですか?,మీరు ఏమి అనుకుంటున్నారు?,| You want to do what? | What is that you want to do?
9629,24765,What would you like to drink?,Que souhaites-tu boire?,Was möchten Sie trinken? | Was trinken Sie? | Was möchten du trinken? | Was möchten Sie gerne trinken? | Was möchtent ihr trinken?,د پښتو ژبې زده کړه,(பிபிபிசி) (பிபிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி),"| お客様,お飲み物はいかがなさいますか? | お飲み物はいかがなさいますか? | お飲み物はいかがなさいますか? | お飲み物はいかがなさいますか?",ඔයාට මොනාද ඕනේ බොන්න?,What would you like to do picia? | What would you like to do picia?,O que você gostaria de beber? | O que você quer beber?
9732,24885,What a pity!,Quel dommage! | Dommage! | Quel malheur!,Schade. | Wie schade!,| חבל...,Che peccato! | Peccato. | Peccato!,かわいそうに! | 残念!,太遗憾了! | 遗憾。 | 多遗憾啊! | 真是太遗憾了!,ජේක szkoda...,Que pena. | Que pena! | Que lástima! | Pena!
9795,24958,Why me?,Proč moi?,ඇයි මම?,| Why me?,Perché io?,なぜ私なの? | なぜ私なの?,ඇයි මම?,ඇයි ඔව්?,Por que eu?
9833,25000,What are you going to do?,Qué vas-tu faire?,क्या तुम करते थे? क्या तुम करते थे? क्या तुम करते थे?,මොනාද ඔයා කරන්න යන්නේ?,What'hai intenzione di fare? | Che cosa farete?,what are you gonna do? what are you going to do?,你要 ఏమి?,എന്താ ഉദ്ദേശിക്കുന്നത്?,O que você vai fazer? | Que vão vocês fazer?
9858,25029,What's new?,Quoi de neuf? | Quoi de nouveau? | Quoi de neuf?,Was gibt es Neues? | Was gibts Neues?,Что нового?,Cosa c'è di nuovo?,| 何か変わったことある? | 何か変わったことない?,有什么新鲜事吗?,Co nového?,| | | | | | | | | | | | | |
9915,25095,Can I help you?,Puis-je t'aider? | Puis-je vous aider? | Puis-je t'aider? | Puis-je t'aider? | Puis-je vous aider? | Puis-je t'aider?,Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct?,Posso aiutarti? | Posso aiutarti? | Posso aiutarti? | Posso aiutarti? | Posso aiutarti? | Posso aiutarti?,Mohu jí pomoci? | Mohu ti pomoct? | Mohu ti pomoct? | Mohu ti pomoct? | Mohu ti pomoct? | Mohu ti pomoct?,手伝いましょうか。 | 手伝おうか。 | 手伝おうか?,මට පුළුවන්ද ඔයාට උදව් කරන්න?,Czy mogę Ci pomóc? | Czy mogę wam pomóc? | Czy mogę Ci pomóc?,Můžu mu pomoct? | Můžu ti pomoct de alguma forma? | Můžu ti pomoct? | Můžu mu pomoct? | Můžu ti pomoct?
9926,25106,What do you want me to do?,Que veux-tu que je fasse? | Que voulez-vous que je fasse? | Que veux-tu que je fasse? | Que voulez-vous que je fasse? | Que voulez-vous que je fasse?,"Co mám dělat? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal?",| What do you want to do?,"Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal?",What do you want me to do? | What do you want me to do?,你要我ทําอะไร?,"Co chceš, abych udělal?",| You want me to do it or what? | You want me to do it or what? | You want me to do it or what?
9976,25164,What's up?,Quoi de beau? | Quoi de neuf? | Ça va? | Qu'y a-t-il? | Comment vas-tu? | Quoi de neuf?,"Was ist los? Was geht? | Na, wie geht's? | Was gibt's?",क्या होता है? | क्या सुना? | क्या स्थिति? | क्या הענינים?,Come va? | Come butta?,何が起こったんだ? | 変わりない? | 何なんだよ。,搞什么,Jak leci? | Co jest?,Co to je? | A aí? | Tudo em cima?
10031,25229,Would you like anything to eat?,Veux-tu manger quelque chose? | Voulez-vous manger quelque chose?,Möchten Sie etwas essen?,എന്തെങ്കിലും കഴിക്കണോ?,Chceš něco k jídlu? | Chceš něco k jídlu? | Chceš něco k jídlu?,何か食べたい? | 何か食べたい?,Would you like to eat something? |  Would you like to eat something?,Chcesz coś zrobić jedzenia? | Zje pan coś?,നിങ്ങള് ക്ക് എന്തെങ്കിലും വേണോ?
10101,25313,Anything new?,Quoi de neuf? | Il y a du nouveau? | Y a-t-il du nouveau?,Gibt’s was Neues? | Gibt es etwas Neues? | Gibt’s was Neues?,What's New? | There's Something New?,Niente di nuovo? | C'è qualcosa di nuovo?,何かあった?,有什么新鲜事吗?,Coś nového?,Alguma novidade? | Algo de novo?
10274,25498,How should I know?,Comment le saurais-je? | Et comment puis-je le savoir?,എനിക്കെവിടുന്നാ അറിയേണ്ടത്?,""""" Би яаж мэдэх юм бэ? """" """" Би яаж мэдэх юм бэ? """" """" Би яаж мэдэх ёстой вэ? """"",Come potrei saperlo? | Come faccio a saperlo?,I don't know. | why do I know? | why do I know? | why do I know? | why do I know? | why do I know?,何がわかる? | 何がわかる?,Jak to mám vědět?,Como eu poderia saber?
10279,25504,I'm a free man.,Je suis un homme libre.,Ich bin ein freier Mann.,Я свободный человек. | Я בן חורין.,Sono un uomo libero. | Io sono un uomo libero.,මම නිදහස්な男.,I am a free man.,Jestem wolnym człowiekiem.,Sou um homem livre. | Eu sou um homem livre.
10284,25509,I'm a hero.,මම වීරයෙක් නෙවෙයි.,Ich bin ein Held.,මම גיבור.,Sono un eroe. | Io sono un eroe.,මම වීරයෙක්.,මම වීරයෙක්.,මම වීරයෙක්.,Já sou um herói. | Já sou uma heroína. | Sou um herói. | Sou herói.
10301,25528,Don't worry about me.,Ne t'inquiète pas pour moi. | Ne te soucies pas de moi. | Ne vous souciez pas de moi.,Nedělej si starosti o mě. | Nedělej si starosti o mě. | Nedělej si starosti o mě. | Sorg dich nicht um mich. | Nedělej si starosti o mě.,"”“不要担心,不要担心,不要担心,不要担心,不要担心,不要担心。","不要为我担心,不要为我担心,不要为我担心,不要为我担心,不要为我担心,不要为我担心。",Don't worry about me.Please don't worry about me.,මට බය වෙන්න එපා.,నా గురించి చింతించకండి.,| Let que eu me viro só.
10307,25534,Leave me alone!,Fiche-moi la paix! | Laisse-moi seule! | Laisse-moi tranquille! | Laissez-moi tranquille! | Laisse-moi en paix! | Laisse-moi tranquille! | Laisse-moi tranquille! | Laisse-moi seule!,Lass mich in Ruhe! | Lass mich doch in Ruhe!,"""இன்னும், நீ என்னைத் தூய்மையாக்கிக் கொள்வாயாக! நீ என்னைத் தூய்மையாக்கிக் கொள்வாயாக!",Lasciami stare! | Lasciami solo! | Lasciatemi stare! | Mi lasci stare!,♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪,别烦我!,Zostaw mnie samą! | Zostaw mnie w spokoju!,」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」
10311,25538,Are you talking to me?,C'est à moi que tu parles? | C'est à moi que vous parlez?,Sprichst du zu mir?,Mluvíš se mnou? - Mluvíš se mnou? - Mluvíš se mnou? - Mluvíš o mně?,मेरे साथ बात करें? | मेरे साथ बात करें? | मेरे साथ बात करें? | मेरे साथ बात करें? | मेरे साथ बात करें?,私に話してるのか? | 私に話してのか? | 私に言ってるの?,你在跟我说话吗? | 你是在对我说吗?,Czy do mnie mówisz?,あなたは私と話していますか? | あなたは私と話していますか?
10406,25640,The king abused his power.,| Le roi abusa de son pouvoir. | Le roi abuse de son pouvoir.,Der König missbrauchte seine Macht. | Der König hat seine Macht missbraucht.,राजा ने अपने अधिकारों को गलत ढंग से प्रयोग किया।,Il re abusò del suo potere. | Il re ha abusato del suo potere.,The king used his powers.,國王濫用权力. | 國王濫用权力.,Król nadużył swoją władzę.,O rei abusava de seu poder.
10449,25684,Did you buy a round-trip ticket?,As-tu acheté un billet aller-retour?,Haben Sie einen Hin- und Zurück-Ticket gekauft? | Haben Sie eine Rückfahrkarte gekauft?,د محصول د نښانونه,Avez-vous acheté un billet di andata e retour? | Avez-vous acheté un billet di andata e retour?,往復切符を買いましたか.,你买往返票吗?,د بیرته ستنیدونکي ټکټ اخیستل شوی؟,| You comprou uma passagem de ida e volta? | You comprou uma passagem de ida e volta?
10682,25930,Action!,アクション! | アクション!,లాస్!,אקשן!,Azione!,演技はじめ!,පටන් ගන්න!,ක් රියාව!,Ação!
10706,25954,Draw a circle.,Trace un cercle. | Trace un cercle! | Tracez un cercle! | Dessine un cercle.,Zeichne einen Kreis.,चित्र चक्र,गर्भाशय विच्छेदन। गर्भाशय विच्छेदन। गर्भाशय विच्छेदन।,円を描くれ。,画一个圈.,නරිසූජ් okrąg.,Desenhe um círculo.
10903,26170,Can you speak English?,Savez-vous parler anglais? | Tu parles anglais?,Canst du Englisch sprechen? | Cannen Sie Englisch?,ඔයා ඉංග් රීසි කතා කරනවද?,පාර්ලි ඉංග් රීසි?,Englishを話せますか. | あなたは英語がしゃべれますか.,あなたは英語を話しますか? | あなたは英語を話しますか? | あなたは英語を話しますか? | あなたは英語を話しますか?,Mówisz po angielsku?,ඔයා ඉංග් රීසි කතා කරනවද?
10995,26277,English is an international language.,L'anglais est une langue internationale.,Englisch ist eine internationale Sprache.,英语是國際語言。 英语是國際語言。 英语是國際語言。 英语是國際語言。,L'inglese è una lingua internazionale.,English is an international language.,English is an International Language.,Angielski do języka międzynarodowego.,English is an idioma universal. | O English é uma língua internacional.
11099,26397,I wish I could swim.,J'aimerais savoir nager.,"Ich wünschte, ich könnte schwimmen.",| הלוואי שידעתי לשחות.,Mi piacerebbe saper nuotare.,泳げればなあ. | 泳げたらいいな. | 泳げたらいいのになあ. | 泳げたらなぁ.,私は泳ぐことを願っています。 | 但願 سوف泳ぐあ。,Chciałbym umieć pływać.,Queria saber nadar.
11336,26653,You are lying.,Ty muž. | Vous mentez. | Vous êtes en train de mentir. | Tu es en train de mentir.,Du lügst. | Sie lügen.,Vy lžete.,Zůstaň mentendo. | Tu stai mentendo. | Sta mentendo. | Lei sta mentendo. | Stát mentendo. | Voi stát mentendo.,嘘をついているね. | 嘘つけ.,你在撒谎.,Kłamiesz.,നീ കള്ളം പറയുകയാണ്.
12245,27641,Leave me alone.,Laisse-moi tranquille. | Laissez-moi tranquille. | Laisse-moi seule! | Laissez-moi tranquille! | Fous-moi la paix! | Laissez-moi seul.,Lass mich in Ruhe! | Lass mich in Ruhe.,මාව තනියම තියන්න. | תניחו לי לנפשي. | תעזוב මාව בשקט. | תעזבי මාව במנוחה.,Lasciami da solo. | Lasciami da sola. | Mi lasci da solo. | Mi lasci da sola. | Lasciatemi da solo. | Lasciatemi da sola. | Lasciatemi da sola.,Leave me alone!Leave me alone!Leave me alone!Leave me alone!Don't disturb me!Leave me alone!Leave me alone!,මට තනියම ඉන්න දෙන්න.,Zostaw mnie w spokoju.,Nechte mě být sám. Nechte mě být v klidu. Nechte mě být sám.
12400,27808,He didn't say a word.,Neřekl jsem nic. Neřekl jsem absolutně nic. Neřekl jsem nic.,Neřekl ani slovo. | Neřekl ani slovo. | Neřekl ani slovo. | Neřekl ani slovo. | Neřekl ani slovo. | Nevedl ani jediné slovo ven. | Neřekl ani jediné slovo.,उसने कुछ नहीं कहा. | उसने कुछ नहीं कहा. | उसने कुछ नहीं कहा और कुछ भी नहीं कहा. | उसने कोई भी शब्द निकाला.,Ne ha detto una parola. | Lui non ha detto una parola. | Non disse una parola. | Lui non disse una parola.,He didn't say anything. | He didn't say a word. | 一言も彼は口にしなかった. | ただの一言も彼は喋らなかった. | たったの一言も彼は言わなかった. | 彼は一言も口をきかなかった.,වෙන මොකුත් කියන්න එපා.,Nie powiedział ani słowa.,Ele não disse uma palavra.
12586,28006,What did he say?,Qu'est-ce qu'il a dit? | Qu'a-t-il dit?,hat er gesagt ఉంది?,What did he say?,Che cos'ha detto? | Cos'ha detto? | Che ha detto?,ඔහු මොනාද කිව්වෙ?,මොනාද කිව්වේ?,Co jsi řekl?,O que ele disse?
12698,28129,Wrong.,Příšerný! Příšerný!,Falsch.,Imposiso.,Sbagliato.,違うんだ. | ブッブー!,錯.,Źle.,In: Errado. | Falso.
12727,28159,My stomach hurts.,J'ai mal à l'estomac. | Mon estomac me fait mal.,Já mám Bauchschmerzen. | Mein Bauch schmerzt. | Já mám Magenschmerzen. | Mein Bauch tut mir weh. | Já mám Bauchweh.,මගේ පපුවේ රිදෙනවා. | මගේ පපුවේ රිදෙනවා. | මගේ බඩ රිදෙනවා.,Mi fa పురుషుడు lo stomaco.,胃が痛いです。 | 胃が痛いの。 | おなかが痛い。 | 胃が痛い。 | 胃が痛いです。 | 私、胃が痛いよ。,胃疼我胃疼我胃疼我胃疼我胃疼。,Bolí mě břicho.,"」 「我愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我,愛我。"
13148,28607,Not bad.,പാസ് മല.,Nicht schlecht. | Nicht übel!,^ a b c d e g a g | Not bad.,غیر مرد.,悪くないね.,නියමයි.,Nieźle.,Nada mal. | Nada mau!
13494,28989,I like pizza very much.,J'aime beaucoup la pizza. | J'adore la pizza.,Ich mag Pizza sehr gerne. | Ich mag Pizza sehr. | Ich liebe Pizza.,నేను చాలా פיజ్జా ప్రేమ.,Mi piace molto la pizza. | A me piace molto la pizza.,I love pizza.,我非常喜歡比薩。,Moc rád pizzę.,Gosto muito de pizza.
13554,29049,I am at home.,Já jsem v domě.,Ich bin zu Hause. | Ich bin zuhause.,میں گھر میں ہوں.,Sono a casa. | Io sono a casa.,I am at home. | I am at home. | うちにいます. | 家にいる.,私は家にいる | 我在家にいる。,Jestem w domu.,Estou em casa.
14079,29600,Linda loves chocolate.,Linda miluje le chocolat.,Linda mag Schokolade. | Linda liebt Schokolade.,ලින්ඩා චොකලට් වලට කැමතියි.,A Linda piace la cioccolata. | Linda ama la cioccolata.,リンダはチョコレートが好きだ。 | リンダはチョコが大好きだ。,琳達喜歡巧克力。,Linda kocha czekoladę.,ලින්ඩා අමා චොකලට්.
14090,29612,I am eating an apple.,Je mange une pomme.,Ich esse einen Apfel. | Ich esse gerade einen Apfel.,මම දැන් අ תפוח עץ කන්නම්.,Sto mangiando una mela. | Io mangio una mela. | Io sto mangiando una mela.,りんごを食べています。 | リンゴ食べてます。 | 私はりんごを食べています。,我在吃个 ඇපල්.,Jem jabłka.,Jsem comingndo uma maçã. | Estou a comer uma maçã. | Como uma maçã. | Já estou comingndo uma maçã.
14108,29632,The apple fell from the tree.,La pomme est tombée de l'arbre. | La pomme tomba de l'arbre.,Der Apfel ist vom Baum gefallen. | Der Apfel fiel vom Baum.,תפוח נשר מהעץ.,^ “La mela è caduta dall'albero. | La mela cadde dall'albero.,りんごが木から落ちた.,那苹果从树上掉下来.,Jabłko spadło z drzewa.,"""අම්පා කැයිවු ඩෙවර"" (අම්පා කැයිවු ඩෙවර)."
14125,29653,Lincoln died in 1865.,リンカーンは1865年に没した。,リンカーンは1865年に死去。,Линкольн умер в 1865 году.,1865 ஆம் ஆண்டில் லிங்கன் இறந்தார்.,Lincoln died in 1865.,He died in 1865.,Lincoln umarł w 1865 r.,1865年 Lincoln faleceu no ano de 1865. | Lincoln died no ano de mil oitocentos e sessenta e cinco.
14219,29749,I'm listening to the radio.,J 'écoute la రేడియో.,Ich höre Radio.,| 私は מאזין לרדיו. | 私は מקשיב לרדיו.,Sto ascoltando la radio. | Io sto ascoltando la radio.,ラジオを聞いています。 | ラジオを聞いてるんだよ。,මම අහන්න收音機.,Słucham radia.,Já escutando rádio. | Já escuto rádio. | Já escutando rádio.
14232,29763,Turn on the radio.,රේඩියෝවෙන් ඇල්ලූම් කරන්න.,Mach das రేడియో ఒక.,| תדליקי את הרדיו.,Accendi la radio. | Accenda la radio. | Accendete la radio.,| ラジオをつけなさい。 | ラジオをつけくれ。 | ラジオをつけください。,收音机 අරින්න.,Włącz రేడియో.,Ligue o రేడియో.
14311,29846,The lion is the king of the jungle.,Le lion est le roi de la jungle.,Der Löwe ist der König des Dschungels.,האריה king of the jungle ہے.,Il leone è il re della giungla.,The Lion is the king of the jungle.,The Lion is the king of the jungle.,Lew jest králem dżungli.,O leão é o rei da selva.
14382,29922,Listen carefully.,注意! 注意! 注意! 注意! 注意! 注意! 注意!,Hör gut zu! | Höre aufmerksam zu.,अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें.,अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत,よく聞きなさい。 | よく聞いて。 | よく聞け!,ശ്രദ്ധിച്ചു കേള് ക്കൂ.,غور سے سنو.,"எழுத்தறிவு பெற்றவர்கள், எழுத்தறிவு பெற்றவர்கள், எழுத்தறிவு பெற்றவர்கள், எழுத்தறிவு பெற்றவர்கள்."
14483,30030,School starts in September in Europe.,L'école commence en septembre en Europe. | Les cours commencent en septembre en Europe.,In Europa fängt die Schule im September an.,Szkoła rozpoczyna się we wrześniu w Europie.,La scuola inizia a settembre in Europa. | La scuola inizia a settembre in Europa.,In Europe the school starts in September.,The school opened in September.,The school in Europe starts in September.,Kaip aulas na Europa prasidedam en setembro.
14506,30054,Sweet dreams!,Fais de beaux rêves! | Faites de beaux rêves!,Träum süß! | Träum schön! | Ich wünsche dir angenehme Träume!,زموږ په اړه,Sogni d'oro!,හොඳ හීනයක්.,祝你好梦。,Słodkich snów!,Bons sonhos!
14536,30085,Have a nice day.,Bonne journée! | Passe une bonne journée. | Je vous souhaite le bonjour! | Passe une bonne journée!,Schönen Tag! | Einen schönen Tag. | Ich wünsche dir einen schönen Tag. | Ich wünsche euch einen schönen Tag. | Ich wünsche Ihnen einen schönen Tag.,සුභ දවසක් වේවා! සුභ දවසක් වේවා!,ശുഭദിനം.,| じゃーな、楽しみよ。 | 良い一日を。 | 良い1日を!,සුභ දවසක් වේවා.,Miłego dnia.,Tenha um bom dia. | Tenha um bom dia! | Um bom dia!
14575,30126,Drive slowly.,Conduis lentement. | Conduisez lentement!,Fahre langsam. | Fahre langsam!,もっと速く。 | 速く。,ഗൈഡ പതുക്കെ. | ഗൈഡറ്റ് പതുക്കെ. | ഗൈഡി പതുക്കെ.,හෙමීට එලවන්න.,开车慢点。,හෙමීට යන්න.,Дирижа Девагар. | Dirige devagar.
14751,30316,Hi! How are you?,Salut! Comment ça va? | Salut! Comment vas-tu?,Hallo! Wie geht es dir? | Hallo! Wie geht’s?,"හෙයි, හෙයි, හෙයි, හෙයි.",Ciao! come stai?,元気か?,こんにちは! こんにちは? | こんにちは、あなたは?,Cześć! Jak się masz?,Ahoj! Tudo bem? | Oi! Como vai você? | Olá! Como vai você?
14824,30397,Louder.,Plus pevnost.,Lauter.,声 - 声 - 声 - 声 - 声 - 声,Ještě silnější.,もっと大きくして. | 上げ.,| 大点儿声.,Głośniej. | Głośniej!,Mais alto.
14826,30399,"Louder, please.","Plus fort, s'il vous plait.","ലൌട്ടര്, ദയവ് ചെയ്ത്.",زیادہ مضبوط براہ مہربانی.,"Più forte, per favore. | Più forte, per piacere.",もっと大きい声で言ってください。,请大声一点。,"අහන්න, කරුණාකරලා.","Mais alto, por favor."
14958,30542,Definitely!,തീര് ച്ചയായും!,Auf jeden Fall!,ប្រាកដ ហើយ!,Decisamente!,Samozřejmě! | Samozřejmě!,| 当然哪!,Zdecydowanie!,Com certeza!
15238,30835,I wouldn't do that if I were you.,Je ne le ferais pas si j'étais vous. | Je ne le ferais pas si j'étais toi.,"I wouldn't do it in your place. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it.",I wouldn't do it if I were you. I wouldn't do it if I were you. I wouldn't do it if I was you. I wouldn't do it if I was you. I wouldn't do it if I was you.,例如:Io non lo farei se fossil in te. | Io non lo farei se fossil in voi. | Io non lo farei se fossil in lei.,I wouldn't do that if I were you. | I wouldn't do that if I were you. | I wouldn't do that if I were you.,"If I am you, I will not do that thing.",Nie robiłbym tego na twoim miejscu. | Nie robiłbym tego na twoim miejscu.,”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“
15358,30970,Are you there?,Jsi tam? | Ty jsi tam? | Jsi tam? | Ty jsi tam?,ബിസ് ടു ഡാ?,మీరు ఉన్నాయి?,നിനക്കെന്താ? നിനക്കെന്താ?,もしもし、来ていますか. | そこにいるの?,ඔයාද?,Jsi tam?,Jsi tam? | Ty jsi tam? | Ty jsi tam?
15690,31334,Time is up.,| 時間は過ぎた。,Die Zeit ist um.,நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து.,Čas je finito. | Čas je scaduto. | Není víc času.,もう終わりです。 | 時間終了。 | はい、そこまで。,වෙලාව ඇවිත්.,Czas minął.,O tempo ముగిసింది.
15703,31348,We have no time.,ہم وقت پاس نہیں ہے.,Wir haben keine Zeit.,අපිට විනෝදයක් නෑ.,Non abbiamo tempo.,もう時間がない。 | うちらには時間がないんだよ。,අපි没 වෙලා.,Nie mamy tempo.,Não temos tempo.
15728,31380,I have to leave now.,"Je třeba que j'y aille maintenant. | Je dois partir maintenant. | Je dois y aller. | Je faut que j'y aille, maintenant.",Musím teď jít. | Musím teď weggehen. | Musím teď los.,Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít.,Devo partire ora. | Devo partire adesso.,I have to go now. | もう行かなくちゃ. | もう失礼しなくては。 | もう行かなくちゃ. | もう失礼しなくては。 | もう行かなくちゃ. | もうおいとましなければなりません。,මම该走了.,Muszę już wyjść. | Muszę już iść.,Mám que ir agora. | Tenho que partir agora. | Eu tenho que sair agora. | Eu tenho que ir embora agora.
15737,31390,"No, thank you.",نہیں، رحمت.,"නෑ, ස්තුතියි.",نہیں، شکریہ.,"Ne, díky.",いえ、結構です。 | 大丈夫です。,"不用了,谢谢。","Nie, ස්තූතියි.","Não, obrigado. | Não, obrigado."
15814,31476,"Could you repeat that, please?","Pouvez-vous répéter cela, s'il vous plaît?",Pouvez-vous le répéter? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois?,"Jste připraveni to vrátit, prosím?","Potresti ripetermelo, per favore? | Può ripetere, per favore?",もう一度言ってくださいますか。,你能重复一下吗?,"Proszę, powtórz. | Czy mógłbyś to powtórzyć?","Mohla bys to opakovat, prosím? | Mohla bys to opakovat, prosím? | Mohla bys to opakovat, prosím? | Poderia to opakovat, prosím?"
15855,31522,Please show me another one.,"S'il te plaît, montre-m'en un autre. | Montrez-moi un autre, s'il vous plaît. | Veuillez m'en montrer une autre. | Veuillez m'en montrer un autre. | Montre-m'en un autre s'il te plaît. | Montre-m'en une autre, je te prie.",Bitte zeigen Sie mir ein Anderes. | Zeig mir bitte einen anderen.,කරුණාකරලා මට පස්සේ බලන්න.,| | | | | | | | |,もう一つ別の物を見せてください。 | ほかのを見せてください。,请给我看看另一个。,Ukaž mi prosím Inny.,"Por favor me mostre outro. | Por favor, mostre-me um outro. | Por favor, mostre-me outra."
16000,31683,It's already seven.,Il est déjà 7 heures.,Es ist schon um 7.,7 ஆம் நூற்றாண்டு முதல் 7.,Sono già le 7.,もう7時よ. | もう7時だよ.,දැන් 7点.,Już jest 7.,Já são sete horas.
16038,31723,Try again.,Essaie encore. | Essayez de nouveau. | Essaie de nouveau.,Zkuste to ještě jednou. | Zkuste to ještě einmal. | Zkuste to ještě mal.,Zkus to ještě jednou. | Zkus to ještě jednou.,Provi ancora. | Prova di nuovo. | Provi ancora. | Provi di nuovo. | Provi ancora. | Provate ancora. | Provate di nuovo.,もう1度やってみなさい。 | もう一度やってみなさい。 | もう onceやってみなさい。,再試一下. | 再試一次.,Spróbuj jeszcze raz.,Tenta de novo. | Tentem de novo. | Tente de novo. | Tente mais uma vez. | Tente novamente. | Tenta mais uma vez.
16201,31892,Mary is tall.,Marie est grande.,Maria ist groß.,マリヤ・ハイド | マリヤ・ハイド,Maria è alta. | Maria è alta.,She is tall.,瑪麗很高。,玛丽笑得很高.,Mary é alta.
16209,31900,Mary understands Chinese.,Marie comprend le chinois.,Maria versteht Chinesisch.,מרי മבינה סינית.,మేరీ Capisce il cinese capisce.,メアリーは中国語がわかります。 | メアリーは中国語が分かります。,瑪麗懂中文。,Mary rozumí čínštině.,Mary rozumí chinês.
16216,31907,Mary ran.,Marie Courutová.,メアリー・ランテ (Mary Rante) | Maria lief.,מרי רצה.,Mary ha corso. | Mary corse.,Mary ran away.,മാരി ഓടിപ്പോയി.,మేరీ biegła.,మేరీ correu.
16371,32071,You're disgusting!,To je degueulasse!,Du bist ekelhaft!,നീ വൃത്തികെട്ടവളാണ്!,Jsi nechutný! | Jsi nechutný! | Jsi nechutný! | Jsi nechutný! | Jsi nechutný! | Siete nechutný! | Voi siete nechutný! | Siete nechutný! | Voi siete nechutný! | È nechutný! | Lei è nechutný! | È nechutný! | Lei è nechutný!,ムカつく! | キモい!,നിനക്കെന്താ ഭ്രാന്ത്?,നീ വൃത്തികെട്ടവനാണ്!,നിനക്കറിയില്ലേ!
