,index,english,translated_from_finnish
9561,24674,What did you buy?,څه شی دی؟ | څه شی دی؟
9563,24676,What are you reading?,මොනාද ඔයා කියවන්නේ?
9583,24698,What are you thinking about?,Co ty myślisz? | Co ty myślisz?
9588,24706,What do you mean?,क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या आप चाहते हैं? | क्या आप चाहते हैं?
9624,24759,What do you want to do?,आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं? | आप क्या करना चाहते हैं?
9629,24765,What would you like to drink?,What would you like to drink? | What would you like to drink?
9732,24885,What a pity!,Vahinko. | Voi harmi! | Voi miten harmillista! | Onpa harmillista!
9795,24958,Why me?,Kodėl minä? | Kodėl juuri minä?
9833,25000,What are you going to do?,Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat? | Co chceš dělat?
9858,25029,What's new?,What's New? | Is there something new?
9915,25095,Can I help you?,Kaip galite padėti? | Kas gali padėti jums? | Kas gali padėti jums?
9926,25106,What do you want me to do?,"Co chceš, abych dělal? | Co chceš, abych dělal? | Co chceš, abych dělal?"
9976,25164,What's up?,क्या आता है? | कैसे जाता है? | कब गिरता है? | कब गिरता है? | कब गिरता है?
10031,25229,Would you like anything to eat?,Wantaisitko mitään syötävää? | Tahtoisitko jotain syötävää?
10101,25313,Anything new?,Mitään uutta? | Onko mitään uutta?
10274,25498,How should I know?,Miten minä sen tietäisin?
10279,25504,I'm a free man.,Olen vapaa mies.
10284,25509,I'm a hero.,Já olen sankari. | Já olen sankari.
10301,25528,Don't worry about me.,| Älkää huolehtiko minusta.
10307,25534,Leave me alone!,Jätä minut peacean! | Anna minun olla rauhassa! | Anna minun olla!
10311,25538,Are you talking to me?,د پښتو ته راواپس کېدل
10406,25640,The king abused his power.,Kuningas väärinkäytti valtaansa.
10449,25684,Did you buy a round-trip ticket?,ඔස්ට්ටිකෝ මෙනෝ-පාලුයි-ලිපුන්?
10682,25930,Action!,Actiona!
10706,25954,Draw a circle.,Piirrä ympyrä.
10903,26170,Can you speak English?,Osaatko puhua englantia?
10995,26277,English is an international language.,Английский на международном языке.
11099,26397,I wish I could swim.,ഒസൈസ്സിൻപ ഉയിഡ.
11336,26653,You are lying.,අනේ පස්සට වෙන්න!
12245,27641,Leave me alone.,Jätä minut peacean.
12400,27808,He didn't say a word.,Hän ei sanonut mitään.
12586,28006,What did he say?,Co řekl on? | Co řekl mies? | Co řekl syn?
12698,28129,Wrong.,വ്രാറിന്.
12727,28159,My stomach hurts.,மலேசியாவில் | Mahani on kipeä.
13148,28607,Not bad.,Ei paha.
13494,28989,I like pizza very much.,Pořádná pizzasta tosi paljon.
13554,29049,I am at home.,Olen kotona. | Minä olen kotona.
14079,29600,Linda loves chocolate.,Linda pitää kovasti suklaasta. | Linda rakastaa suklaata.
14090,29612,I am eating an apple.,Syön omenan.
14108,29632,The apple fell from the tree.,ඔමේනා ටිගුයි පූසා.
14125,29653,Lincoln died in 1865.,லிங்கன் 1865 ஆம் ஆண்டில் பிறந்தார்.
14219,29749,I'm listening to the radio.,Kuuntelen radiota. | Minä kuuntelen radiota.
14232,29763,Turn on the radio.,Voisitko put radion päälle? | Laita radio päälle.
14311,29846,The lion is the king of the jungle.,Leijona on viidakon kuningas.
14382,29922,Listen carefully.,Kuuntele tarkasti. | Kuuntele tarkkaan.
14483,30030,School starts in September in Europe.,Europeanssa koulut prasideda rugsėjossa.
14506,30054,Sweet dreams!,කෞනියිටා යුනියා!
14536,30085,Have a nice day.,සුභ දිනjatkoa.
14575,30126,Drive slowly.,Aja hitaasti.
14751,30316,Hi! How are you?,"terve, mitä kuuluu? | Hei! Mitä kuuluu? | Moi! Miten menee?"
14824,30397,Louder.,பாலின விகிதம் (கி.மு.மு.
14826,30399,"Louder, please.","Lujempaa, kiitos. | Kovempaa, kiitos."
14958,30542,Definitely!,Tietenkin! | Tietysti! | Totta kai! | No tietty! | Ehdottomasti!
15238,30835,I wouldn't do that if I were you.,Sinuna en tekisi niin.
15358,30970,Are you there?,നിങ്ങള് അവിടെയാണോ?
15690,31334,Time is up.,Aika na konci.
15703,31348,We have no time.,നമുക്ക് സമയമില്ല.
15728,31380,I have to leave now.,Musím jít teď. | Teď minun musí odejít. | Musím jít teď. | Musím jít teď. | Musím jít teď. | Musím odejít teď. | Musím odejít teď.
15737,31390,"No, thank you.",Ei kiitos.
15814,31476,"Could you repeat that, please?",Voisitko toistaa?
15855,31522,Please show me another one.,Voisitko näyttää jonkin toisen? | Voisitko näyttää jotain toista?
16000,31683,It's already seven.,Kello na Jo seitsemän.
16038,31723,Try again.,احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى احاول مرة اخرى
16201,31892,Mary is tall.,Mari na Longu.
16209,31900,Mary understands Chinese.,Mari ymmärtää kiinaa.
16216,31907,Mary ran.,മാരി ജൂക്സി.
16371,32071,You're disgusting!,നിനക്കൊന്നു പേടിക്കണ്ട!
16803,32527,I agree completely.,私は完全に同意しています. | 私は完全に同意しています.
16844,32569,I don't know yet.,| Mä en tiie viel.
16903,32635,See you again.,(பிபிபிசி) நேபாள மொழி: நேபாள மொழி: நேபாள மொழி: நேபாள மொழி: நேபாள மொழி: நேபாளம்
16937,32672,See you soon!,නhdään pian!
17093,32841,A friend in need is a friend indeed.,| Hädässä ystävä tunnetaan. | Hädässä ystävä tunnetaan.
17588,33354,Take a taxi to the hotel.,Ота такси hotellille.
17763,33536,I don't like coffee.,කෝපි එකක් බොන්න.
17933,33712,I feel homesick.,കൊയ്-ഐക്കവയുടെ കാര്യം നോക്ക്.
17991,33771,Do you have a pen?,നിനക്കെന്തെങ്കിലും അറിയാമോ?
18223,34011,Do your best.,Tee parhaasi.
18989,34819,It's brand new.,Se on upouusi.
19015,34846,"Two beers, please.","Two olutta, thank you."
19153,34991,Do you like playing volleyball?,Pelaatko mielelläsi lentopalloa?
19253,35096,Who wrote Hamlet?,Kuka wrote Hamletin?
19520,35385,Let's take a bus.,Menään bussilla.
19601,35471,Fill the bucket with water.,Täytä ämpäri vedellä.
19616,35489,Don't talk nonsense!,අනේ කතා කරන්න hölynpölyä. | අනේ කතා කරන්න roskaa! | අනේ කතා කරන්න puppua!
19708,35586,Here are your keys.,Tässä ovat avaimesi.
20167,36088,What?,What? | What?
20174,36097,How cute!,कैसे है! कैसे है! कैसे है! कैसे है! कैसे है! कैसे है! कैसे है!
20359,36297,Everything is ready.,Wszystko na valmista. | Wszystko na valmiina.
20396,36344,Why is he here?,Proč je tady?
20451,36405,Why are you crying?,Kodėl sinä itket? | Kodėl te itkette?
20459,36413,Why did you quit?,എന്തിനാ നിന് റെ ദേഷ്യം?
20465,36419,Why?,ඇයි?
21008,37011,Tom goes to school on foot.,Tom käy koulussa kävellen. | Tom menee kouluun kävellen. | Tom menee kouluun jalan.
21012,37015,Tom likes to knit.,トム・オブ・ネウロア. | トム・オブ・ネウロア.
21025,37029,Tom frowned.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:
21049,37053,Tom is interested in mountaineering.,Tom auf interessiert vuorikiipeilystä. | Tomia interessiert vuorikiipeilily. | Vuorikiipeily interessiert Tomia.
21073,37077,Tom is a student.,Tom on Student. | Tom on oppilas.
21078,37083,Tom is interested in mathematics.,汤姆对数学感兴趣. | 汤米娅对数学感兴趣. | 数学感兴趣汤米亚.
21093,37098,Tom drove the car.,Tom ajoi autoa.
21115,37121,Tom gave me a pen.,Tom antoi minulle kynän.
21156,37162,Tom is absent.,"இக்கோயிலில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சியகங்கள், அருங்காட்சியகங்களில் அமைந்துள்ள அருங்காட்சி"
21164,37170,Tom looks pale.,Tom vypadá kalpealta.
21178,37185,Tom likes swimming.,例如: 例如: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例: 例:
21191,37199,Tom walks slowly.,Tom kävelee hitaasti. | Tom on hidas. | Tom on hidas kävelemään.
21217,37226,Does Tom like tomatoes?,ടോം ടോമയാട്ടിസ്റ്റാണോ?
21224,37234,Where was Tom born?,Missä Tom on syntynyt? | Missä Tom syntyi?
21225,37236,Tom finally gave up smoking.,ටොම් lopetti tupakanpolton.
21233,37244,Tom likes cheese.,Tom pitää juustosta. | トムはチーズストーステー。
21355,37370,Tom and I are friends.,Tom ja minä jsme ystäviä.
21376,37392,Aren't you Tom?,നീയാണോ ടോം?
21420,37437,"How are you, Tom?","What Happens, Tom? | What Happens, Tom?"
21493,37512,Where does it hurt?,څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟
21787,37840,It was really cheap.,| Se oli tosi halpaa.
21838,37894,It doesn't matter.,Ei sen väliä.
21871,37928,Which book is yours?,ستاسو په اړه څه ليکنه؟
21919,37981,You may choose whichever you want.,Voit valita minkä tahansa haluat.
22065,38153,Where do you work?,Kde jsi pracoval? | Kde jsi pracoval? | Kde jsi pracoval? | Kde máš práci?
22275,38387,I'm sorry.,සමාවෙන්න. | Olen pahoillani. | Pyydän anteeksi. | Minä olen pahoillani.
22280,38392,I don't get it.,| En tajua. | En tajua.
22349,38464,Please drive carefully.,| Ajathan varovaisesti. | Ajathan varovaisesti.
22414,38559,Please make yourself comfortable.,Tee olosi mukavaksi.
22420,38571,"Sit down, please.","வார்ப்புரு:Olka hyvä ja istukaa. | Käykää istumaan, olkaa hyvä. | Istukaa, olkaa hyvä. | Istuhan alas. | Istu alas, ole hyvä. | Käy istumaan, ole hyvä."
22633,38820,Please forgive me.,Anna minulle anteeksi.
22726,38926,How are you doing?,| Miten voit?
22731,38932,Where's the restroom?,Missa టాయిస్ ఆన్?
22751,38955,German is not an easy language.,ജര് മ്മന് ഒരു എളുപ്പ ഭാഷയല്ല.
22919,39148,Turn off the TV.,Telewizja Sulje.
22935,39164,I watch television.,Katson telkkaria. | Katson TV:tä. | Katson televizija. | Katselen televizija. | Mä kattelen telkkarii.
23362,39619,There is an orange on the table.,Pöydällä on appelsiini.
23726,40019,Let me see it.,Annas kun minä katson.
23755,40051,Step aside.,Astu sivuun.
24039,40350,No one can help me.,Kukaan ei voi నాకు సహాయం.
24119,40434,Who cares?,Ketä kiinnostaa? | Ideal niinku kiinnostais.
24301,40632,Stop smoking.,லோபேட்டா துபாக்கனி. | லோபேட்டா துபாக்கன் பொல்ட்டோ. | லோபேட்டா துபாக்கன் பொல்ட்டோ.
24829,41207,Most Americans like hamburgers.,Didžioji dalis amerikkalaisista išsiskiria iš hampurilaisista.
25162,41556,I didn't mean it.,En tarkoittanut sitä.
25178,41572,Don't say that.,Neříkej to takhle. | Neříkej to takhle.
25310,41719,Turn it off.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்.
25413,41825,"Give it to me, please.",Ole hyvä ja anna se minulle.
25435,41848,Let me see that.,Anna minun katsoa sitä.
25615,42038,It's about the size of an egg.,Se on suunnilleen munan kokoinen.
25800,42235,Whose idea was it?,Kenen idea se oli? | Kenen ajatus se oli?
25903,42344,Is it yours?,നിനക്കെന്താ പ്രശ്നം?
26116,42572,I put it in the drawer.,Panen se pöytälaatikkoon. | Panen sen ボックスon.
26373,42849,What is it?,What se on? | What se on?
26708,43211,What does it mean?,Co to znamená?
27366,43899,Give me the book.,Anna kirja minulle. | Anna minulle se kirja. | Anna se kirja minulle.
27393,43928,Where is the book?,Missä kirja on? | Missä se kirja on?
30161,46819,The car is ready.,Auto on valmis. | Auto on valmiina.
31360,48085,What does this word mean?,Co to znaczy to słowo? | Co to słowo oznacza?
31515,48251,The dog is dying.,Se dog on kuolemaisillaan.
33122,49963,Open the bottle.,Avatkaa se pullo. | Avatkaa pullo. | Avaa se pullo. | Avaa pullo.
34300,51271,I'm not at all tired.,”“我一点也不累了。 ”“我一点也不累了。
34363,51340,I have a cough.,യസ്കയുടെ കാര്യം നോക്ക്.
34690,51692,"All horses are animals, but not all animals are horses.","എല്ലാ കുതിരകളും മൃഗങ്ങളാണ്, പക്ഷെ എല്ലാ മൃഗങ്ങളും കുതിരകളല്ല."
35005,52022,Terrific!,Mahtavaa! | Upeaa! | Upeeta!
35010,52027,Wow!,Mahtavaa! | Siistiä! | Vau!
35060,52081,I'm coming.,Jsem tulossa. | Já olen tulossa. | Tulen. | Já tulen.
36366,53465,Study hard.,Opiskele ahkerasti.
37073,54201,Here comes the bus.,Siinä tulee bussi.
37093,54223,Come along.,"""நம்முடன் வரவும், நம்முடன் வரவும், நம்முடன் வரவும், நம்முடன் வரவும்."
37187,54331,Ladies first.,නයිසෙට් ඉස්සෙල්ලා.
37308,54468,I wish you good luck.,"""உங்களுடைய நற்செயல்களை நிறைவேற்றிக் கொள்வீராக! | உங்கள் நற்செயல்களை நிறைவேற்றுவீராக!"
37430,54604,"Hello, Tom.","Hej, Tome! | Terve, Tome! | Moi, Tome."
37679,54868,It's true.,Totta న చూడండి.
37886,55087,Whose books are these?,Kenen kirjoja nämä ovat?
38220,55437,This is their house.,Tohle je na jejich talonsa. | Tohle je na jejich kotinsa.
38293,55514,Whose room is this?,Kenen huone tämä on?
38298,55519,Whose umbrella is this?,Kenen tämä sateenvarjo on?
38300,55521,Whose pencil is this?,Kenen lyijykynä tämä on? | Kenen kynä tämä on?
38312,55535,This is too big.,ഇത് വളരെ വലുതാണ്.
38503,55738,This is a dog.,මේක බල්ලා මත.
38513,55749,Is this your bicycle?,Ar tai polkupyöräsi? | Ar tai Bikesi? | Ar tai Your Bikesi?
38528,55767,I don't like this.,"”“我不喜欢这个,我不喜欢这个,我不喜欢这个,我不喜欢这个,我不喜欢这个,我不喜欢这个。"
38732,55984,Is this your umbrella?,Ar tai tavo sateenvarjosi? | Ar tai tavo sateenvarjosi?
39336,56634,What do you call this vegetable in English?,ولې دا د انګليسي ژبې خبرې اترې ولې دي؟
39580,56910,This book is new.,இது ஒரு புதிய பதிப்பு.
40569,57974,I don't understand this word.,En ymmärrä tätä sanaa.
41714,59199,Don't throw away this magazine.,ඒ අයව මේ පැත්තෙන් අරගෙන යන්න.
42988,60560,This program cannot be run in DOS mode.,Este programaa ei voi llevar a cabo DOS-tilassa.
43098,60676,Does this bus go to the beach?,ഈ ബിസ്സി ബാറണ്ടെല്ലെ?
43174,60758,The knife is not sharp.,Veitsi ei ole terävä.
43864,61484,This is my daughter.,Dies on tyttäreni. | Tässä on minun tyttäreni.
43988,61614,This is a hospital.,ഇത് ഹോസ്പിറ്റലിൽ ആണ്.
44219,61875,Please wait here.,"Odota tässä, ole hyvä."
44415,62110,Where is the nearest subway station?,Missä na lähin metroasema?
44885,62608,Nobody was injured.,Kukaan ei loukkaantunut.
45368,63119,Today is Sunday.,ഇന്ന് ഞായറാഴ്ച.
45458,63212,Do you believe in ghosts?,Uskotko aaveisiin?
45461,63215,You make me happy.,Sinä teet minut iloiseksi. | Sinä teet minut glücklicheksi.
45464,63218,You look tired.,පේන විදිහට මහන්සිneeltä.
45531,63296,I caught three fish yesterday.,Sain eilen kiinni kolme kalaa.
45558,63324,A fox is a wild animal.,Kettu auf villieläin.
45836,63615,It's pretty cold.,നല്ല തണുപ്പുണ്ട്.
45851,63631,Canada is larger than Japan.,Kanada na większej niż japoński.
46147,63957,Is your mother at home?,අම්මා ගෙදර ඉන්නවද?
46407,64241,Your dog is very big.,コイラシは本当にイソ。
46423,64257,Take care of yourself.,| Pidä huolta itsestäsi.
46488,64332,You are drunk!,"""உங்களுடைய தெய்வங்கள் யாவும் (அல்லாஹ்வின்) தூதர்கள் ஆவார்கள்"" (என்று கூறப்படும்)."
46621,64491,Behave yourself.,Käyttäydy.
46626,64496,Watch yourself.,Ole varovainen.
46634,64505,Sit wherever you like.,Istu missä haluat. | Istu missä haluat.
46736,64620,I want money.,Já chci rahaa. | Haluan rahaa.
46799,64693,Welcome home.,Vítejte doma.
46985,64918,"Good morning, Mike.","Huomenta, Mike."
47531,65501,My family goes skiing every winter.,Perheeni යනවා hiihtämään joka talvi.
47918,65909,It's too late now.,Na příliš myöhäistä nyt.
47926,65918,I am coming.,Tulen. | Já tulen. | Olen tulossa. | Já olen tulossa.
48043,66043,When did you get back from London?,Milloin palasit Londonsta?
48608,66664,Jesus wept.,യൂസസ് ഇറ്റ്കി.
48699,66762,Happy Easter!,Iloista pääsiäistä! | Iloista Pääsiäistä! | Laba pääsiäistä!
48916,66989,What's that?,क्या है? | क्या है? | क्या है? | क्या है? | क्या है?
49048,67124,Is that a bat?,നിനക്കെന്താ ലപ്പങ്കോ?
49050,67126,That is mine.,నాన్ చూడండి.
49262,67345,Alice smiled.,ലിയസ ഹിമിലി.
50014,68134,Do you know if he has a girlfriend?,"Víš, že má přítelkyni?"
50417,68547,The house is haunted.,Talossa kummittelee. | This on kummitustalo. | Se on kummitustalo. | Siinä talossa kummittelee.
50430,68563,Look at that smoke.,Katso tuota savua.
50752,68908,Are you free tomorrow?,| Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Máš zítra něco? | Máš zítra něco? | Máš zítra něco? | Máš zítra něco? | Máš zítra něco?
50779,68937,I admire you.,Ihailen sinua.
50789,68948,Are you busy?,നിനക്കെന്താ ഇത്ര തിരക്ക്?
50795,68954,Are you studying?,Opiskeletko?
50871,69044,Do you know where he lives?,"Víte, kde bydlí?"
51020,69205,Do you get along with your boss?,♪ ♪ ♪
51214,69421,Have you ever seen a whale?,Už jsi nikdy neviděl valasta?
51225,69436,Do you like black cats?,ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟
51284,69506,You have a good memory.,සිනාල්ලා on hyvä muisti.
51296,69521,Are you a student?,あなたは学生ですか? | あなたは学生ですか?
51362,69611,You have everything.,හැමදේම සිනාල්ලා.
51370,69619,Do you want anything to eat?,何か食べたいですか? | Tahdotko食べたいですか?
51485,69763,You're still young.,பாலின விகிதம் ஆயிரம் ஆண்களுக்கு 100 பெண்கள் வீதம் உள்ளனர். பாலின விகிதம் ஆயிரம் ஆண்களுக்கு 100 பெண்கள் வீதம் உள்ளனர்.
52019,70408,Where is your room?,په اړه څه شی دی؟
52198,70623,What is your name?,څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟
52496,70960,How old is your father?,Minkä ikäinen isänne on? | How old isäsi on?
52528,71000,How old is your grandfather?,Kaip senas jūsų isoisäsi ant?
52742,71256,Are you students?,Ar esate opiskelijoita? | Ar esate te opiskelijoita?
53190,71751,I know him.,Já ji znám. | Já ji znám. | Tunnen ji. | Vím ji.
53489,72055,He looks suspicious.,Hän näyttää epäilyttävältä.
53510,72076,Now I remember.,දැන් මතක තියාගන්න.
54778,73398,Ten years is a long time.,ஆண்டு முடிவிற்கு மேலும் பல ஆண்டுகள் உள்ளன.
54812,73434,It's ten o'clock sharp.,Kello na tasan 10.
55379,138919,Welcome.,Welcome! | Welcome.
55509,237639,You speak fluent English.,英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth
55555,237692,I'll make you happy.,Teen sinut iloiseksi. | Teen sinut glücklicheksi.
55560,237698,I believe in you.,Uskon sinuun.
56637,238862,It's Monday.,തിങ്കളാഴ്ച.
57023,239285,Can you find it?,Voitko finden sen? | findtkö sen?
57151,239431,Good luck.,In: Onnea matkaan. | Onnea.
57294,239578,Where do you live now?,Missä sinä asut ఇప్పుడు?
57582,239892,Is he breathing?,ഇയാളെ തൂങ്ങിക്കിടക്കുന്നുണ്ടോ?
57834,240166,Look back!,മ്യൂസിലേ!
58614,241077,Let's go!,മെൻറെൻ!
58720,241200,I give up.,Annan periksi. | Luovutan.
59166,241675,I'm on a diet.,Olen dietilla. | Olen laihdutuskuurilla.
60039,242641,That's enough for today.,Tohle stačí od tohoto dne. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto.
60111,242732,It is very cold today.,Dnes on tosi chladno. | Dnes on strašně chladno. | Dnes on opravdu chladno.
60183,242809,It's cold today.,ഇന്ന് തണുത്തു.
60207,242836,It is Monday today.,ഇന്ന് തിങ്കളാഴ്ച.
60247,242881,It's hot today.,今日は暑い日です. | 今日は暑い sää.
60906,243599,Sugar dissolves in water.,Sokeri liukenee veteen.
61013,243711,The worst is over.,പാഹിന് ഓഹിയില്.
61782,244539,Yesterday was my birthday.,Eilen oli syntymäpäiväni. | Eilen oli minun syntymäpäiväni. | Minulla oli eilen syntymäpäivä.
62564,245411,Are you working?,Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете?
62605,245454,I'm looking for a job.,Etsin työtä. | Etsin töitä.
63020,245897,Children need loving.,Lapset tarvitsevat rakkautta.
63402,246314,"Stop, or I'll shoot.",Pysähdy Tai గన్.
64414,247442,Welcome to our home.,සාදරයෙන් පිළිගන්නවා අපේ ගෙදරට.
64711,247763,We try.,| Yritämme.
64879,247937,We played soccer yesterday.,Já pelasimme včera fotbala.
65001,248069,We painted the house green.,Maalasimme talon vihreäksi.
66839,250101,Please tell me your name.,名前の由来は? | Sanoisitko nimesi.
66866,250135,Follow me.,| Seuraa minua.
67038,250327,Do you remember me?,Pamatuješ si minutku? | Pamatuješ si ten minutku? | Pamatuješ si minutku? | Pamatuješ si minutku?
67322,250648,My legs still hurt.,ජල්කනි ඔවන් තවමත් කිපිට්.
67352,250680,He is my brother.,Hän on minun veljeni. | Hän on veljeni.
67692,251060,Answer me.,Vastaa minulle.
68451,251884,Where's my book?,මිසා on kirjani?
68790,252254,I played soccer yesterday.,Pelasin eilen jalkapalloa.
68808,252272,I have a car.,Minulla on auto. | Mul on auto.
68816,252280,I like castles.,Minä pidän linnoista.
68823,252287,I am a student.,Já jsem student. | Já olen student. | Mä oon student.
69426,252983,I don't drink much wine.,En juo paljon viiniä.
70203,253848,I have a computer.,Mám počítač.
70649,254335,I don't know how to spell the word.,| En osaa luetella tätä sanaa kirjain kirjaimelta.
71093,254847,I'm glad to hear that.,Sepä mukava kuulla.
71253,255034,I like chocolate.,| Pidän suklaasta. | Pidän suklaasta.
71273,255055,I hid under the table.,Menin piiloon pöydän alle.
71297,255080,I like tennis.,縣治天台。
71529,255340,I'd like to live in New York.,නිව් යෝර්ක්සිසා වල නිව් යෝර්ක්සිසා වල.
71804,255644,I'm happy to see you again.,Onpa kiva మీరు మళ్ళీ చూడటానికి.
71867,255717,I gave Mary a book.,Annoin Marille kirjan.
72048,255926,I like to eat apples.,Syön mielelläni omenoita. | Syön mielelläni mangia omenoita.
72156,256043,I bought a book.,ഓസ്റ്റിൻ ലൈസന്.
72280,256178,I can swim.,ඔසාන් වුයිඩා.
72329,256236,I study English.,Minä opiskelen englantia. | Opiskelen englantia.
72890,256891,I like fish.,| Pidän kalasta. | Pidän kalasta.
72970,256982,I'm going to the bank.,Olen menossa bankain. | Menen bankain. | lähden bankain.
73077,257112,I like your car.,Pidän autostasi. | Pidän autostasi.
73078,257113,I need your help.,Tarvitsen apuasi. | Minä tarvitsen apuasi.
73156,257204,I'm married.,Olen naimisissa. | Minä olen naimisissa.
73213,257266,I have lost my key.,Olen hävittänyt avaimeni. | Olen kadottanut avaimeni.
73426,257499,I'm on vacation.,Olen lomalla.
73674,257783,He wrote a letter yesterday.,他昨天写了一封信.
73698,257809,I was busy yesterday.,"”“我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,"
73707,257819,I retired last year.,Jäin గత సంవత్సరం eläkkeelle.
74284,258457,I wrote a letter.,കർജോട്ടിൻ കർജിൻ.
74510,258713,I laughed.,നൌരോയിൻ.
74564,258769,I overslept.,Nukuin pommiin.
74638,258845,I know the truth.,Já tiedän totuuden. | Vím totuuden.
74773,258994,I'm not a student.,Minä en ole opiskelija.
74799,259020,I have a new red car.,Minulla on uusi punainen auto.
74809,259030,I've lost my ticket.,| Olen kadottanut lippuni. | Olen hävittänyt lippuni.
74823,259045,I was in London last month.,Byla jsem v Londýně poslední kuussa.
74847,259069,I am a teacher.,Olen Lehrer. | Já olen Lehrer.
74848,259070,I am not a teacher.,എന് ole ടീച്ചര്.
74945,259190,I run.,Já běžen. | Juoksen.
74984,259233,I'm proud of my son.,Olen ylpeä pojastani.
