,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
3361,18073,You don't understand.,| You ne comprenez pas.,Sie verstehen nicht. | Du verstehst nicht.,تم نہیں سمجھتے.,न capisci. | Tu non capisci. | Non capisce. | Lei non capisce. | Non capite. | Voi non capite.,"君,わかってないね.",You don't understand. | You understand. | You understand.,Ty nie అర్థంsz.
3552,18278,The sky is full of stars.,ciel est plein d'étoiles. | ciel est plein d'étoiles.,Der Himmel ist voll mit Sternen. | Der Himmel ist voller Sterne.,ആകാശം നിറയെ നക്ഷത്രങ്ങള്.,Il cielo è pieno di stelle.,The sky is full of stars. | 満天の星だ.,天の星 | 天空布满星辰. | 天空布满星辰.,Niebo pełne jest gwiazdą.
3619,18356,Stop grumbling.,アーレテ・デ・ラレラー | Arrête de ronchonner.,අහන්න auf zu murren.,නවත්තන්න කටර්. නවත්තන්න להתלונן. නවත්තන්න לרטון.,Smettila di lamentarvi. | La smetta di lamentarsi. | Smettila di lamentarti.,මෝඩයා නවත්තන්න.,Stop发牢骚吧.,Přestaň stěžovat.
3758,18505,Money is the root of all evil.,"""ജര് ജന് റ് എല്ലാ ഭ്രാന്തന് മാരേയും ഉറവിടമാണ്.""",Geld ist der Ursprung allen Übels. | Geld ist die Wurzel allen Übels.,പണം הוא שורש כל רע.,Il denaro è la radice di tutti i mali.,金銭はすべてのあくの根である。 | 金は諸悪の根源。,The money is all sin悪之源.,Pieniądze do źródła wszelkiego zła. | pieniądz do źródła wszelkiego zła.
3781,18531,I wish I were rich.,Chci být bohatý. Chci být bohatý. Chci být bohatý. Chci být bohatý.,"Ich wünschte, ich wäre reich. | Wenn ich nur reich wäre! | Schön wär’s, wenn ich reich wäre.","”“我本来是有钱的,我本来很有钱。",Chci být bohatý. Chci být bohatý. Chci být bohatý. Chci být bohatý.,金持ちならいいのに。 | 金持ちならああ。,I wish I had a lot of money.,Chciałabym být bogata.
3870,18631,Money talks.,ఎల్ జేండెన్ ఎస్ట్ రాయ్.,Geld regiert die Welt.,מדבר ממון.,I soldi parlano. | Il denaro parla. (ang.).,金が何か言う。,සල්ලි万能.,Pieniądze mają siłę przekonywania.
4377,19170,Don't be afraid.,බය වෙන්න එපා. බය වෙන්න එපා. බය වෙන්න එපා. බය වෙන්න එපා.,Hab keine Angst. | Habe keine Angst.,(அல்லாஹ்வுக்கு அஞ்சங்கள்) (அல்லாஹ்வுக்கு அஞ்சங்கள்),බය වෙන්න එපා. බය වෙන්න එපා. බය වෙන්න එපා.,恐れるな.,| 別恐れ!,Nie bój się.
4540,19342,"Fish, please.",Du poisson s'il vous plaît.,"ഫിഷ്, കടക്ക്.",דג කරුණාකරලා.,"Del pesce, per favore. | Del pesce, per piacere.",魚 කරුණාකරලා.,"鱼, ස්තූතියි.",Poproszę rybę.
4770,19587,Call an ambulance.,Appelez une ambulance. | Appelle une ambulance.,Ruf einen Krankenwagen. | Ruft einen Krankenwagen. | Rufen Sie einen Krankenwagen. | Ruf den Krankenwagen!,תזמין אמבולנס.,Chiama un'ambulanza. | Chiami un'ambulanza. | Chiamate un'ambulanza.,救急車を呼んでくれ. | 救急車を呼んで! | 救急車を呼んでください。,叫救护車.,Wezwij karetkę.
4896,19729,Haste makes waste.,| Hâte-toi lentement. | Hâte-toi lentement.,Eile mit Weile!,நேபாளத்தில் நேபாளக் குடியரசுத் துணைத் தலைவர் திரு.,| La gatta frettolosa fa i gattini ciechi. | Chi va piano va sano e va lontano.,I'm afraid I'm not going to be able to do it. | 急がば回れ. | 慌ててることは無駄を作る. | 急ぐと無駄が出来る. | 急いては事を仕損じる. | 短気は損気。,It's not fast enough.,"Gdy człowiek spieszy, to diabeł cieszy się."
4900,19733,Please hurry.,Dépêchez-vous s'il vous plaît.,Prosím beeile dich. | Bitte beeilen Sie sich. | Bitte beeilen euch. | Beeil dich bitte! | Beeil euch bitte!,പ്ലീസ് הזדרזי!,"Per piacere, sbrigati. | Per favore, sbrigati. | Per piacere, sbrigatevi. | Per favore, sbrigatevi. | Per piacere, si sbrighi. | Per favore, si sbrighi.",ඉක්මන් කරන්න.,请抓紧 సమయం.,"Please, hurry up. | Hurry up. | Please hurry up. | Let you hurry up. | Let you hurry up. | Let you hurry up. | Hurry up."
5007,19847,I haven't seen him for a long time.,Je ne l'ai pas vu depuis longtemps.,Ich habe ihn schon lange nicht mehr gesehen. | Ich habe ihn seit Langem nicht gesehen.,Neviděl jsem ho už dlouho. | Neviděl jsem ho už dlouho.,Non lo vedo da molto tempo. | Io non lo vedo da molto tempo.,I have not seen him for a long time.I have not seen him for a long time.I have not seen him for a long time.I have not seen him for a long time.,我很久没见过他了。,Długo go nie seenem.
5224,20086,All that glitters is not gold.,Tout ce qui brille n'est pas ou. | Tout ce qui brille n'est pas d'or.,"Es ist nicht alles Gold, war glänzt. | Nicht nur Gold glänzt.",نہیں כל הנוצץ זהב.,"Není to všechno zlato to, co rozlučuje. | Není to všechno zlato to, co rozlučuje. | Není to všechno zlato to, co rozlučuje.",All that shines is not gold. | All that shines is not gold. | All that shines is not necessarily gold. | All that shines is not necessarily gold. | All that shines is not necessarily gold.,發光的不一定都是金子. | 光看表面不充分的.,"Nie wszystko złoto, co się świeci."
5235,20097,You are beautiful.,Tu es beau. | Tu es belle. | Vous êtes beau. | Vous êtes belle. | Vous êtes beaux. | Vous êtes belles. | Vous êtes belles.,Du bist schön. | Sie sind schön.,美しくね。 | You נאה.,Sei bella. | Sei bello. | Siete belli. | Siete belle. | Voi siete belle. | Lei è bello. | Lei è bella. | Tu sei bello. | Tu sei bella. | Voi siete belli. | È bello. | È bella.,ඔයාලා ලස්සනයි.,നീ സുന്ദരിയാണ്.,Jsi krásná. | Jsi krásná.
5418,20288,I'm not feeling well.,Je ne me sens pas bien.,Ich fühle mich nicht gut. | Mir geht es nicht so gut. | Ich fühle mich nicht recht wohl.,私は気持ち良くない。| 私は気持ち良くない。,Non mi sento bene.,I don't feel good. | I don't feel good. | I don't feel good. | I don't feel good.,I feel uncomfortable. | My body不适.,എനിക്ക് സുഖമില്ല.
5471,20344,Take it easy.,Zůstaň v klidu. Ne t'en fais pas. Tranquille. Du calme.,Beruhige dich! | Immer mit der Ruhe.,సులభంగా టేక్ את זה.,Stai tranquillo. | Non te la prendere. | Vacci piano.,I'm not going to be able to do it. | 気楽にやりなさい. | のんびり行こう. | 落ち着いて! | 落ち着いて. | 落ちつけよ. | 落ちついて. | もっと気楽に生きなよ. | のんびりしていきな。,| 別緊張。,Spokojnie.
5504,20379,Are you crazy?,Es-tu fou? | Tu es folle? | Es-tu folle?,Jsi blázen? | Gehts noch? | Hast du einen Vogel?,تم پاگل ہو؟,Sei pazzo? | Sei pazza? | Siete pazzi? | Siete pazze? | È pazzo? | È pazza?,気は確かか. | おかしい?,നിനക്ക് വട്ടാണോ?,உம்மைத் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தித் துரத்தி துரத்தி துரத்தி துரத்தி துரத்தி துரத்தி துரத்தி துரத்தி
5514,20392,Never mind.,To není vážné. | Ça ne fait rien. | Qu'importe! | Peu importe! | Pas de problème.,Das macht nichts. | Vergiss es.,Nezáleží. | Nezáleží. | Nic není.,| Non fa niente!,気にするなよ.,没有关系呀。,Nieważne.
5520,20398,Forget it.,Laisse tomber. | Oublie. | Oublie-le! | Laissez tomber. | Oubliez ça!,வார்ப்புரு:Das kannst du knicken.,Zapomeň na to. Zapomeň na to. Zapomeň na to. Zapomeň na to. Zapomeň na to. Zapomeň na to.,வார்ப்புரு:Dimenticalo. | Dimenticala. | Dimenticatelo. | Dimenticatela. | Lo dimentichi. | La dimentichi,気にしないで。 | 忘れて。,不用担心。 放弃吧。,Zapomnij! | Zapomnij o tym! | Nie ma mowy! | Nie ma o co mówić.
5526,20405,I'm exhausted.,"”“我累了,我累了,我累了,我累了,我累了,我累了,我累了,我累了,我累了,我累了。",Já bin erschöpft. | Já bin kaputt. | Já bin sehr müde.,| 私は死んだ。,Sono sfinita. | Io sono stanco! | Sono esausto. | Sono esausta.,I am very tired. | I am very tired. | 気が抜けちゃったよ. | もうヘトヘトです。 | くたくたに疲れました。 | 非常に疲れた。 | 非常に疲れた。 | 超疲れた! | もうくたくただよ。 | すっごく疲れた。 | くたくたに疲れた。 | へとへとへとに疲れた。 | 疲れたー。 | 疲れた! | へとへとへとよ。,我累死了。 困死了。 我很疲惫。,Jestem wyczerpany.
5823,20719,Look out!,注意! | Regarde donc! | Fais attention. | Fai attention! | Fais attention! | Fais gaffe! | Fai gaffe! | Fais attention! | Fai attention. | Soyez prudente!,Vorsicht!,ඒකירות! | תיזהר! | תיזהרי!,Attenzione! | Occhio!,危ない!,当心!,බලාගෙන!
6087,21003,I want something sweet.,Chci něco chose de doux. Chci une douceur. Chci něco chose de sucré.,Ich will etwas Süßes. | Ich möchte etwas Süßes.,నేను తీపి ఏదో కావలసిన.,Voglio qualcosa di dolce.,I want something sweet.,I want some sweet things.,Chcę něco sladkého.
6174,21098,"Check, please.","Vérifie, s'il te plaît. | L'addition, s'il vous plait. | J'aimerais la note, je vous prie. | L'addition s'il vous plaît. | L'addition, s'il vous plaît.","请收账,请收账,请收账。",කරුණාකරලා ගිණුම් බලන්න. කරුණාකරලා ගිණුම් බලන්න. කරුණාකරලා ගිණුම් බලන්න.,"Il conto, per favore. | Il conto, per piacere.",| 勘定書を頼むよ。 | 清算をお願いします。 | 勘定書を持って来くれ。 | お勘定書を頼むよ。 | お会計お願いします。 | お勘定お願いします。 | 勘定書を頼むよ。 | 清算をお願いします。 | 勘定書を持って来くれ。 | お勘定書を頼むよ。 | お会計お願いします。 | 勘定書を頼むよ。 | 勘定書を頼むよ。 | 清算をお願いします。,請結帳。,Poproszę o rachunek! | Poproszę o czek.
6197,21124,I feel cold.,J'ai cold.,Mir ist kalt. | Ich friere.,קר לי.,హో క్రిస్టో.,寒く感じる。 | 寒いなぁ。,我觉得很冷。,Zimno mi.
6326,21259,It's a piece of cake.,Je to kus dortu. | Je to velmi facile. | Je to de la tarte. | Je to dort. | Jako dans du beurre. | Je to tout cuit. | Je to dort.,Das ist ein Kinderspiel.,קלי קלות.,Je to pezzo di torta. | Je to fetta di torta. | Je to gioco da ragazzi. | Je to passeggiata.,楽勝だ。 | そんなの朝飯前だ。 | そんなの朝飯前よ。 | こんなのちょろいちょろい。,小菜一碟.,To bułka z masłem. | To bardzo prosta sprawa.
6333,21267,Have fun.,Amuse-toi bien! | Amuse-vous bien! | Amuse-vous bien. | Amuse-toi bien.,Viel Vergnügen! | Viel Spaß! | Feier schön!,♪ ♪ ♪,Divertiti! | Divertitevi! | Si diverta!,楽しんでね. | 楽しんできなさい.,అవును!,Miłej zabawy. | Baw się dobrze!
6711,21678,Do you remember?,Est-ce que tu te souviens? | Te rappelles-tu? | Tu te souviens? | Vous vous souvienez? | Vous rappelez-vous? | Est-ce que vous vous souvienez? | Tu te souviens?,ඔයාට මතකද?,మీరు గుర్తుంచుకోవాలి?,Ti ricordi? | Vi ricordate? | Si ricorda?,覚えてる?,ඔයාට මතකද?,Pamiętasz? | Czy Ty pamiętasz?
6961,21938,I want to go abroad.,Chci odjet do zahraničí. | Chci jet do zahraničí.,Ich will ins Ausland gehen. | Ich möchte ins Ausland gehen.,I want to travel abroad. | I want to fly abroad.,Voglio andare all'estero.,I want to go abroad. | 外国へいきたい. | 海外に行きたい. | I want to go abroad.,I want to go abroad. | I want to go abroad.,Chciałabym wyjechać za granicę.
7080,22061,Open up.,オーヴォーヴォーヴォーヴォー!,Mach auf!,תיפתח.,"குறிப்பாக: அபி.பி.பி., அபி.பி.பி., அபி.பி., அபி.பி.பி., அபி.பி.பி., அபி.பி.பி.",開けくれ. | 開けろ. | 開けちょうだい。,開門! | 開啊!,Otwierać.
7136,22121,All aboard!,Tout le monde à bord! | Tout le monde à bord!,Alle Mann an Bord!,ټول د الوتکې ته لېږل! | ټول د الوتکې ته لېږل! | ټول موجود دي!,Tutti a bordo!,皆さんお乗りください。 | ご乗車願います!,请上船!,എല്ലാവരും പൊക്കോളൂ!
7137,22122,"Good morning, everybody.",Bonjour tout le monde. | Bonjour à tous.,Guten Morgen zusammen.,සුභ උදෑසනක් හැමෝටම.,Buongiorno a tutti.,皆さんおはよう。 | 皆さん、おはようございます。 | 皆さん、おはようございます。 | おはよう諸君。,大家早上好。,Olá a todos.
8687,23749,Flowers bloom.,Les fleurs éclosent.,Die Blumen blühen.,പൂക്കൾ פורחים.,I fiori sbocciano. | I fiori fiori fioriscono. | Dei fiori sbocciano.,花は咲く.,鮮花盛開。,Kwiaty kwitną.
8818,23884,There is no smoke without fire.,Pas de fumée sans feu. | Il n'y a pas de fumée sans feu.,"Wo Rauch ist, ist auch Feuer. | Kein Rauch ohne Feuer.",Žádný kouř bez ohně. | Žádný kouř bez ohně.,Ne c'è fumo senza fuoco.,"There is no fire, there is no smoke, there is no smoke.",无风不起浪.,Nie ma dymu bez ognia.
8859,23929,Do you like singing?,Aimes-tu chanter? | Aimez-vous chanter? | Vous aimez chanter?,Singst du gerne? | Singst du gerne?,ඔයා කැමතිද සිංදුවට? ඔයා කැමතිද සිංදුවට?,Ti piace cantare? | Vi piace cantare? | Le piace cantare? | A te piace cantare? | A voi piace cantare? | A lei piace cantare?,歌うことは好きですか。 | 歌うことが好きですか?,你喜欢唱歌吗?,Czy lubisz పాడć?
8883,23959,I'm free.,Je suis libre. | Je suis disponible.,Ich bin frei.,Jsem volný. | jsem volný. | jsem volný. | jsem volný. | jsem volný.,Sono libero. | Sono libera. | Sono gratuito. | Sono gratuita.,I am free. | I am free of 身だ. | 手は空いていますよ. | 時間あります.,我有空.,මම නිදහස්.
9000,24081,How is your family?,Comment va ta famille? | Comment se porte votre famille? | Comment va votre famille?,Comment va votre famille? | Comment va votre famille? | Comment va votre famille? | Comment va votre famille? | Comment va votre famille?,ඔයාගෙ පවුලට කොහොමද?,Kommst du zur tua famiglia? | Kommst du zur sua famiglia? | Kommst du zur vostra famiglia?,ご家族はお元気ですか? | ご家族はお元気ですか? | ご家族はご機嫌いかがですか? | ご家族はお元気ですか?,你家里人都还好吗?,Jak się miewa twoja rodzina?
9339,24435,Who do you think you are?,Pour qui tu prends-tu? | Pour qui vous prenez-vous? | Pour qui vous prenez-vous? | Tu prends-tu pour qui!,"Für wen hältst du dich eigentlich? | Wer denkst du, dass du bist? | Für wen hältst du dich?",| なぜあなたは誰だ!?,"Kdo ti věříš, že jsi? Kdo si věří, že jsi? Kdo ti věří, že jsi? Kdo si myslí, že jsi?",♪ ♪ ♪ ♪ ♪ ♪ ♪,നീ ആരാണ് നീ?,ඔයා කවුරු කියලද හිතන්නේ?
9511,24616,Nothing happened.,Rien ne s'est passé.,Es ist nichts passiert. | Es ist nichts passiert.,کچھ بھی نہیں ہوا.,Ne è successo nulla. | Non è successo nulla. | Non successe nulla. | Non successe nulla. | Non successe nulla.,何事も起こらなかった。 | 何も起こらなかった。 | 何もなかったよ。,මුකුත් උනේ නෑ.,Nic se nestalo.
9546,24657,Why didn't you come?,Pourquoi n'êtes-vous pas venu? | Pourquoi n'es-tu pas venu? | Pourquoi n'es-tu pas venu?,Proč jste nepřišli? Proč jste nepřišli? Proč jste nepřišli? Proč jste nepřišli?,Why Not Come? | Why Not Come?,למה לא באתם? למה לא באתם? למה לא באתם? למה לא באתם? למה לא באתם?,なぜ来なかったの? | あなたはなぜ来なかったのですか?,ඇයි ඔයා ආවේ නැත්තේ?,Dlaczego nie przyszedłeś?
9561,24674,What did you buy?,Qu'as-tu acheté? | Qu'avez-vous acheté?,നീ വാങ്ങിയതാണോ?,| What are you buying? | What are you buying?,什么东西买到? 什么东西买到? 什么东西买到? 什么东西买到? 什么东西买到? 什么东西买到? 什么东西买到? 什么东西买到?,What did you buy? | What did you buy?,Co jsi koupil?,Co kupiłeś? | Co kupiłaś?
9563,24676,What are you reading?,Que lis-tu? | Qu'est-ce que vous lisez? | Qu'est-ce que tu lis? | Tu lis quoi? | Que lis-tu?,Byla liest du? | Byla liest du da? | Byla lest ihr?,મુખપૃષ્ઠ,क्या पढ़ता है? | क्या पढ़ता है? | क्या पढ़ रहा है? | क्या पढ़ रहा है? | क्या पढ़ रहा है? | क्या पढ़ रहा है? | क्या पढ़ रहा है?,| 何を読んでるの? | 何を読んでんの?,क्या देख रहे हो?,Co Pan czytasz? | Co Pan czyta?
9583,24698,What are you thinking about?,À quoi pensez-vous? | À quoi pensez-vous? | À quoi pensez-vous?,Worüber denkst du nach? | Woran denkst du? | Woran denken Sie? | Woran denkt ihr? | Über was denkst du nach? | Worüber denken Sie nach?,මොනවද ඔයා හිතන්නේ?,क्या आप सोच रहे हैं? क्या आप सोच रहे हैं? क्या आप सोच रहे हैं?,What are you thinking? | What are you thinking?,| あなたは何を考えていますか?,මොකටද කියන්නේ?
9588,24706,What do you mean?,Co chcete říct? | Co chcete říct? | Co chcete říct? | Co chcete říct?,Byl meinst du? | Was meint ihr? | Was mein Sie?,""""" Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ? Чиний юу гэсэн үг вэ?",Co chceš říct? | Co chceš dire? | Co intendi? | Co vuole dire? | Co intende? | Co intendete?,それはどういうことか。 | どういう意味? | どういう意味?,あなたは何を意味する? | あなたは何を表現する?,O co ci chodzi? | Co masz na myśli?
9624,24759,What do you want to do?,Que veux-tu faire?,Was willst du machen? | Was wollen Sie tun? | Was willst du tun?,What do you want to do? | What do you want to do?,क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं? क्या करना चाहते हैं?,What do you want? what do you want? what do you want? what do you want? what do you want?,何をするつもりですか?| 何をするつもりですか?,మీరు ఏమి అనుకుంటున్నారు?
9629,24765,What would you like to drink?,Que souhaites-tu boire?,Was möchten Sie trinken? | Was trinken Sie? | Was möchten du trinken? | Was möchten Sie gerne trinken? | Was möchtent ihr trinken?,د پښتو ژبې زده کړه,(பிபிபிசி) (பிபிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி),"| お客様,お飲み物はいかがなさいますか? | お飲み物はいかがなさいますか? | お飲み物はいかがなさいますか? | お飲み物はいかがなさいますか?",ඔයාට මොනාද ඕනේ බොන්න?,What would you like to do picia? | What would you like to do picia?
9732,24885,What a pity!,Quel dommage! | Dommage! | Quel malheur!,Schade. | Wie schade!,| חבל...,Che peccato! | Peccato. | Peccato!,かわいそうに! | 残念!,太遗憾了! | 遗憾。 | 多遗憾啊! | 真是太遗憾了!,ජේක szkoda...
9795,24958,Why me?,Proč moi?,ඇයි මම?,| Why me?,Perché io?,なぜ私なの? | なぜ私なの?,ඇයි මම?,ඇයි ඔව්?
9833,25000,What are you going to do?,Qué vas-tu faire?,क्या तुम करते थे? क्या तुम करते थे? क्या तुम करते थे?,මොනාද ඔයා කරන්න යන්නේ?,What'hai intenzione di fare? | Che cosa farete?,what are you gonna do? what are you going to do?,你要 ఏమి?,എന്താ ഉദ്ദേശിക്കുന്നത്?
9858,25029,What's new?,Quoi de neuf? | Quoi de nouveau? | Quoi de neuf?,Was gibt es Neues? | Was gibts Neues?,Что нового?,Cosa c'è di nuovo?,| 何か変わったことある? | 何か変わったことない?,有什么新鲜事吗?,Co nového?
9915,25095,Can I help you?,Puis-je t'aider? | Puis-je vous aider? | Puis-je t'aider? | Puis-je t'aider? | Puis-je vous aider? | Puis-je t'aider?,Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct? | Mohu vám pomoct?,Posso aiutarti? | Posso aiutarti? | Posso aiutarti? | Posso aiutarti? | Posso aiutarti? | Posso aiutarti?,Mohu jí pomoci? | Mohu ti pomoct? | Mohu ti pomoct? | Mohu ti pomoct? | Mohu ti pomoct? | Mohu ti pomoct?,手伝いましょうか。 | 手伝おうか。 | 手伝おうか?,මට පුළුවන්ද ඔයාට උදව් කරන්න?,Czy mogę Ci pomóc? | Czy mogę wam pomóc? | Czy mogę Ci pomóc?
9926,25106,What do you want me to do?,Que veux-tu que je fasse? | Que voulez-vous que je fasse? | Que veux-tu que je fasse? | Que voulez-vous que je fasse? | Que voulez-vous que je fasse?,"Co mám dělat? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal? | Co chceš, abych udělal?",| What do you want to do?,"Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal? | Co chcete, abych udělal?",What do you want me to do? | What do you want me to do?,你要我ทําอะไร?,"Co chceš, abych udělal?"
9976,25164,What's up?,Quoi de beau? | Quoi de neuf? | Ça va? | Qu'y a-t-il? | Comment vas-tu? | Quoi de neuf?,"Was ist los? Was geht? | Na, wie geht's? | Was gibt's?",क्या होता है? | क्या सुना? | क्या स्थिति? | क्या הענינים?,Come va? | Come butta?,何が起こったんだ? | 変わりない? | 何なんだよ。,搞什么,Jak leci? | Co jest?
10031,25229,Would you like anything to eat?,Veux-tu manger quelque chose? | Voulez-vous manger quelque chose?,Möchten Sie etwas essen?,എന്തെങ്കിലും കഴിക്കണോ?,Chceš něco k jídlu? | Chceš něco k jídlu? | Chceš něco k jídlu?,何か食べたい? | 何か食べたい?,Would you like to eat something? |  Would you like to eat something?,Chcesz coś zrobić jedzenia? | Zje pan coś?
10101,25313,Anything new?,Quoi de neuf? | Il y a du nouveau? | Y a-t-il du nouveau?,Gibt’s was Neues? | Gibt es etwas Neues? | Gibt’s was Neues?,What's New? | There's Something New?,Niente di nuovo? | C'è qualcosa di nuovo?,何かあった?,有什么新鲜事吗?,Coś nového?
10274,25498,How should I know?,Comment le saurais-je? | Et comment puis-je le savoir?,എനിക്കെവിടുന്നാ അറിയേണ്ടത്?,""""" Би яаж мэдэх юм бэ? """" """" Би яаж мэдэх юм бэ? """" """" Би яаж мэдэх ёстой вэ? """"",Come potrei saperlo? | Come faccio a saperlo?,I don't know. | why do I know? | why do I know? | why do I know? | why do I know? | why do I know?,何がわかる? | 何がわかる?,Jak to mám vědět?
10279,25504,I'm a free man.,Je suis un homme libre.,Ich bin ein freier Mann.,Я свободный человек. | Я בן חורין.,Sono un uomo libero. | Io sono un uomo libero.,මම නිදහස්な男.,I am a free man.,Jestem wolnym człowiekiem.
10284,25509,I'm a hero.,මම වීරයෙක් නෙවෙයි.,Ich bin ein Held.,මම גיבור.,Sono un eroe. | Io sono un eroe.,මම වීරයෙක්.,මම වීරයෙක්.,මම වීරයෙක්.
10301,25528,Don't worry about me.,Ne t'inquiète pas pour moi. | Ne te soucies pas de moi. | Ne vous souciez pas de moi.,Nedělej si starosti o mě. | Nedělej si starosti o mě. | Nedělej si starosti o mě. | Sorg dich nicht um mich. | Nedělej si starosti o mě.,"”“不要担心,不要担心,不要担心,不要担心,不要担心,不要担心。","不要为我担心,不要为我担心,不要为我担心,不要为我担心,不要为我担心,不要为我担心。",Don't worry about me.Please don't worry about me.,මට බය වෙන්න එපා.,నా గురించి చింతించకండి.
10307,25534,Leave me alone!,Fiche-moi la paix! | Laisse-moi seule! | Laisse-moi tranquille! | Laissez-moi tranquille! | Laisse-moi en paix! | Laisse-moi tranquille! | Laisse-moi tranquille! | Laisse-moi seule!,Lass mich in Ruhe! | Lass mich doch in Ruhe!,"""இன்னும், நீ என்னைத் தூய்மையாக்கிக் கொள்வாயாக! நீ என்னைத் தூய்மையாக்கிக் கொள்வாயாக!",Lasciami stare! | Lasciami solo! | Lasciatemi stare! | Mi lasci stare!,♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪,别烦我!,Zostaw mnie samą! | Zostaw mnie w spokoju!
10311,25538,Are you talking to me?,C'est à moi que tu parles? | C'est à moi que vous parlez?,Sprichst du zu mir?,Mluvíš se mnou? - Mluvíš se mnou? - Mluvíš se mnou? - Mluvíš o mně?,मेरे साथ बात करें? | मेरे साथ बात करें? | मेरे साथ बात करें? | मेरे साथ बात करें? | मेरे साथ बात करें?,私に話してるのか? | 私に話してのか? | 私に言ってるの?,你在跟我说话吗? | 你是在对我说吗?,Czy do mnie mówisz?
10406,25640,The king abused his power.,| Le roi abusa de son pouvoir. | Le roi abuse de son pouvoir.,Der König missbrauchte seine Macht. | Der König hat seine Macht missbraucht.,राजा ने अपने अधिकारों को गलत ढंग से प्रयोग किया।,Il re abusò del suo potere. | Il re ha abusato del suo potere.,The king used his powers.,國王濫用权力. | 國王濫用权力.,Król nadużył swoją władzę.
10449,25684,Did you buy a round-trip ticket?,As-tu acheté un billet aller-retour?,Haben Sie einen Hin- und Zurück-Ticket gekauft? | Haben Sie eine Rückfahrkarte gekauft?,د محصول د نښانونه,Avez-vous acheté un billet di andata e retour? | Avez-vous acheté un billet di andata e retour?,往復切符を買いましたか.,你买往返票吗?,د بیرته ستنیدونکي ټکټ اخیستل شوی؟
10682,25930,Action!,アクション! | アクション!,లాస్!,אקשן!,Azione!,演技はじめ!,පටන් ගන්න!,ක් රියාව!
10706,25954,Draw a circle.,Trace un cercle. | Trace un cercle! | Tracez un cercle! | Dessine un cercle.,Zeichne einen Kreis.,चित्र चक्र,गर्भाशय विच्छेदन। गर्भाशय विच्छेदन। गर्भाशय विच्छेदन।,円を描くれ。,画一个圈.,නරිසූජ් okrąg.
10903,26170,Can you speak English?,Savez-vous parler anglais? | Tu parles anglais?,Canst du Englisch sprechen? | Cannen Sie Englisch?,ඔයා ඉංග් රීසි කතා කරනවද?,පාර්ලි ඉංග් රීසි?,Englishを話せますか. | あなたは英語がしゃべれますか.,あなたは英語を話しますか? | あなたは英語を話しますか? | あなたは英語を話しますか? | あなたは英語を話しますか?,Mówisz po angielsku?
10995,26277,English is an international language.,L'anglais est une langue internationale.,Englisch ist eine internationale Sprache.,英语是國際語言。 英语是國際語言。 英语是國際語言。 英语是國際語言。,L'inglese è una lingua internazionale.,English is an international language.,English is an International Language.,Angielski do języka międzynarodowego.
11099,26397,I wish I could swim.,J'aimerais savoir nager.,"Ich wünschte, ich könnte schwimmen.",| הלוואי שידעתי לשחות.,Mi piacerebbe saper nuotare.,泳げればなあ. | 泳げたらいいな. | 泳げたらいいのになあ. | 泳げたらなぁ.,私は泳ぐことを願っています。 | 但願 سوف泳ぐあ。,Chciałbym umieć pływać.
11336,26653,You are lying.,Ty muž. | Vous mentez. | Vous êtes en train de mentir. | Tu es en train de mentir.,Du lügst. | Sie lügen.,Vy lžete.,Zůstaň mentendo. | Tu stai mentendo. | Sta mentendo. | Lei sta mentendo. | Stát mentendo. | Voi stát mentendo.,嘘をついているね. | 嘘つけ.,你在撒谎.,Kłamiesz.
