,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
3143,17829,I love you more than you love me.,I love you more than you love me.,I love you more than you of me.,I love you more than you.,I love you more than you love me.,I love you more than you.,I love you more than you love me.,I love you more than I love you.,I love you more than you love me.,I love you more than you.,I love you more than you are me.,I love you more than you love me.,I love you more than you love me.,I love you more than you.
3185,17881,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,You know that you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.,I know you are rich.
3310,18017,I don't blame you.,I do not blame you.,I do not blame you.,I am not guilty of you.,I do not blame you.,I do not blame you.,I do not blame you.,I do not blame you.,It is natural that you do that.,I will not blame you.,I do not blame you.,I do not blame you.,I am not accusing you.,I do not blame you.
3361,18073,You don't understand.,You don’t understand.,You don’t understand it.,You do not understand.,You don’t understand.,They don’t understand.,You don’t understand.,You don’t understand.,You don’t understand.,You don’t understand.,You don’t understand.,You don’t understand it.,You don’t understand.,You don’t understand.
3552,18278,The sky is full of stars.,A star point in the sky.,The sky is filled with stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.,The sky is full of stars.
3619,18356,Stop grumbling.,Stop complaining.,Stop with Morren.,Stop the marble.,Stop to laugh.,Stop murdering.,Stop to catch.,Stop complaining about it.,Stop complaining.,Stop complaining.,Stop screaming.,Stop to refurbish.,Stop the Homer.,Stop burning.
3758,18505,Money is the root of all evil.,Money is the source of all sin.,Money is the root of all evil.,Money is the beginning of all evil.,Money is the root of all evil.,Money is the source of all evil.,Money is the root of all evil.,Money is the root of all evils.,Money is the root of everything.,Money is the source of all evil.,Money is the root of evil.,Money is the root of all evils.,Money is the root of all evils.,Money is the root of evil.
3781,18531,I wish I were rich.,I hope I have money.,I wanted to be rich.,I would be rich.,I want to be rich.,I wish I would be rich.,I wish I was rich.,I want to be rich.,I wish you were rich.,I want to be rich.,I would like to be rich.,I hope he is rich.,I wish I was rich.,I want to be rich.
3845,18604,The price of gold varies from day to day.,The price of gold changes every day.,The price of gold changes from day to day.,The price of gold varies every day.,The price of gold varies from day to day.,The price of gold changes every day.,The price of gold changes every day.,The price of gold changes from day to day.,The price of the money changes every day.,The price of gold changes from day to day.,The price of gold changes day by day.,The price of gold varies from day to day.,The price of gold changes from day to day.,The price of gold changes every day.
3870,18631,Money talks.,Money is all.,Money runs the world.,Money is talking.,Money is king.,Money governs the world.,Money is talking.,Money is talking.,Money says something.,Money has the power of conviction.,Money solves everything.,Money moves the world.,Money is talking.,Money solves everything.
4377,19170,Don't be afraid.,Don’t be afraid.,Do not be afraid.,Don’t be afraid.,Don’t be afraid.,Do not be afraid.,Don’t be afraid.,Do not be afraid.,Don’t be afraid.,Don’t be afraid.,Don’t be afraid.,Do not be afraid.,Don’t be afraid.,Don’t be afraid.
4540,19342,"Fish, please.",Fish and thank you.,Fish please.,Fish and thanks.,Fish please.,Fish please.,Fish please.,"For the fish, please.",Please have a fish.,I ask for a fish.,I have a fish please.,Fishing please.,Fish please.,Fish please.
4770,19587,Call an ambulance.,It is called an ambulance.,Call a hospital car.,Call the ambulance.,Call an ambulance.,Call a ambulance.,Order an ambulance.,He calls an ambulance.,Call me an ambulance.,Take the card.,Call the emergency.,Call a ambulance.,Call an ambulance.,Call the Rapid.
4896,19729,Haste makes waste.,The desire does not reach.,A hurry is rarely good.,Slowly but surely.,The speed causes losses.,Rush with time!,The speed of the devil.,She is a bad adviser.,Rush around.,"When a man is hurry, the devil is happy.","You’ll rush, you’ll laugh.",The hurry is a bad counsel.,The devil is in a hurry.,You make people laugh.
4900,19733,Please hurry.,Please take time.,Please shoot up.,Be good and hurry.,Please take a hurry.,Please take a hurry.,So hurry please!,"For pleasure, you are pleased.",Please rush.,Please take a hurry.,faster please.,Please take care.,Please take a hurry.,Please be faster.
5007,19847,I haven't seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.,I have not met him for a long time.,I did not see him for a long time.,I have not seen him for a long time.,I have not seen it for a long time.,I have not seen him for a long time.,I have not seen him for a long time.
5224,20086,All that glitters is not gold.,The light is not necessarily gold.,It’s not all gold that shines.,Everything that shines is not gold.,Everything that shines is not gold.,It’s not all gold that shines.,Not all is gold.,It’s not all gold that shines.,Everything bright is not money.,It’s not all gold that shines.,It’s not all the gold that shines.,It’s not gold all that rises.,Everything that shines is not gold.,It’s not all the gold that shines.
5235,20097,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are beautiful.,You are good.
5418,20288,I'm not feeling well.,I feel uncomfortable.,I don’t feel good.,I feel bad.,I don’t feel good.,I don’t feel good.,I don’t feel good.,I don’t feel good.,You don’t feel good.,I don’t feel good.,I am not very good.,I don’t feel good.,I don’t feel good.,I am not very good.
5471,20344,Take it easy.,Relax to.,calm to.,Take it calmly.,It is cool.,Relax yourself!,Take it easily.,Stay calm.,Be calm.,calmly.,Look at it easier.,Relax to.,Be calm.,Don’t take it.
5504,20379,Are you crazy?,Are you crazy?,Are you crazy?,Are you crazy?,Are you crazy?,Are you crazy?,Are you crazy?,Are you crazy?,I am sure.,Have you fooled?,Did you get crazy?,Have you become crazy?,Are you crazy?,Are you fooled?
5514,20392,Never mind.,It does not matter.,It does not.,It doesn’t matter.,It is not serious.,It does nothing.,Not important.,It doesn’t matter.,Do not worry.,No importance.,Not important.,forgot it.,Don’t care.,Do not swallow.
5520,20398,Forget it.,No need to care.,Forget that.,Forget it.,Let them fall.,Forget it.,Forget it.,forgotten it.,Don’t worry about.,Forget it!,Forget this.,forgot it.,Let me forget.,About me!
5526,20405,I'm exhausted.,I was tired.,I am bekaf.,I am tired.,I am exhausted.,I am exhausted.,I am pressing.,I am sfinite.,You are tired.,I am exhausted.,I am completely powerless.,I am exhausted.,I was very tired.,I am exhausted.
5823,20719,Look out!,Be careful!,Look out!,Beware of!,Beware of!,Be careful!,Be careful!,Attention to!,It is dangerous!,Be careful!,Be careful!,The waters!,Be careful!,Be cautious!
6087,21003,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.
6174,21098,"Check, please.",Please sign the account.,Please check it.,"I count, thank you.",Please check it.,Please the bill.,Please have an account.,The account please.,Please have an account.,Please have an account!,The account please.,The account please.,The account please.,The account please.
6197,21124,I feel cold.,I feel cold.,I have it cold.,I am cold.,I am cold.,I am cold.,I am cold.,I have cold.,It is cold.,I cold.,I am cold.,I have cold.,I cold.,I am cold.
6326,21259,It's a piece of cake.,A small dish.,That is children’s game.,It is a easy infection.,It is a piece of cake.,This is a child play.,The lightly.,It is a piece of cake.,It is easy to win.,It is a bottle of butter.,once to flush.,It is chopped.,It is very easy to do it.,A time to flush!
6333,21267,Have fun.,Have fun with pleasure.,A lot of fun!,Have fun!,Have fun well!,A lot of pleasure!,Enjoy it!,Have fun!,Have fun.,pleasant fun.,Enjoy it.,Let it be fun!,Look at fun.,to grow up.
6711,21678,Do you remember?,Do you remember?,You know yet?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?,Do you remember?
6961,21938,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I would like to go abroad.,I want to go abroad.,I want to go abroad.,I want to go abroad.,I want to go to the border.
7080,22061,Open up.,Open the door!,Make it open.,to open.,Open to me!,Get up!,will open.,and open.,Give me open.,to open.,to open.,and open.,to open.,to open.
7136,22121,All aboard!,Please go to the boat!,All on board!,Everyone was driving!,Everyone on board!,All men on board.,Everybody is on the plane!,Everyone on board!,Please all travel.,Everyone on board!,All on board!,Everyone on board!,No passengers below.,All on board!
7137,22122,"Good morning, everybody.",Good morning to everyone.,Healed all of them.,All of them.,Hello to everyone.,Good morning together.,Good morning to everyone.,Good Morning to everyone.,Good Morning to all.,Welcome to all.,Good morning to everyone.,Good day to everyone.,Good morning to everyone.,Good Morning to all!
8687,23749,Flowers bloom.,Flowers are open.,The flowers bloom.,The flowers flourish.,The flowers climb.,The flowers flow.,Flowers are flowing.,The flowers flourish.,The flowers flow.,The flowers flow.,The flowers flow.,The flowers flow.,The flowers open.,The flowers flow.
8818,23884,There is no smoke without fire.,Without wind does not rise.,"Where the smoke is, it is fire.",No smoke without fire.,No smoke without fire.,"Where there is smoke, there is fire.",There is no smoke without fire.,There is no smoke without fire.,There is no smoke without fire.,There is no smoke without fire.,There is no smoke without fire.,"When the river sounds, water brings.",There is no smoke out of a place without fire.,There is no smoke without fire.
8859,23929,Do you like singing?,Do you like to sing?,Do you like to sing?,Do you like singing?,Do you like to sing?,Do you like to sing?,Do you like singing?,Do you like singing?,Do you like to sing?,Do you like to sing?,Do you like to sing?,Do you like to sing?,Do you like to sing?,Do you like to sing?
8883,23959,I'm free.,I have room.,I am free.,I have freedom.,I am free.,I am free.,I am free.,I am free.,I am free.,I am free.,I am free.,I am free.,I am empty.,I am free.
9000,24081,How is your family?,Are all in your family well?,How is it with your family?,How does your family?,How is your family?,How is your family?,What about your family?,How is your family?,Are your family well?,How is your family?,How is your family?,How is your family?,How is your family?,How is your family?
9339,24435,Who do you think you are?,Who are you as you?,Who do you think you are?,Who do you think you are?,For whom do you take?,For whom do you really consider yourself?,Who do you think you are?,Who do you think you are?,How do you think you are yourself?,Who do you consider yourself?,You think who are you?,What has been believed?,You think you are who?,Who are you at all?
9511,24616,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.,Nix is happening.,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.,Nothing happened.
9546,24657,Why didn't you come?,Why did you not come?,Why did you not come?,Why have you come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?,Why did you not come?
9561,24674,What did you buy?,What did you buy?,What have you bought?,What did you buy?,What did you buy?,What have you bought?,What did you buy?,What have you bought?,What did you buy?,What did you buy?,What have you bought?,What did you buy?,What did you buy?,What did you buy?
9563,24676,What are you reading?,What are you looking at?,What are you reading?,What do you read?,What do you read?,What do you read?,What do you read?,What do you read?,What are you reading?,What do you read?,What are you reading?,What are you reading?,What do you read?,What are you reading?
9583,24698,What are you thinking about?,What are you thinking?,What do you think?,What do you think?,What do you think?,What do you think about?,What do you think about?,What are you thinking about?,What are you thinking about?,What do you think?,What do you think about?,What are you thinking about?,What do you think about?,What do you think about?
9588,24706,What do you mean?,What do you mean?,What do you mean?,What do you mean?,What do you mean?,What do you mean?,Why do you mean?,What do you mean?,What do you want to say?,What are you talking about?,What do you mean?,What does it mean?,What do you mean?,What do you mean?
9624,24759,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?,What do you want to do?
9629,24765,What would you like to drink?,What do you want to drink?,What do you want to drink?,What would you like to drink?,What do you want to drink?,What do you want to drink?,What do you want to drink?,What would you like to drink?,What will you drink?,What would you like to drink?,What do you want to drink?,What do you want to drink?,What do you want to drink?,What do you want to drink?
9732,24885,What a pity!,It is sad!,What a shame!,The damage.,What a shame!,and harm.,What a shame!,What a sin!,I am totally sorry.,What a sadness...,It is sad.,What a pity!,Unfortunately.,It is a regret!
9795,24958,Why me?,Why is I?,Why I?,Why I?,Why me?,Why I?,Why am I?,Why I?,Why is I?,Why me?,Why I?,Why I?,Why I?,Why am I?
9833,25000,What are you going to do?,What are you going to do?,What are you planning to do?,What are you going to do?,What will you do?,What will you do?,What are you going to do?,What do you intend to do?,What you are going to do.,What do you intend?,What will you do?,What will you do?,What will you do?,What are you going to do?
9858,25029,What's new?,Is there something new?,What is new?,What new?,What is new?,What is new?,What is new?,What is there again?,There is no change.,What New?,What is new?,What is there again?,What is the last situation?,What is new?
9881,25056,Would you like to leave a message?,Do you want a message?,Do you want to leave a message?,Would you like to leave a message?,Would you like to leave a message?,Do you want to leave a message?,Want to send a message?,Would you like to leave a message?,Can we accept the message?,Do you want to leave a message?,Would you like to leave a message?,Do you want to leave a message?,Do you want to leave a message?,Would you like to miss the message?
9915,25095,Can I help you?,Can I help you?,Can I help you?,How can I help?,Can I help you?,Can I help you?,Can I help you?,Can I help her?,Can I help anything?,Can I help you?,Can I help you?,Can I help you?,Can I help you?,Can I help you?
9926,25106,What do you want me to do?,What do you want me to do?,What do you want me to do?,What do you want me to do?,What do you want me to do?,What should I do?,What do you want me to do?,What do you want me to do?,You say what you want me to do?,What do you want me to do?,What do you want me to do?,What do you want him to do?,What do you want me to do?,What do you want me to do?
9976,25164,What's up?,What to do,What is going on?,What is?,What is Beautiful?,What is happening?,What is happening?,How is it?,What has happened?,How does it fly?,How do things?,What a wave?,What is?,How is it?
10031,25229,Would you like anything to eat?,Do you want to eat something?,Do you want something to eat?,Would you want something to eat?,Do you want to eat something?,Do you want to eat something?,Would you want to eat something?,Would you want something to eat?,Do you want something to eat?,Do you want something to eat?,Do you want to eat something?,Would you want to eat something?,Do you want something to eat?,Do you want to eat something?
10101,25313,Anything new?,Is there something new?,Is there something new?,Nothing new?,What is new?,Is there something new?,What is new?,Nothing else?,Happened something?,Something new?,What is new?,Nothing new?,Is there something new?,What is new?
10274,25498,How should I know?,How do I know?,How should I know that?,How would I know it?,How would I know it?,How should I know that?,How can I know?,How can I know it?,I do not know.,How do I know?,How can I know?,How would I know it?,How do I know?,How do I know?
10279,25504,I'm a free man.,I am a free person.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.,I am a free man.
10284,25509,I'm a hero.,I am a hero.,I am a hero.,I am a hero.,I am a hero.,I am a hero.,I am a hero.,I am a hero.,I am a hero.,I am a hero.,I am a heroine.,I am a hero.,I am a hero.,I am a hero.
10301,25528,Don't worry about me.,Don’t worry about me.,Do not worry about me.,Don’t care about me.,Don’t worry about me.,Do not worry about me.,Don’t worry about me.,Don’t worry about me.,Do not worry about me.,Don’t worry about me.,Don’t worry about me.,Don’t worry about me.,Do not worry about me.,Don’t worry about me.
10307,25534,Leave me alone!,Don’t bother me!,Let me rest!,Leave me in peace!,Give me peace!,Let me be calm!,Let me!,Let me stay!,Let them be alone!,Leave me alone!,Leave me in peace!,Let me be in peace!,Leave me alone!,Leave me in peace!
10311,25538,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?,Are you talking to me?
10406,25640,The king abused his power.,The king abused power.,The king abused his power.,The king abused his power.,The king abused his power.,The king abused his power.,The king exploited his authority.,The king abused his power.,The king abused power.,The king abused his power.,The king abused power.,The king abused his power.,The king has misused his power.,The king abused the power.
10449,25684,Did you buy a round-trip ticket?,Have you bought the return ticket?,Have you bought a return card?,Have you bought a return ticket?,Have you bought a return ticket?,Have you bought a return and return ticket?,Have you bought a return ticket?,Have you bought a trip and return ticket?,Have you bought a travel ticket?,Have you bought a return ticket?,Have you bought a ticket there and back?,Have you bought a ticket to go and back?,Have you bought a return ticket?,Have you bought a ticket there and back?
10682,25930,Action!,Start to!,The action!,The action!,The action!,Go to!,The action!,The action!,Start the play!,The action!,to fight!,and action!,The motor!,To the battle!
10706,25954,Draw a circle.,Painting a circle.,Write a circle.,Draw a circle.,Trace a circle.,Draw a circle.,The Circle Painter.,Design a circle.,Paint the circle.,Draw a circle.,Paint a circle.,It traces a circle.,Drawing a apartment.,Reduce the circle.
10903,26170,Can you speak English?,Would you speak English?,Do you speak English?,Can you speak English?,Do you know how to speak English?,Can you speak English?,Do you speak English?,Do you speak English?,Can you speak English?,Do you speak English?,Do you speak English?,Do you know how to speak English?,Can you speak English?,Do you speak English?
10995,26277,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,I want to swim.,I wanted to swim.,I know how to swim.,I would like to know how to swim.,I wish I could swim.,I wish I could swim.,I would like to know how to swim.,I can swim.,I want to be able to swim.,I would know how to swim.,I hope I could swim.,I wish I could swim.,I want to be able to swim.
11336,26653,You are lying.,You are lying.,You lie.,Do not lie!,You are lying.,You are lying.,You are lying.,You are lying.,You are lying.,You lie.,You are screaming.,You are lying.,You are lying.,You are lying.
12245,27641,Leave me alone.,Let me stay alone.,Leave me alone!,Leave me in peace.,Let me be calm.,Let me be calm!,Leave me alone.,Leave me alone.,Let them be alone!,Leave me in peace.,Leave me in peace.,Let me be in peace.,Leave me alone.,You leave me in peace.
12400,27808,He didn't say a word.,He did not say anything.,He did not say a word.,He said nothing.,He did not say a word.,He did not say a word.,He did not say a word.,He did not say a word.,He did not say anything.,He did not say a word.,He did not say a word.,He didn’t say a piece.,He did not say a word.,He did not say any words.
12586,28006,What did he say?,What did he say?,What has he said?,What did he say?,What did he say?,What did he say?,What did he say?,What did he say?,What did he say?,What did he say?,What did he say?,What has he said?,What did he say?,What did he say?
12698,28129,Wrong.,is wrong.,The mistake.,The wrong.,The false.,false is.,a mistake.,The wrong.,It is different.,The bad.,wrongly.,The false.,The wrong.,wrongly.
12727,28159,My stomach hurts.,I have stomach pain.,My stomach is painful.,My stomach is hurt.,I have pain in the stomach.,I have stomach pain.,My stomach is painful.,I hurt my stomach.,The stomach is painful.,I hurt my stomach.,I have a stomach pain.,I hurt my stomach.,My stomach is painful.,I hurt my stomach.
13148,28607,Not bad.,and good.,Long not crazy.,Not badly.,Not badly.,Not bad.,Not bad...!,Not badly.,It is not bad.,badly.,Not badly.,It is not bad.,Not bad.,The foolish.
13494,28989,I like pizza very much.,I really like the pizza.,I love pizza very much.,I like pizza a lot.,I like pizza very much.,I like pizza very much.,I really like pizza.,I like pizza very much.,I love pizza.,I really like pizza.,I like pizza very much.,I like pizza very much.,I like pizza very much.,I love pizza.
13554,29049,I am at home.,I am at home.,I am home.,I am at home.,I am at home.,I am at home.,I am at home.,I am at home.,I am at home.,I am at home.,I am home.,I am at home.,I am at home.,I am at home.
14079,29600,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda likes chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.,She loves chocolate.
14090,29612,I am eating an apple.,I’m eating an apple.,I eat an apple.,I eat an apple.,I eat an apple.,I eat an apple.,I eat a tree apple.,I’m eating an apple.,I eat apples.,I eat apples.,I eat an apple.,I’m eating an apple.,I eat an apple.,I have an apple.
14108,29632,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell out of the tree.,The apple fell from the tree.,The apple fell from the tree.,Apples from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I listen to the radio.,I listen to the radio.,I listen to the radio.,I listen to the radio.,I hear the radio.,I listen to the radio.,I am listening to the radio.,I listen to the radio.,I listen to the radio.,I listen to the radio.,I am listening to the radio.,I listen to the radio.,I listen to the radio.
14232,29763,Turn on the radio.,Open the radio.,Enter the radio.,Can you put on the radio?,The radio is lighting.,Enter the radio.,Brighten the radio.,Enclose the radio.,Connect the radio.,Enable the radio.,Include the radio.,Hear the radio.,Open the radio.,Stop the radio.
14305,29839,The lion is the king of beasts.,The lion is the king of the beasts.,The lion is the king of the animals.,The Lion is the King of Animals.,The lion is the king of the animals.,The lion is the king of the animals.,The lion is the king of the animals.,The lion is the king of the animals.,The lion is the king of the hundred beasts.,The Lion is the King of Animals.,The Lion is the King of the Beasts.,The lion is the king of the animals.,The Lion is the King of Animals.,The Lion is the King of the Beasts.
14311,29846,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the forest.,The Lion is the King of the Five.,The Lion is the King of the Jungle.,The lion is the king of the jungle.,The Lion is the King of the Jungle.,The lion is the king of the jungle.,The lion is the king of the jungle.,The Lion is the King of the Jungle.,The Lion is the King of the Jungle.,The lion is the king of the forest.,The lion is the king of the forest.,The Lion is the King of the Jungle.
14382,29922,Listen carefully.,Listen carefully.,Listen well to me.,Listen to carefully.,Listen to well.,Listen to well!,Hear well.,Listen to carefully.,Please clear your ears.,Listen carefully.,Listen carefully!,Listen with attention.,Listen carefully.,Listen carefully.
14483,30030,School starts in September in Europe.,European schools open in September.,Schools in Europe begin in September.,Schools in Europe begin in September.,The school starts in September.,The school begins in Europe in September.,The school starts in September in Europe.,The school starts in September.,Schools in Europe begin in September.,Schools in Europe start in September.,School classes in Europe begin in September.,"In Europe, classes begin in September.",The school in Europe begins in September.,Employment at school in Europe begins in September.
14506,30054,Sweet dreams!,I wish you a good dream.,Sleep well!,A beautiful dream!,Make beautiful dreams!,Dream is sweet!,The dreams!,Dreams of gold.,a good dream.,Sweet dreams!,A sweet dream!,Happy dreams!,The sweet dreams!,Sweet dreams!
14536,30085,Have a nice day.,I wish you a happy day.,Another nice day!,A good day.,Good day!,A beautiful day!,Have a pleasant day.,Have a good day.,A good day.,A nice day.,A good day.,May you have a good day.,Good days.,Good day.
14575,30126,Drive slowly.,Drive slowly.,Drive slowly.,Go slowly.,Drive slowly.,Drive slowly.,Go slower.,driving slowly.,Drive slowly.,Go slowly.,Drive slowly.,He drives slowly.,Go slowly.,Eat slowly.
14751,30316,Hi! How are you?,"Hello, you are well?","Oh, how is it with you?","Well, what is it?","Hello, how is it?","Hello, how are you?",What is your health?,"Hello, how are you?",Are you well?,"Hello, how are you?","Hello, how is it?","Hello, what about it?","Hello, how are you?","Hello, how is it?"
14804,30375,I wish I were taller.,I want to be relatively high.,I wanted to be bigger.,I would be longer.,I would like to be bigger.,I wish I was bigger.,I wish I was higher.,I want to be higher.,I want to be higher.,I want to be higher.,I would like to be higher.,I hope it is higher.,I wish I was longer.,I want to be higher.
14824,30397,Louder.,More loudly.,and luider.,more hard.,More strongly.,The Lauter.,more strong.,More strongly.,Make it bigger.,more loud.,more loud.,to higher.,more sound.,more loud.
14826,30399,"Louder, please.",Please be a little loud.,by Luider A.U.B.,"More strong, thank you.","More strong, please.",Lauter please.,More strong please.,"More strong, please.",Say it with a bigger voice.,More loud please.,More loud please.,More strongly please.,Higher please.,More loud please.
14958,30542,Definitely!,It is necessary!,of course!,of course!,of course!,In any case!,Of course!,Decisively!,of course!,Certainly!,Of course!,and Definitely!,definitely!,of course!
15238,30835,I wouldn't do that if I were you.,"If I were you, I would not do that.",I’t do that if I was yours.,You would not do that.,I’t do it if I were you.,I’t do that in your place.,I't do it if I was in your place.,I’t do it if I was in you.,"If I am you, I will not do that.",I’t do it in your place.,I would not do that in your place.,I that you’t do it.,"If I were there, I would not do it.",I’t do this in your place.
15358,30970,Are you there?,Are you there?,Are you there?,Are you there?,You are here?,Are you there?,Are you there?,Are you there?,If you are coming?,Are you there?,You are there?,You are?,Are you there?,You are there?
15690,31334,Time is up.,The time has arrived.,The time is over.,Time is over.,The time has passed.,The time is over.,Your time has passed.,The time is over.,It is already over.,Time has passed.,The time has gone.,The time has ended.,The time is full.,Time is exhausted.
15703,31348,We have no time.,We have no time.,We have no time.,We have no time.,We don’t have time.,We have no time.,We have no leisure.,We have no time.,There is no longer time.,We have no time.,We have no time.,We have no time.,We have no time.,We have no time.
15728,31380,I have to leave now.,I had to go.,I have to go now.,I have to go now.,I have to go there now.,I have to go now.,I have to leave now.,I have to leave now.,You have to go now.,I have to go out.,It is time to go.,I have to go now.,I have to go now.,I have to go already.
15737,31390,"No, thank you.","No need, thank you.",No thank you.,No thanks.,No thanks.,No thank you.,No thanks.,No and thanks.,"No, it is enough.",No thank you.,No thank you.,No thanks.,"No, thanks to you.",No thanks.
15814,31476,"Could you repeat that, please?",Can I ask you to repeat?,Can you repeat that?,Can you repeat?,"Can you repeat this, please?",Can you please repeat this?,Are you ready to repeat this please?,"Can you repeat it, please?",Would you tell me again?,Please repeat.,"Can you not repeat, please?","Can you repeat it, please?",Can you repeat this again?,"You could not repeat this, please?"
15855,31522,Please show me another one.,Please show me another.,Can you show me another?,Can you show something else?,Please show me in another.,Please show me something else.,"Show me another, please.",I am glad to see another.,Show me something else.,Please show me another.,Please show me another.,Please teach me another.,Please show me another one.,Please show me another.
15896,31565,I almost drowned.,I was almost drowned.,I was almost drowned.,I almost disappeared.,I almost drowned.,I would almost drunk.,I almost drowned.,I am almost angry.,I was going to drown a little bit.,I almost drowned.,I almost drowned.,I almost drowned.,I was almost drowned.,I little drowned.
15943,31620,It is almost three.,It is about three.,It is almost three.,It is almost three hours.,It is almost three hours.,It is almost three.,It is almost three hours.,They are almost three.,It is near 3 p.m.,Almost a third.,Nearly three.,They are almost three.,Nearly three.,Almost a third.
16000,31683,It's already seven.,It is now seven.,It is already seven hours.,It is already seven.,It is already 7 hours.,It is already about 7.,It is 7 hours.,It is already 7th.,It is already 7h.,It is already 7.,already seven.,It is already 7th.,It is at 7:00.,It is already 7.
16038,31723,Try again.,Try it again.,Try it again.,Try again.,Try again.,Try it again.,Try again.,Try it again.,Try it again.,Try again.,Try again.,Treat it again.,Try again.,Try more.
16201,31892,Mary is tall.,Mary is high.,Mary is great.,Mary is long.,Mary is great.,Mary is great.,Mary is high.,Mary is high.,Mary is high.,Mary is high.,Mary is high.,Mary is high.,Mary is long.,I am high.
16209,31900,Mary understands Chinese.,Mary knows Chinese.,Mary is Chinese.,He understands China.,Mary understands the Chinese.,Mary understands Chinese.,He understands Chinese.,Mary understands the Chinese.,Mary knows Chinese.,Mary understands Chinese.,Mary understands Chinese.,He understands Chinese.,Mary understands Chinese.,He understands Chinese.
16216,31907,Mary ran.,Mary was running.,Mary is running.,Mary was running.,Mary was running.,Mary was running.,Mary wanted it.,Mary is running.,Mary was running.,Mary was running.,Mary fled.,Mary was running.,Mary was running.,Mary was running.
16275,31969,Mary plays the piano.,Mary is piano.,Mary plays the piano.,He plays the piano.,Mary plays the piano.,Mary plays the piano.,Mary is playing the piano.,Mary is playing the plan.,Mary is playing the piano.,Mary plays piano.,Mary is playing piano.,Mary plays the piano.,Mary plays the piano.,He plays piano.
16371,32071,You're disgusting!,Your heart is dead!,You are foolish!,You have to imagine!,You are wicked!,You are foolish!,You are ugly!,You are disgusting!,The Minimum!,You are disgusting!,You are disgusting!,You are repugnant!,You are disgusting!,You are ugly!
