,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
2450,17076,Are your hands clean?,Are your hands clean?,Ĉu viaj manoj estas puraj?,Are your hands clean?,Ifassen-ik tessaliḍen?,Ĉu viaj manoj estas puraj?,Vos mains sont-elles propres?,Ĉu viaj manoj estas puraj?,Eskuak garbi dituzu?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Are your hands clean?,Ĉu viaj manoj estas puraj?
2472,17101,Your bicycle is similar to mine.,Your bike is very similar to mine.,Via biciklo similas al la mia.,Your bike is the same as mine.,Taṛrayt-ik tettemcabin i tiyita-w.,Via biciklo estas tiel simila al la mia.,Vos sourcils sont similaires à ceux de moi.,Via biciklo similas al la mia.,Via biciklo similas al mia.,Via biciklo similas al la mia.,"Vi havas la saman biciklon, kiel mi.",Lia biciklo similas al la mia.,Via biciklo similas al la mia.,"Via biciklo estas la sama, kiel mia."
2474,17103,Is your watch correct?,Your hand is not aiming?,Ĉu via horloĝo funkcias bone?,Is your watch right?,D tamsalt-ik i d-yeṣfan?,Ĉu via horloĝo funkcias ĝuste?,Votre horloge est-elle exacte?,Ĉu via horloĝo ĝustas?,Zure erlojua ondo doa?,Ĉu via horloĝo funkcias bone?,Ĉu viaj horloĝoj funkcias ĝuste?,Ĉu via horloĝo estas ĝusta?,Is your watch correct?,Ĉu via horloĝo funkcias ĝuste?
2480,17110,Where are your things?,Where's your stuff?,Where's your stuff?,Where's your stuff?,Where's your stuff?,Non daude zure gauzak?,Où sont vos affaires?,Where's your stuff?,Kie estas viaj havaĵoj?,Where's your stuff?,Where's your stuff?,Where's your stuff?,Where's your stuff?,Non daude zure gauzak?
2516,17150,Where do you come from?,Where are you?,Where are you from?,Where are you from?,Where are you from?,Nondik zatoz?,¿De dónde vienes?,Where are you from?,누가 이 사람이냐?,Where are you from?,Where are you from?,Where are you from?,Where are you from?,Nongoa zara zu?
2555,17190,Make your choice.,You have to make your choice.,Aukeratu.,Egin zure erabakia.,Aukeratu zeuk.,Egin zure aukera.,Choisissez votre choix.,You make your choice.,당신이 좋아하는 것을 선택해,Aukeratu.,Pick something out.,Make your choice.,Make your choice.,Egin zure erabakia.
2562,17198,I know what you mean.,I know what you mean.,I know what you're saying.,I know what you mean.,I know what you mean.,Badakit zer esan nahi duzun.,Je sais ce que vous voulez dire.,I know what you mean.,이해해,I know what you meant.,I know what you mean.,I know what you mean.,I know what you mean.,I know what you mean.
2643,17283,Where is your school?,Where is your school?,Kie estas via lernejo?,Where's your school?,Where's your school?,Kie estas via lernejo?,Où est votre école?,Kie estas via lernejo?,Kie estas via lernejo?,Where's your school?,Kie estas via lernejo?,Kie estas via lernejo?,Where's your school?,Kie estas via lernejo?
2703,17344,You're on the right track.,You're right.,You're on the right track.,You're on the right track.,You're on the right path.,You're on the right track.,Vous êtes sur la bonne voie.,You're on the right track.,네가 하는 일은 잘못되지 않았어,You're on the right track.,You're on the right track.,You're on the right track.,You're on the right track.,You're on the right track.
2705,17347,Your time is up.,It's your time.,Your time is up.,Your time is up.,Your time is up.,Zure denbora amaitu da.,Ton temps est passé.,Your time is up.,네 두 번째 시간은 끝났어,Your time is up.,Your time is up.,You're out of time.,Your time is up.,Zure denbora amaitu da.
2713,17355,Your pen is better than mine.,Your pen is better than mine.,Via skribilo estas pli bona ol la mia.,Via skribilo estas pli bona ol la mia.,Asennay-ik yezga yif-iw.,Via skribilo estas pli bona ol la mia.,Ton stylo est meilleur que le mien.,Via skribilo estas pli bona ol la mia.,Via skribilo estas pli alta ol mia.,Via skribilo estas pli bona ol la mia.,Via skribilo estas pli bona ol mia.,Lia plumo estas pli bona ol mia.,Via plumilo estas pli bona ol mia.,Via skribilo estas pli bona ol la mia.
2715,17357,Your plan sounds great.,Your plan sounds good.,Your plan sounds excellent.,Your plan sounds great.,Your plan sounds excellent.,Your plan sounds great.,Votre programme semble excellent.,Your plan looks great.,Zure plana zoragarria da.,Your plan sounds great.,Your plan sounds great.,Your plan sounds great.,Your plan looks great.,Your plan sounds great.
2749,17395,Your cake is delicious.,Your cake is delicious.,Via kuko estas bongusta.,Your cake is really good.,Tillect-ik tcebbeḥ.,Via kuko bongustas.,Votre gâteau est vraiment délicieux.,Via kuko estas bongusta.,Via kuko estas bongusta.,Your cake is delicious.,Via kuko bongustas.,Via kuko estas bongusta.,The cake is delicious.,Via kuko estas bongusta.
2754,17400,Here is your bag.,Your bag is here.,Here's your purse.,Here's your bag.,Your bag is here.,Via sako estas ĉi tie.,Voici votre dossier.,Jen via sako.,Zure poltsa hemen dago.,Here's your bag.,Jen via sako.,Here's your bag.,Here's your bag.,Jen via sako.
2774,17421,I believe you.,I believe you.,Sinesten dizut.,Sinesten dizut.,Sinesten dizut.,Sinesten dizuet.,Je vous crois.,Sinesten dizut.,난 널 믿어요,Sinesten dizut.,Sinesten dizut.,Sinesten dizut.,I believe you.,Sinesten dizut.
2776,17423,I don't agree with you.,I don't agree with you.,Mi ne konsentas kun vi.,I don't agree with you.,Ur t-ttqeṣṣiɣ ara yid-k.,Mi ne konsentas kun vi.,Je ne suis pas d'accord avec toi.,I don't agree with you.,저는 동의하지 않습니다.,I don't agree with you.,I don't agree with you.,I don't agree with you.,I don't agree with you.,Mi ne konsentas kun vi.
2806,17453,You are wanted on the phone.,I got your phone.,There's a phone for you.,You're missing the phone.,We're calling you on the phone.,There's someone on the phone for you.,Ils veulent vous voir au téléphone.,They're calling you on the phone.,Telefonoa da.,You're on the phone.,You're on the phone.,The phone is for you.,You're wanted on the phone.,You're on the phone.
2880,17534,You deserve the prize.,You should get this bonus.,You deserve the prize.,You deserve a prize.,You deserve the prize.,You deserve the prize.,Tu mérites le prix.,You deserve the prize.,그 상을 받을 자격이 있어,You deserve a reward.,You deserve this award.,You deserve the prize.,You deserve the reward.,You deserve a prize.
2884,17538,Green suits you.,Green is for you.,Green looks good on you.,Green is good for you.,Green is good for you.,Berdea zuretzat.,El verde te conviene.,Green is good for you.,Berdea ondo geratzen zaizu.,The green one suits you.,Green is good for you.,You'll have the green.,Green is good for you.,Berdea ondo geratzen zaizu.
3032,17707,I want you.,I want you.,Zu nahi zaitut.,Zu nahi zaitut.,I want you.,Zu nahi zaitut.,Je veux toi.,Nahi zaitut.,Zu nahi zaitut.,I want you.,Zu nahi zaitut.,I want you.,I want you.,Zu nahi zaitut.
3055,17735,I need you.,I need you.,I need you.,Behar zaitut.,I need you.,Behar zaitut.,J'ai besoin de toi.,I need you guys.,Behar zaitut.,I need you. I need you.,I need you.,I need you.,I need you.,Behar zaitut.
3082,17764,Show me what you bought.,Let me see what you bought.,"Montru, kion vi aĉetis.",Show me what you bought.,Sken-iyi-d d acu i d-teɣreḍ.,"Montru al mi, kion vi aĉetis.",Montrez-moi ce que vous avez acheté.,"Montru al mi, kion vi aĉetis.",Show me what you bought.,Show me what you got.,"Montru al mi, kion vi aĉetis.",Show me what you bought.,Show me what you got.,"Montru al mi, kion vi aĉetis."
3110,17795,I guess you are right.,I guess you're right.,"Mi supozas, ke vi pravas.",I think you're right.,I guess you're right.,"Mi supozas, ke vi pravas.",Je suppose que vous avez raison.,I suppose you're right.,네 말이 맞다고 생각하네,I think you're right.,I guess you're right.,I guess you're right.,I think you're right.,"Mi pensas, ke vi pravas."
3143,17829,I love you more than you love me.,I love you more than you love me.,Mi amas vin pli ol vi amas min.,I love you more than you love me.,Ḥemmleɣ-k ugar n kečč.,Mi amas vin pli ol vi min.,Je t'aime plus que tu ne m'aimes.,Mi amas vin pli ol min.,Mi amas vin pli ol vi amas min.,I love you more than you love me.,Mi amas vin pli ol vi min.,Mi amas vin pli ol vi amas min.,I love you more than you love me.,Mi amas vin pli ol vi min.
3185,17881,I know you are rich.,I know you're rich.,"Mi scias, ke vi estas riĉa.",I know you're rich.,Ẓriɣ d ameṛkantiḍ.,"Mi scias, ke vi estas riĉa.",Je sais que vous êtes riche.,"Mi scias, ke vi estas riĉa.",Badakit aberatsa zarela.,I know you're rich.,"Mi scias, ke vi estas riĉa.","Mi scias, ke vi estas riĉa.",I know you're rich.,"Mi scias, ke vi estas riĉa."
3310,18017,I don't blame you.,I don't blame you.,I'm not blaming you.,I'm not blaming you for that.,I'm not blaming you.,Ez dizut errurik botako.,Je ne te blâme pas.,Ez dizut errurik botatzen.,네가 그렇게 하는 것은 당연한 일이야,I don't blame you for that.,I don't blame you for that.,Ez dizut errurik botatzen.,I'm not blaming you.,Ez dizut errua botatzen.
3361,18073,You don't understand.,You don't know.,Ez duzu ulertzen.,Ez duzu ulertzen.,Ez duzu ulertzen.,Ez duzu ulertzen.,Vous ne comprenez pas.,Ez duzu ulertzen.,넌 몰라,Ez duzu ulertzen.,Ez duzu ulertzen.,Ez duzu ulertzen.,You don't understand that.,Ez duzu ulertzen.
3552,18278,The sky is full of stars.,The sky is bright.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.,igenni yeččur d yitran.,La ĉielo estas plena de steloj.,Le ciel est rempli d'étoiles.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.,La ĉielo estas plena de steloj.
3619,18356,Stop grumbling.,Stop your whining.,Utzi marmarra egiteari.,Utzi marmarka egiteari.,Ez egin negarrik.,Utzi marmarra egiteari.,Dejar de llevar el tractor.,Stop whining.,Ez kexatu gehiago.,Ez kexatu.,Ez egin negarrik.,Stop whining.,Stop whining.,Ez egin zaratarik.
3758,18505,Money is the root of all evil.,For money is the root of all evil.,Mono estas la radiko de ĉiu malbono.,Money is the beginning and the root of all evil.,D idrimen i d tamɣart n lxiṛ.,Mono estas la fonto de ĉiuj malbono.,L'argent est la racine de tout mal.,Mono estas la radiko de ĉiuj malbonoj.,Mono estas la radiko de ĉio.,Mono estas la fonto de ĉiu malbono.,Mono estas la radiko de la malbono.,Mono estas la radiko de ĉiuj malbonoj.,Money is the root of all evil.,Mono estas la radiko de la malbono.
3781,18531,I wish I were rich.,I wish I had money.,Mi deziris esti riĉa.,Aberatsa izan nahi nuke.,Bɣiɣ ad iliɣ d ameṛkanti.,"Mi deziras, ke mi estu riĉa.",J'aimerais être riche.,Mi ŝatus esti riĉa.,부자가 되길 바라며,I wish I was rich.,Mi deziras esti riĉa.,I wish I was rich.,I wish I was rich.,Mi ŝatus esti riĉa.
3845,18604,The price of gold varies from day to day.,The price of gold is changing every day.,La prezo de oro ŝanĝiĝas tagon post tago.,The price of gold varies every day.,Azul yettbeddil deg yiwen wass ɣer wayeḍ.,La prezo de oro ŝanĝiĝas ĉiutage.,Le prix de l'or change chaque jour.,La prezo de oro ŝanĝiĝas de tago al tago.,La prezo de oro ŝanĝiĝas ĉiutage.,La prezo de oro ŝanĝiĝas tagon post tago.,La prezo de oro ŝanĝiĝas tago post tago.,La prezo de oro varias de tago al tago.,The price of gold changes day by day.,La prezo de oro ŝanĝiĝas ĉiutage.
3870,18631,Money talks.,Money is everything.,Mono regas la mondon.,Dirua hitz egiten ari da.,D idrimen i d agellid.,Mono regas la mondon.,Il parle beaucoup.,Dirua hitz egiten du.,돈은 말이지요.,Money has the power to persuade.,Mono solvas ĉion.,Mono movas la mondon.,Money speaks.,Mono solvas ĉion.
4377,19170,Don't be afraid.,Don't be afraid of me.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.,N'ayez pas peur.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.,Ez izan beldurrik.
4540,19342,"Fish, please.","Arraina, eskerrik asko.","Fish, please.","Fish, please.","D iselman, ma ulac aɣilif.","Fish, please.","Un poisson, s'il vous plaît.","Fish, please.",어기를 부탁드립니다.,"I'll have a fish, please.","Mi volas fiŝon, mi petas.","Fish, please.","Fish, please.","Fiŝon, mi petas."
4770,19587,Call an ambulance.,Call the ambulance.,Deitu anbulantziari.,Deitu anbulantziari!,"Call an ambulance, please.",Deitu anbulantzia bati.,Appelez une ambulance.,Deitu anbulantziari.,Anbulantzia bati deitu behar diozu.,Deitu anbulantziari.,Deitu anbulantzia bati.,Call an ambulance.,Call an ambulance.,Deitu anbulantzia bati.
4896,19729,Haste makes waste.,The speed is not enough.,Rapida rapido malofte estas bona.,"Poliki, baina ziur.",Speed is a loss.,Azkar!, La vitesse du diable.,The rush is a bad counselor.,빨리 돌아와,"When a man is in a hurry, the devil is happy.","You rush it, you make people laugh.",Haste is a bad counselor.,The devil's in the middle of this.,Jendea barregarri utziko duzu.
4900,19733,Please hurry.,Please make it quick.,Please hurry up.,Please hurry.,"Hurry up, please.",Bonvolu rapidi.," S'il vous plaît, dépêchez-vous!",Please hurry.,빨리 가세요,Please hurry up.,"Hurry up, please.","Hurry up, please.",Please hurry.,Bonvolu rapidi.
5007,19847,I haven't seen him for a long time.,I haven't seen him in a long time.,I haven't seen him in a long time.,I haven't seen him in a long time.,I haven't seen him in a long time.,Mi jam delonge ne vidis lin.,Je ne l'ai pas vu depuis longtemps.,I haven't seen him in a long time.,He hasn't seen him in a long time.,I haven't seen him in a long time.,I haven't seen him in a long time.,I haven't seen him in a long time.,I haven't seen him in a long time.,Mi ne vidis lin jam delonge.
5224,20086,All that glitters is not gold.,The light doesn't have to be gold.,It's not all gold that shines.,Dirdira egiten duen guztia ez da urrea.,Mačči d ddheb i d-yettbanen akk.,"Ne ĉio, kio brilas, estas oro.",Tout ce qui brille n'est pas de l'or.,"Ne ĉio, kio brilas, estas oro.",빛나는 것은 금이 아닙니다.,Not all that glitters is gold.,Not all that glitters is gold.,"Ne ĉio, kio brilas, estas oro.",Not everything that glitters is gold.,Ez da urre guztia distiratzen.
5235,20097,You are beautiful.,You are beautiful.,Vi estas bela.,Ederra zara.,Ederra zara.,Ederra zara.,Tu es belle.,Ederra zara.,여러분들은 아름답습니다.,Ederra zara.,Ederra zara.,Ederra zara.,You are beautiful.,Vi estas belaj.
5418,20288,I'm not feeling well.,I feel uncomfortable.,Ez nago ondo.,Ez nago ondo.,Ez nago ondo.,Ez nago ondo.,Je ne me sens pas bien.,Ez nago ondo.,저는 기분이 좋지 않아요.,Ez nago ondo.,I'm not feeling very well.,Ez nago ondo.,I'm not feeling well.,Mi ne tre bone fartas.
5471,20344,Take it easy.,"Relax, please.",-Lasaitu zaitez.,Ez kezkatu.,Ez zaitez joan.,Lasai zaitez.,Prenez-le avec vous.,Ez kezkatu.,Lasai zaitez.,Ez kezkatu.,Look at this one.,Lasaitu zaitez.,- You need to calm down.,Ez kezkatu.
5504,20379,Are you crazy?,Are you crazy?,Erotu egin al zara?,Erotu egin al zara?,Are you crazy?,Erotu egin al zara?,Tu es fou?,Erotu egin al zara?,"- 네, 네, 네.",Erotu egin al zara?,Erotu egin al zara?,Are you out of your mind?,Are you crazy?,Erotu egin zara?
5514,20392,Never mind.,It doesn't matter.,Ez dio axola.,Ez dio axola.,Ez da ezer gertatzen.,Ez da ezer gertatzen.,Ce n'est pas important.,Ez du axola.,걱정 마,Ez dio axola.,Ez du axola.,Ahaztu.,Don't worry about it.,Ez kezkatu.
5520,20398,Forget it.,I don't care what you say.,Ahaztu hori.,Ahaztu.,Utzi bakean.,Ahaztu.,Oubliez cela.,Ahaztu.,걱정 마,Ahaztu!,Ahaztu.,Ahaztu.,Forget about it.,"-Ez, ez dut uste."
5526,20405,I'm exhausted.,I'm tired of it.,"-Ez, ez dut nahi.",Nekatuta nago.,Nekatuta nago.,Nekatuta nago.,I'm a blackmailer.,Ez dut astirik.,Nekatuta nago.,Nekatuta nago.,I'm totally out of power.,Nekatuta nago.,I'm so tired of it.,Mi estas laca.
5823,20719,Look out!,Kontuz ibili!,Kontuz ibili!,Kontuz ibili!,- Watch your step!,Kontuz ibili!,Be careful!,Kontuz ibili!,Arriskuan gaude!,Kontuz ibili!,Kontuz ibili!,Urak!,Kontuz ibili!,Kontuz ibili!
6087,21003,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,I want something sweet.,Mi volas ion dolĉan.,Je veux quelque chose de sucré.,I want something sweet.,Zerbait gozoa nahi dut.,I want something sweet.,Mi volas ion dolĉan.,I want something sweet.,I want something sweet.,Mi volas ion dolĉan.
6174,21098,"Check, please.","Please, check the bill.",Please check.,"- The bill, please.","Check it out, please.",La fakturon mi petas!,Un compte s'il vous plaît.,"The bill, please.",계산을 해 주세요,"I'll get the bill, please!","The bill, please.","The bill, please.","The bill, please.","La fakturon, mi petas!"
6197,21124,I feel cold.,I feel cold.,Hotz egiten dit.,Hotz daukat.,Hotz egiten dit.,Mi malvarmas.,Je suis froid.,Mi malvarmumas.,Hotz handia egiten dit.,Hotz egiten zait.,Mi estas malvarma.,Mi malvarmumas.,Mi malvarmumas.,Mi malvarmas.
6326,21259,It's a piece of cake.,A small dish.,That's a child's play.,It's an easy trick.,It's a piece of cake.,This is a child's play.,C'est très simple.,It's a piece of cake.,-Ez da ezer gertatzen.,It's a butter pie.,Spit it out.,He's sucked.,It's very easy to do.,-Txistu egin behar duzu!
6333,21267,Have fun.,Have fun.,Have fun!,Ondo pasa!,Have fun.,Atsegin handiz.,Profitez-en!,Ondo pasa!,"- 좋아, 좋아, 좋아",Have fun.,Enjoy yourself.,Have fun!,Have fun.,Gozatu.
6711,21678,Do you remember?,Do you remember?,Gogoratzen?,Gogoratzen?,Do you remember?,Gogoratzen?,Vous vous souvenez?,Gogoratzen?,Gogoratzen?,Gogoratzen?,Gogoratzen duzu?,Gogoratzen?,Do you remember?,Gogoratzen duzu?
6961,21938,I want to go abroad.,I want to go abroad.,Mi volas iri eksterlanden.,I want to go abroad.,Bɣiɣ ad ruḥeɣ ɣer tmurt nniḍen.,Mi volas iri eksterlanden.,Je veux aller à l'étranger.,Mi volas iri eksterlanden.,Mi volas iri eksterlanden.,I'd like to go abroad.,Mi volas foriri eksterlanden.,Mi volas iri eksterlanden.,I want to go abroad.,Mi volas iri eksterlanden.
7080,22061,Open up.,Ireki atea!,Ireki atea.,Ireki atea.,Ireki atea!,Ireki atea!,Abre la puerta.,Ireki.,Ireki atea.,Ireki.,Ireki.,Ireki.,Open it up.,Ireki.
7136,22121,All aboard!,Igo ontzira!,Denak ontziratu!,Denak barrura!,Denak ontzira!,Gizonak ontzian!,Tout le monde à bord de l'avion!,Denak ontziratu!,"여러분, 이 자리에 오세요.",Everybody on board!,Denak ontziratu!,Everybody on board!,Don't leave any passengers down there!,Denak ontziratu!
7137,22122,"Good morning, everybody.",Good morning to you.,Egun on guztioi.,Egun on guztioi.,Kaixo guztioi.,Egun on elkarrekin.,Bonjour à tous.,Egun on guztioi.,안녕하세요.,Ongi etorri guztioi.,Egun on.,Egun on guztioi.,Good morning to you all.,Bonan matenon al ĉiuj!
8687,23749,Flowers bloom.,The flowers are blooming.,Floroj floras.,Loreak loratzen ari dira.,Ttaǧǧǧǧaǧin tttuɣalen.,La floroj floras.,Las flores florecen.,La floroj floras.,Loreak loratzen dira.,Loreak loratzen ari dira.,La floroj floras.,La floroj floras.,The flowers are blooming.,La floroj floras.
8818,23884,There is no smoke without fire.,The wind is not the wave.,"Kie estas fumo, tie estas fajro.",Ez dago keik su gabe.,Ez dago keik su gabe.,"Kie estas fumo, tie estas fajro.",Il n'y a pas de fumée sans feu.,Ne ekzistas fumo sen fajro.,불이 없는 곳에는 담배가 안 나오죠.,There's no smoke without fire.,Ne estas fumo sen fajro.,"Kiam la rivero sonas, akvo portas.",No smoke comes from no fire.,Ne ekzistas fumo sen fajro.
8859,23929,Do you like singing?,Do you like to sing?,Abestea gustatzen zaizu?,Abestea gustatzen zaizu?,Tḥemmleḍ ad tceḍḥeḍ?,Ĉu vi ŝatas kanti?,Do you like to sing?,Ĉu vi ŝatas kanti?,Ĉu vi ŝatas kanti?,Abestea gustatzen zaizu?,Ĉu vi ŝatas kanti?,Ĉu vi ŝatas kanti?,Do you like to sing?,Ĉu vi ŝatas kanti?
8883,23959,I'm free.,I'm free.,-Aska nazazu.,I'm on my day off.,Libre nago.,Libre nago.,Estoy libre.,Libre nago.,Ez dut astirik.,Askatu egin naiz.,Libre nago.,Ni libre nago.,I'm not here.,Mi estas libera.
9000,24081,How is your family?,Are you and your family all right?,How's your family?,How's your family?,How's your family?,How's your family?,Comment va votre famille?,How's your family?,Zure familiakoak ondo daude?,How's your family doing?,How's your family?,How's your family?,How's your family?,How's your family?
9339,24435,Who do you think you are?,Who are you?,Who do you think you are?,Nor uste duzu zarela?,Who do you think you are?,Who do you think you are?,Qui pensez-vous être?,Who do you think you are?,Zer uste duzu zarela?,Who do you think you are?,Who do you think you are?,What did you think?,Who do you think you are?,Who are you anyway?
9511,24616,Nothing happened.,Nothing happened.,Ez da ezer gertatu.,Ez da ezer gertatu.,Ez da ezer gertatu.,Ez da ezer gertatzen.,Rien ne s'est passé.,Ez da ezer gertatu.,아무 일도 일어나지 않았습니다.,Ez da ezer gertatu.,Ez da ezer gertatu.,Ez da ezer gertatu.,It's not like anything happened.,Ez da ezer gertatu.
9546,24657,Why didn't you come?,Why didn't you come?,Why didn't you come?,Zergatik ez zara etorri?,Iwacu ur d-tusiḍ ara?,Kial vi ne venis?,¿Por qué no has venido?,Why didn't you come?,Zergatik ez zinen etorri?,Why didn't you come?,Why didn't you come?,Why didn't you come?,Why didn't you come?,Kial vi ne venis?
9561,24674,What did you buy?,What did you buy?,What did you buy?,Zer erosi duzu?,What did you buy?,Kion vi aĉetis?,Qu'avez-vous acheté?,What did you buy?,Kion vi aĉetis?,What did you get?,Kion vi aĉetis?,What did you get?,What did you buy?,Kion vi aĉetis?
9563,24676,What are you reading?,What are you looking at?,Zer ari zara irakurtzen?,Zer ari zara irakurtzen?,What are you reading?,Zer ari zara irakurtzen?,Que lis-tu?,Zer ari zara irakurtzen?,Kion vi legas?,Zer ari zara irakurtzen?,Zer ari zara irakurtzen?,Zer ari zara irakurtzen?,What are you reading?,Zer ari zara irakurtzen?
9583,24698,What are you thinking about?,What are you thinking?,Zer ari zara pentsatzen?,Zer ari zara pentsatzen?,What are you thinking?,Zer pentsatzen ari zara?,What are you thinking about?,What are you thinking?,Zer ari zara pentsatzen?,What are you thinking?,What are you thinking?,What are you thinking?,What are you thinking about?,Zer ari zara pentsatzen?
9588,24706,What do you mean?,"What do you mean, ""I'm not a man""?",Zer esan nahi duzu?,Zer esan nahi duzu?,"What do you mean, ""I'm not a doctor""?",Zer esan nahi duzu?,"Que voulez-vous dire par ""l'émotion""?",Zer esan nahi duzu?,무슨 말인지?,What's the matter with you?,Zer esan nahi duzu?,Zer esan nahi duzu?,"What do you mean, ""I'm not a man""?",Zer esan nahi duzu?
9624,24759,What do you want to do?,What do you want to do?,Zer egin nahi duzu?,Zer egin nahi duzu?,What do you want to do?,Zer egin behar duzu?,Que voulez-vous faire?,Zer egin nahi duzu?,무슨 일이야?,What do you want to do?,Zer egin nahi duzu?,What do you want to do?,What do you want to do?,Zer egin nahi duzu?
9629,24765,What would you like to drink?,What do you want to drink?,Kion vi volas trinki?,What would you like to drink?,D acu tebɣiḍ ad tesweḍ?,Kion vi volas trinki?,Que voulez-vous boire?,What would you like to drink?,제가 뭘 마실까요?,What would you like to drink?,What do you want to drink?,What do you want to drink?,What would you like to drink?,Kion vi volas trinki?
9732,24885,What a pity!,It's too bad!,Pena bat da!,"-Ez, ez dut uste.",What a shame.,Pena bat da.,¡Qué lástima!,Pena bat da.,정말 미안해,What a shame.,Sentitzen dut.,What a shame!,Lastima. Ez dut uste.,Pena bat da!
9795,24958,Why me?,Why me?,Zergatik ni?,Zergatik ni?,Why me?,Zergatik ni?,¿Por qué yo?,Zergatik ni?,Zergatik ni?,Why me?,Zergatik ni?,Why me?,Why me?,Zergatik ni?
9833,25000,What are you going to do?,What are you going to do?,Kion vi intencas fari?,What are you gonna do?,What are you gonna do?,Zer egingo duzu?,What are you going to do?,What are you gonna do?,무슨 짓을 하겠니?,What are you gonna do?,What are you gonna do?,What are you gonna do?,What are you gonna do?,Zer egingo duzu?
9858,25029,What's new?,Is there anything new?,Zer berri?,Zer berri?,What's new?,Zer berri?,Qu'est-ce qui est nouveau?,What's the new?,- 변하지 않았나?,What's new?,Zer berri?,What's new?,What's the latest?,Zer berri?
9881,25056,Would you like to leave a message?,Do you want to make a message?,Would you like to leave a message?,Would you like to leave a message?,Would you like to leave a message?,Would you like to leave a message?,Voulez-vous faire un message?,Would you like to leave a message?,이 메시지를 받아들일 수 있을까요?,Would you like to leave a message?,Would you like to leave a message?,You want to leave a message?,Would you like to leave a message?,Would you like to leave a message?
9915,25095,Can I help you?,Can I help you?,Lagundu zaitzaket?,Zer egin dezaket?,- Can I help you? - No.,Lagundu zaitzaket?,Puis-je vous aider?,Lagundu zaitzaket?,- 도와드릴까요?,Can I help you?,Lagundu zaitzaket?,Lagundu zaitzaket?,Can I help you?,Lagundu zaitzaket?
9926,25106,What do you want me to do?,What do you want me to do?,"Kion vi volas, ke mi faru?",What do you want me to do?,What do you want me to do?,Zer egin behar dut?,Que voulez-vous que je fasse?,Zer nahi duzu nik egitea?,Zer nahi duzu nik egitea?,What do you want me to do?,What do you want me to do?,Zer nahi duzu nik egitea?,What do you want me to do?,Zer nahi duzu nik egitea?
9976,25164,What's up?,What's going on?,What's going on? What's going on?,- How are you? - Good.,What's beautiful?,Zer gertatzen da?,¿Qué está pasando?,How's it going?,무슨 일이 있었지?,How's it going?,How are you doing?,What wave?,What's the matter?,Zer moduz dago?
10031,25229,Would you like anything to eat?,Would you like something to eat?,Would you like something to eat?,Would you like something to eat?,Do you want to eat something?,Ĉu vi volas manĝi ion?,Aimeriez-vous manger quelque chose?,Would you like something to eat?,Ĉu vi volas ion por manĝi?,You want something to eat?,Ĉu vi volas ion manĝi?,Would you like something to eat?,Would you like something to eat?,Ĉu vi volas ion manĝi?
10101,25313,Anything new?,Is there anything new?,Zerbait berria?,-Zerbait berririk?,What's new?,Zerbait berria?,Qu'est-ce qui est nouveau?,Ez dago berririk?,Zer gertatu da?,Zerbait berria?,Zer berri?,Ez dago berririk?,Is there anything new?,Zer berri?
10274,25498,How should I know?,How do I know?,How am I supposed to know?,How would I know?,How would I know?,How am I supposed to know?,¿Cómo puedo saberlo?,How could I know?,Ez dakit.,How am I supposed to know?,How do I know?,How would I know?,How do I know?,Nola jakin dezaket?
10279,25504,I'm a free man.,I am a free man.,Gizon librea naiz.,Gizon librea naiz.,Gizon librea naiz.,Gizon librea naiz.,Soy un hombre libre.,Gizon askea naiz.,Gizon librea naiz.,Gizon librea naiz.,Mi estas libera homo.,Gizon librea naiz.,I'm a free man.,Mi estas libera homo.
10284,25509,I'm a hero.,I'm a hero.,Heroi bat naiz.,Heroi bat naiz.,Heroi bat naiz.,Heroi bat naiz.,Soy un héroe.,Heroi bat naiz.,Heroia naiz.,Heroi bat naiz.,Heroia naiz.,Heroi bat naiz.,I'm a hero. I know.,Heroi bat naiz.
10301,25528,Don't worry about me.,Don't worry about me.,Don't worry about me.,Ez kezkatu nitaz.,Don't worry about me.,Don't worry about me.,Ne t'inquiète pas pour moi.,Don't worry about me.,Ez kezkatu nitaz.,Don't worry about me.,Don't worry about me.,Don't worry about me.,Don't worry about me.,Ez kezkatu nitaz.
10307,25534,Leave me alone!,Ez nazazu gogaitu!,Utzi bakean!,Utzi bakean!,Leave me alone!,Utzi bakean!,¡Déjame ir!,Utzi bakean!,Utzi bakean!,Utzi bakean!,Leave me alone!,Utzi bakean!,Leave me alone!,Utzi bakean!
