,index,english,translated_from_chinese,translated_from_dutch
10301,25528,Don't worry about me.,Don’t worry about me.,"Don’t worry about me, don’t worry about me, don’t worry about me."
10307,25534,Leave me alone!,Don’t bother me!,Let me be alone! let me be alone! let me be alone!
10311,25538,Are you talking to me?,Are you talking to me? - Do you talk to me?,Do you talk to me? do you talk to me?
10406,25640,The king abused his power.,The king abuses power.The king abuses power.,The king abused his power.
10449,25684,Did you buy a round-trip ticket?,Have you bought the return ticket?,Have you bought a return card?
10682,25930,Action!,Start to!,The action!
10706,25954,Draw a circle.,Painting a circle.,Write a circle.
10903,26170,Can you speak English?,Would you speak English? Would you speak English? Would you speak English? Would you speak English? Would you speak English?,Do you speak English? do you speak English?
10995,26277,English is an international language.,English is an international language.,English is an international language.
11099,26397,I wish I could swim.,"I want to swim, but I want to swim.",I wanted to swim.
11336,26653,You are lying.,You are lying.,"You are lying, you are lying!"
12245,27641,Leave me alone.,Let me stay alone.,Leave me alone!
12400,27808,He didn't say a word.,He did not say anything.,"He said nothing, he said nothing."
12586,28006,What did he say?,What did he say?,What did he say? what did he say?
12698,28129,Wrong.,is wrong.,I am wrong. I am wrong.
12727,28159,My stomach hurts.,I have a pain in the stomach.I have a pain in the stomach.I have a pain in the stomach.,"My stomach is painful, I have stomach pain."
13148,28607,Not bad.,and good.,"It’s not a crazy thing, it’s not bad."
13494,28989,I like pizza very much.,I really like the pizza.,"I really like pizza, I really like pizza."
13554,29049,I am at home.,"I am at home, I am at home.",I am home.
14079,29600,Linda loves chocolate.,Linda loves chocolate.,Linda loves chocolate.
14090,29612,I am eating an apple.,I’m eating an apple.,I eat an apple.
14108,29632,The apple fell from the tree.,The apple fell from the tree.,The apple fell from the tree.
14125,29653,Lincoln died in 1865.,Lincoln died in 1865.,Lincoln died in 1865.Lincoln died in 1865.
14219,29749,I'm listening to the radio.,I listen to the radio.,I listen to the radio.
14232,29763,Turn on the radio.,Open the radio.,Enter the radio.
14311,29846,The lion is the king of the jungle.,The lion is the king of the jungle.,The lion is the king of the forest.
14382,29922,Listen carefully.,Listen carefully.,Listen well to me.
14483,30030,School starts in September in Europe.,European schools open in September.,Schools in Europe begin in September.
14506,30054,Sweet dreams!,I wish you a good dream.,Sleep nice! <unk> Dream soft! <unk> Sweet dreams! <unk> Welcome!
14536,30085,Have a nice day.,I wish you a happy day.,Another nice day! a nice day!
14575,30126,Drive slowly.,Drive slowly.,"Ride slowly, Ride slowly."
14751,30316,Hi! How are you?,"Hello, hello, what about you?","Oh, how is it with you?"
14824,30397,Louder.,A little bit loud. - A little bit loud.,and the Harder.
14826,30399,"Louder, please.",Please be a little loud.,Luider a.u.b.♰ Luider please.♰ Luider please.♰ Harder please.
14958,30542,Definitely!,It must be! 😂😂😂😂😂😂,"Of course, of course, of course, of course, of course, of course, of course, of course, of course, of course, of course."
15238,30835,I wouldn't do that if I were you.,"If I were you, I would not do that.","I’t do it if I was you.If I was you, I’t do it."
15358,30970,Are you there?,Are you there?,Are you there?
15690,31334,Time is up.,The time has arrived.,The time is over.
15703,31348,We have no time.,We have no time.,We have no time.
15728,31380,I have to leave now.,I had to go.,I have to go now.
15737,31390,"No, thank you.","No need, thank you.","No, thank you, thank you, thank you, thank you."
15814,31476,"Could you repeat that, please?",Can I ask you to repeat?,"Can you repeat that? can you repeat that, please?"
15855,31522,Please show me another one.,Please show me another.,Can you show me another?
16000,31683,It's already seven.,It is now seven.,"It’s already 7 hours, it’s already 7 hours."
16038,31723,Try again.,"Try it again, try it again.","Try it again, try it again."
16201,31892,Mary is tall.,Mary is high.,Mary is great.
16209,31900,Mary understands Chinese.,Mary knows Chinese.,Mary is Chinese.
16216,31907,Mary ran.,Mary was running.,Mary was running.
16371,32071,You're disgusting!,Your heart is dead!,You are foolish! what you are foolish!
16803,32527,I agree completely.,I totally agree.,"I totally agree, I totally agree, I totally agree."
16844,32569,I don't know yet.,I don’t know yet.,I don’t know it yet.
16903,32635,See you again.,Goodbye to!,Doei Doei Doei Doei Doei!
16937,32672,See you soon!,Let’s see you! a little bit!,"To see, to see, to see, to see, to see, to see."
17093,32841,A friend in need is a friend indeed.,"When you need, your friend is the true friend.When you need, your friend is the true friend.When you need, your friend is the true friend.When you need, your friend is the true friend.When you need, your friend is the true friend.When you need, your friend is the true friend.When you need, your friend is the true friend.When you need, your friend is the true friend.","In need, you get to know your friends."
17588,33354,Take a taxi to the hotel.,Go to the hotel.,Take a taxi to the hotel.
17763,33536,I don't like coffee.,"I don’t like coffee, I don’t like coffee.",I don’t like coffee.
17933,33712,I feel homesick.,"I want home, I want home.",I have a housewife I have a housewife I have a housewife.
17991,33771,Do you have a pen?,Do you have a pen?,Do you have a pen? - Do you have a pen? - Do you have a pen?
18223,34011,Do your best.,For the best.,Do your best.
18989,34819,It's brand new.,This is completely new.,It’s completely new. it’s completely new. it’s splinter new.
19015,34846,"Two beers, please.",Please get two cups of beer.,"Two beers, please."
19153,34991,Do you like playing volleyball?,Do you like to play football?,Do you like volleyball?Do you like volleyball?Do you like volleyball?
19253,35096,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?
19520,35385,Let's take a bus.,Let us take the bus.,Let us take a bus.
19601,35471,Fill the bucket with water.,Fill the bottle with water.,Fill the emmer with water.
19616,35489,Don't talk nonsense!,Don’t talk about it! don’t talk about it!,Don’t say stupidity!
19708,35586,Here are your keys.,"Give your key to you, this is your key.",Here are your keys.
20167,36088,What?,What is it? what is it?,What do you mean? <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
20174,36097,How cute!,How cute! how cute!,What a lovely! what a lovely!
20359,36297,Everything is ready.,Everything is ready.,"Everything is ready, everything is ready."
20396,36344,Why is he here?,Why is he here?,Why is he here?
20451,36405,Why are you crying?,Why are you crying? - Why are you crying?,Why are you crying?Why are you crying?Why are you crying?
20459,36413,Why did you quit?,Why did you resign?,Why did you resign?Why did you resign?
20465,36419,Why?,Why? why? why? why? why? why? why? why?,Why?
21008,37011,Tom goes to school on foot.,Tom walks to school.,Tom goes on foot to school.
21012,37015,Tom likes to knit.,Tom likes writing.,"Tom loves breit, Tom loves breit."
21025,37029,Tom frowned.,Tom scratched his head.,by Tom Fronste.
21049,37053,Tom is interested in mountaineering.,Tom is interested in climbing.Tom is interested in climbing.,Tom is interested in mountain sports.
21073,37077,Tom is a student.,Tom is a student.,Tom is a student.
21078,37083,Tom is interested in mathematics.,Tom is interested in mathematics.Tom is interested in mathematics.,Tom is interested in mathematics.
21093,37098,Tom drove the car.,Tom drives the car.,Tom was driving the car.
21115,37121,Tom gave me a pen.,Tom gave me a pen.,Tom gave me a pen.
21156,37162,Tom is absent.,"Tom is absent, Tom is absent.",Tom is absent.
21164,37170,Tom looks pale.,Tom looks very white.,Tom looks clear.
21178,37185,Tom likes swimming.,Tom likes to swim.,Tom loves swimming.
21191,37199,Tom walks slowly.,Tom went slowly.,Tom is slow.
21217,37226,Does Tom like tomatoes?,Do you like to eat tomatoes?,Do you love tomatoes?
21224,37234,Where was Tom born?,Where did Tom be born?,Where is Tom born?
21225,37236,Tom finally gave up smoking.,Tom finally stopped smoking.,Tom finally stopped smoking.
21233,37244,Tom likes cheese.,"Tom loves cheese, Tom loves cheese, Tom loves cheese.",Tom loves cheese.
21355,37370,Tom and I are friends.,Tom and I am friends.,Tom and I are friends.
21376,37392,Aren't you Tom?,Are you not Tom? and are you not Tom?,You are not Tom? you are not Tom?
21420,37437,"How are you, Tom?",Hello to Tom?,"How is it, Tom?"
21493,37512,Where does it hurt?,Where is it pain? where is it pain?,Where is the pain? where is the pain? where is the pain? where is the pain?
21787,37840,It was really cheap.,It is really cheap.,It was very cheap.
21838,37894,It doesn't matter.,No matter.,It doesn’t matter. <unk> It doesn’t matter. <unk> It doesn’t matter.
21871,37928,Which book is yours?,Which book is your? Which book is your? Which book is your? Which book is your? Which book is your? Which book is your? Which book is your? Which book is your? Which book is your?,What book is yours? what book is yours?
21919,37981,You may choose whichever you want.,You can choose whatever you want.You can choose whatever you want.,"You can choose which you want, you can choose which you want, you can choose which you want, you can choose which you want, you can choose which you want, you can choose which you want."
22065,38153,Where do you work?,Where do you work? where do you work?,Where are you working?
22275,38387,I'm sorry.,"I’m sorry, I’m sorry, I’m sorry, I’m sorry.","I am sorry, I am sorry, I am sorry, I am sorry, I am sorry."
22280,38392,I don't get it.,"I don’t understand, I don’t understand.",I don’t understand it. I don’t understand it. I don’t understand it.
22349,38464,Please drive carefully.,Please be careful to drive.,Please drive carefully.
22414,38559,Please make yourself comfortable.,"Don’t be pleased, sit down.",Make it easy to yourself.
22420,38571,"Sit down, please.",Please sit.,Please sit down!
22633,38820,Please forgive me.,"Please forgive me, please forgive me, please forgive me.",Please forgive me.
22726,38926,How are you doing?,Hello you? Hello you? Hello you? Hello you?,How is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you?
22731,38932,Where's the restroom?,Where is the toilet?,Where is the toilet?
22751,38955,German is not an easy language.,German is not a easy language.,German is not a easy language.
22919,39148,Turn off the TV.,Turn off the TV and turn off the TV.,"Turn off the TV, turn off the TV."
22935,39164,I watch television.,I watch television.,I watch TV.
23362,39619,There is an orange on the table.,There was an orange on the table.,There is an apple on the table.
23726,40019,Let me see it.,Let me see.,Let me see it.
23755,40051,Step aside.,Let it go.,"Go to the side, go to the side."
24039,40350,No one can help me.,"No one can help me, no one can help me.",No one can help me.
24119,40434,Who cares?,Love who.,What does it mean? <unk> <unk> <unk> <unk> <unk> <unk> <unk>
24301,40632,Stop smoking.,Do not smoke anymore.,Stop smoking.
24829,41207,Most Americans like hamburgers.,Most Americans like Hamburg.,Most Americans love hamburgers.
25162,41556,I didn't mean it.,I do not mean that.,I didn’t mean it.
25178,41572,Don't say that.,Don’t say this.,Don’t say that.
25310,41719,Turn it off.,Turn it off.,Setting it out. Setting it out.
25413,41825,"Give it to me, please.",Please give it to me.,Give it to me please.
25435,41848,Let me see that.,Let me see.,"Let me see it, let me see it."
25615,42038,It's about the size of an egg.,The size is like an egg.,It is about as big as an egg. it is about as big as an egg.
25800,42235,Whose idea was it?,Who’s this idea?,Which idea was it?
25903,42344,Is it yours?,Is this yours?,Is it yours? is it yours? is it yours? is it yours?
26116,42572,I put it in the drawer.,"I put it in the cabbage, and I put it in the cabbage.",I do it in La.
26373,42849,What is it?,What is it?,What is it? <unk> What is it? <unk> What is it? <unk> What is it? <unk> What is it?
26708,43211,What does it mean?,What does this mean?,What does it mean?
27366,43899,Give me the book.,"Give me this book, Give me this book.",Give me the book.
27393,43928,Where is the book?,Where is that book?,Where is the book?
30161,46819,The car is ready.,The car is ready.,The car is ready.
31360,48085,What does this word mean?,What does this word mean? what does this word mean? what does this word mean?,What does this word mean?
31515,48251,The dog is dying.,This dog is about to die.,The dog is dying.
33122,49963,Open the bottle.,Open the bottle.,Open the bottle.
34300,51271,I'm not at all tired.,I am not tired at all.,I’m not tired at all. I’m absolutely not tired.
34363,51340,I have a cough.,I sweat.,I have a cough.
34690,51692,"All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses."
35005,52022,Terrific!,Great is!,Fantastic! <unk> Cool! <unk> Briljant! <unk> Great! <unk> Good! <unk> That is great! <unk> Good then! <unk> What fine! <unk> Good so! <unk> Good. <unk> Prima! <unk> That is prima! <unk> Excellent! <unk> Great! <unk> Great! <unk> Great! <unk> Great!
35010,52027,Wow!,The Watson!,It is not crazy!
35060,52081,I'm coming.,"I’m here, I’m here.","I am coming, I am coming."
36366,53465,Study hard.,Good to learn.,Study hard.
37073,54201,Here comes the bus.,The bus arrived.,Here is the bus.
37093,54223,Come along.,"Come, come and come together.",Come with.
37187,54331,Ladies first.,The lady priority.,Ladies first. <unk> Ladies for everything! <unk> Ladies go for.
37308,54468,I wish you good luck.,"I wish you good luck, I wish you good luck, I wish you good luck.",I wish you good luck. I wish you good luck.
37430,54604,"Hello, Tom.",Hello to Tom.,Hello to Tom.
37679,54868,It's true.,"That’s true, that’s true.",It is true.
37886,55087,Whose books are these?,Who are these books? who are these books?,Who are these books? who are these books?
38220,55437,This is their house.,This is their home.,This is their house.
38293,55514,Whose room is this?,Who is this room?,Which room is this?
38298,55519,Whose umbrella is this?,Who is this parasol?,Which paraplu is this?
38300,55521,Whose pencil is this?,Who is the pen?,Who’s this pot?
38312,55535,This is too big.,This is too big.,This is too big.
38503,55738,This is a dog.,This is a dog.,This is a dog.
38513,55749,Is this your bicycle?,Is this your bicycle?,Is this your bike? is this your bike?
38528,55767,I don't like this.,I don’t like.,"I don’t like this, I don’t like it."
38732,55984,Is this your umbrella?,Is this parasol yours? is this parasol yours?,Is this your shadow? is this your shadow?
39336,56634,What do you call this vegetable in English?,What is the name of this vegetable in English?,What is the name of this vegetable in English?
39580,56910,This book is new.,"This book is new, this book is new.",This book is new.
40569,57974,I don't understand this word.,I don’t understand that word.,I don’t understand this word.
41714,59199,Don't throw away this magazine.,Don’t miss this magazine.,Don’t throw this magazine away.
42988,60560,This program cannot be run in DOS mode.,This program cannot be run in the DOS mode.,This program cannot be run in DOS mode.
43098,60676,Does this bus go to the beach?,Does this bus go to the beach?,Is this bus going to the beach?
43174,60758,The knife is not sharp.,This knife is not good.,The knife is not sharp.
43864,61484,This is my daughter.,This is my daughter.,This is my daughter.
43988,61614,This is a hospital.,This is a hospital.,"This is a hospital, this is a hospital."
44219,61875,Please wait here.,Please wait a little here.,Please wait here please wait here.
44415,62110,Where is the nearest subway station?,Where is the nearest metro station?,Where is the nearest metro station?
44885,62608,Nobody was injured.,No one was injured.,"No one was wounded, no one was wounded, no one was wounded, no one was wounded."
45368,63119,Today is Sunday.,Today is Sunday.,"Today is Sunday, today is Sunday."
45458,63212,Do you believe in ghosts?,Do you believe there are ghosts? do you believe there are ghosts? do you believe there are ghosts?,Do you believe in speech? do you believe in spirits?
45461,63215,You make me happy.,You make me happy.,You make me happy.
45464,63218,You look tired.,"You look tired, you look tired.","You look tired, you look tired."
45531,63296,I caught three fish yesterday.,"I fought three fish yesterday, I fought three fish yesterday.",I caught three fish yesterday I caught three fish yesterday.
45558,63324,A fox is a wild animal.,The rabbit is a wild animal.The rabbit is a wild animal.,A wax is a wild animal.
45836,63615,It's pretty cold.,The weather is very cold.,It is quite cold.
45851,63631,Canada is larger than Japan.,Canada is bigger than Japan.,Canada is bigger than Japan.
46147,63957,Is your mother at home?,Is your mother at home?,Is your mother at home? is your mother at home? is your mother at home? is your mother at home?
46407,64241,Your dog is very big.,Your dog is very fat. Your dog is very fat.,Your dog is very big.
46423,64257,Take care of yourself.,Take care of yourself.,Take care of yourself. <unk> Keep your haaks. <unk> It goes you well.
46488,64332,You are drunk!,You are drunk!,You are drunk!
46621,64491,Behave yourself.,The Rules.,Bear yourself.
46626,64496,Watch yourself.,Be careful for yourself.,Be careful to yourself. <unk> Be careful! <unk> Be careful. <unk> Be careful. <unk> Be careful. <unk> Be careful!
46634,64505,Sit wherever you like.,"Wherever you love to sit, wherever you love to sit.","Just sit where you want, and sit where you want."
46736,64620,I want money.,I want money.,I want money.
46799,64693,Welcome home.,Welcome home.,Welcome to home.
46985,64918,"Good morning, Mike.",Good morning Mike.,Good morning Mike.
47531,65501,My family goes skiing every winter.,My family goes to ski every winter.,My family is skiing every winter.
47918,65909,It's too late now.,It is too late now.,It is now too late.
47926,65918,I am coming.,I came.,"I am coming, I am coming."
48043,66043,When did you get back from London?,When did you come back from London?,When did you come back from London?
48608,66664,Jesus wept.,Jesus was crying.,Jesus was crying.
48699,66762,Happy Easter!,Happy Easter.,Great past!
48916,66989,What's that?,What is that? what is that?,What is that?
49048,67124,Is that a bat?,Is that a puppy?,Is it a mouse?
49050,67126,That is mine.,That is mine.,That is of me.
49262,67345,Alice smiled.,Alice laughed.,Alice smiled.
50014,68134,Do you know if he has a girlfriend?,Do you know he has a girlfriend?,Do you know he has a girlfriend?
50417,68547,The house is haunted.,This house is a ghost.,It smells in that house. it smells in the house.
50430,68563,Look at that smoke.,Look at the smoke.,You have to see that smoke.
50752,68908,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow? are you free tomorrow? are you free tomorrow?
50779,68937,I admire you.,I appreciate you.,I admire you.
50789,68948,Are you busy?,Are you busy? <unk> You are busy? <unk> You are busy? <unk> You are busy? <unk> You are busy?,Are you busy? are you busy?
50795,68954,Are you studying?,Are you learning? are you learning?,Are you studying? are you studying? are you studying?
50871,69044,Do you know where he lives?,Do you know where he lives? - Do you know where he lives?,Do you know where he lives? - Do you know where he lives? - Do you know where he lives? - Do you know where he lives?
51020,69205,Do you get along with your boss?,Can you meet the boss?,Do you have a good relationship with your boss?Can you get a good relationship with your boss?
51214,69421,Have you ever seen a whale?,Have you ever seen whales?,Have you seen a whale?
51225,69436,Do you like black cats?,Do you like black cats?,Do you love black cats?
51284,69506,You have a good memory.,"Your memory is good, your memory is good.","You have a good memory, you have a good memory, you have a good memory."
51296,69521,Are you a student?,Are you a student? are you a student? are you a student? are you a student?,Are you a student? are you a student? are you a student? are you a student? are you a student?
51362,69611,You have everything.,You all have.,You have everything.
51370,69619,Do you want anything to eat?,Would you like to eat something? Would you like to eat something? Would you like to eat something? Would you like to eat something?,Do you want something to eat?
51485,69763,You're still young.,You are still young; you are still young; you are still young; you are still young.,You are still young.
52019,70408,Where is your room?,Where is your room? where is your room?,Where is your room? where is your room?
52198,70623,What is your name?,"What is your name, what is your name, what is your name, what is your name, what is your name?",What is your name? what is your name? what is your name? what is your name? what is your name?
52496,70960,How old is your father?,How old is your father?,How old is your father?
52528,71000,How old is your grandfather?,How big is your grandfather?,How old is your grandfather? how old is your grandfather?
52742,71256,Are you students?,Are you students? are you students?,Are you students?
53190,71751,I know him.,"I know him, I know him.",I know him.
53489,72055,He looks suspicious.,He looks suspicious.,He looks suspicious.
53510,72076,Now I remember.,I remember it now.,Now I know it again.
54778,73398,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.
54812,73434,It's ten o'clock sharp.,It is now 10h.,It is exactly ten hours.
55379,138919,Welcome.,Welcome to!Welcome to!Welcome to!Welcome to!,Welcome to!
55509,237639,You speak fluent English.,You speak English very well.,You speak fluent English.
55555,237692,I'll make you happy.,I will make you happy.,"I will make you happy, I will make you happy."
55560,237698,I believe in you.,I believe you.,"I believe in you, I believe in you, I believe in you, I believe in you, I believe in you."
56637,238862,It's Monday.,Today is Monday.,It is Monday.
57023,239285,Can you find it?,Can you find it?,Can you find it?
57151,239431,Good luck.,I wish you good luck.,"Good luck, good luck, good luck, good luck, good luck, good luck!"
57294,239578,Where do you live now?,Where are you living now?,Where do you live today? where do you live today? where do you live today?
57582,239892,Is he breathing?,Is he breathing?,Is he breathing?
57834,240166,Look back!,Look back!,Look behind you!
58614,241077,Let's go!,Let’s go! let’s go! let’s go! let’s go! let’s go!,"Let’s go, let’s go, let’s go, let’s go."
58720,241200,I give up.,I give up.,I give it.
59166,241675,I'm on a diet.,I am eating.,I am on the diet.
60039,242641,That's enough for today.,Let us come here today.,That is enough for today.
60111,242732,It is very cold today.,Super cold today.,It is cold today.
60183,242809,It's cold today.,It is cold today.,"Today it is cold, today it is cold."
60207,242836,It is Monday today.,"This is Monday, this is Monday.",Today is Monday.
60247,242881,It's hot today.,The weather is hot today.,It is warm today.
60906,243599,Sugar dissolves in water.,Sugar dissolves in water.,Sugar is dissolved in water.
61013,243711,The worst is over.,The worst has passed.,The worst is over.
61782,244539,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.
62564,245411,Are you working?,Are you going to work?,Are you working?
62605,245454,I'm looking for a job.,I am looking for a job.,"I am looking for a job, I am looking for a job."
63020,245897,Children need loving.,Children need care.,Children need love.
63402,246314,"Stop, or I'll shoot.","Stop, otherwise I will shoot.",Stop or I shoot.
64414,247442,Welcome to our home.,Welcome to our home.,Welcome to us.
64711,247763,We try.,Let us try.,We are trying.
64879,247937,We played soccer yesterday.,We played football yesterday.,"We played football yesterday, we played football yesterday."
65001,248069,We painted the house green.,We painted the house green.,We painted the house green.
66839,250101,Please tell me your name.,"Please tell me your name, please tell me your name.",Please tell me your name.
66866,250135,Follow me.,Please come with me. – Go with me.,Follow me.
67038,250327,Do you remember me?,Do you remember me?,Do you remember me? - Do you remember me?
67322,250648,My legs still hurt.,My legs still hurt.,My legs still hurt.
67352,250680,He is my brother.,He is my brother.,He is my brother.
67692,251060,Answer me.,Answer to me.,Give me an answer. Give me an answer. Give me an answer.
68451,251884,Where's my book?,Where is my book?,Where is my book?
68790,252254,I played soccer yesterday.,I played football yesterday.,"I played football yesterday, I played football yesterday."
68808,252272,I have a car.,I have a car.,I have a car.
68816,252280,I like castles.,I like the castle.,I love castles.
68823,252287,I am a student.,"I am a student, I am a student.","I am a student, I am a student."
69426,252983,I don't drink much wine.,I don’t drink much.,I don’t drink much wine.
70203,253848,I have a computer.,I have a computer.,I have a computer.
70649,254335,I don't know how to spell the word.,I don’t know how this word is written.,I don’t know how to play the word.
71093,254847,I'm glad to hear that.,I’m glad to hear this.  I’m glad to hear this news.,I like to hear that.
71253,255034,I like chocolate.,I like chocolate.,I love chocolate.
71273,255055,I hid under the table.,I am hiding under the table.,I hid under the table.
71297,255080,I like tennis.,I love tennis and I love tennis.,I love tennis.
71529,255340,I'd like to live in New York.,I want to live in New York.,I would like to live in New York.
71804,255644,I'm happy to see you again.,I am glad to see you again.,I am glad to see you again.
71867,255717,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.
72048,255926,I like to eat apples.,I like to eat apples.,I like to eat apples.
72156,256043,I bought a book.,"I bought a book, I bought a book.",I bought a book.
72280,256178,I can swim.,I will swim.,I can swim.
72329,256236,I study English.,I learn English.,I study English.
72890,256891,I like fish.,I like fish.,I love fish.
72970,256982,I'm going to the bank.,I am going to the bank.,I go to the bank.
73077,257112,I like your car.,I like your car. I like your car.,I like your car.
73078,257113,I need your help.,I need your help.,I need your help. I need your help.
73156,257204,I'm married.,"I’m married, I’m married.","I am married, I am married."
73213,257266,I have lost my key.,I lost the key.,"I’ve lost my key, I’ve lost my key."
73426,257499,I'm on vacation.,I am on vacation.,I am on vacation.
73674,257783,He wrote a letter yesterday.,"He wrote a letter yesterday, he wrote a letter yesterday.",He wrote a letter yesterday.
73698,257809,I was busy yesterday.,I was busy yesterday.,I was busy yesterday.
73707,257819,I retired last year.,I retired last year.,"I retired last year, I retired last year."
74284,258457,I wrote a letter.,I wrote a letter.,"I have written a letter, I have written letters."
74510,258713,I laughed.,I laughed.,"I laughed, I laughed."
74564,258769,I overslept.,I slept my head. - I slept my head.,I was sleeping.
74638,258845,I know the truth.,I know the truth.,I know the truth.
74773,258994,I'm not a student.,I am not a student.,I am not a student.
74799,259020,I have a new red car.,I have a new red train.,I have a red car.
74809,259030,I've lost my ticket.,I lost my tickets.,I lost my ticket.
74823,259045,I was in London last month.,Last month I was in London.,I was in London last month.
74847,259069,I am a teacher.,"I am a teacher, I am a teacher.",I am a teacher.
74848,259070,I am not a teacher.,I am not a teacher.,I am not a teacher.
74945,259190,I run.,I run.,I am running. I am running.
74984,259233,I'm proud of my son.,I am proud of my son.,I am proud of my son.
75037,259288,I'm healthy.,I am good body.,I am healthy.
75155,259413,I'm afraid of earthquakes.,I fear the earthquake.,I am afraid of earthquakes.
75470,259747,I love reading books.,I like to read books.,I like to read books.
75593,259880,I do not have a cat.,I have no cat.,I don’t have a cat.
76817,261221,I love her.,"I love her, I love her.","I love her, I love her."
77052,261477,I'm poor.,I am poor.,I am poor.
77065,261490,I've never climbed Mt. Fuji.,I have never climbed the Fuji Mountains.,I have never climbed Mount Fuji.
77275,261721,I'm busy.,I am busy.,I am busy.
77387,261849,I run every day.,I run every day.,I rush every day.
77726,262220,I live with my parents.,I live with my parents.,"I live with my parents, I live with my parents."
77743,262240,I like apples.,I like apples.,I love apples.
77810,262315,I broke my arm.,My arm was broken.,I broke my arm.
77834,262339,"I think so, too.","I think that, I think that, I think that, I think that, I think that.",I think that too.
77908,262424,Please help me.,"Please help me, please help me.","Please help me, please help me."
78717,263406,Poets write poems.,The poet writes poetry.,Poets write poems.
79144,263886,Time flies.,"Time passes, time passes, time passes, time passes.","The time flows, the time flows."
79970,264824,Respect yourself.,A bit of self-esteem.,Respect yourself.
80319,265233,What actually happened?,What exactly happened.,What really happened? what really happened?
80482,265406,I wish I had a car.,I hope I have a car.,I only had a car.
80569,265500,Drive carefully.,Driving carefully.Driving safe.,Drive cautiously and drive cautiously.
80570,265501,Do you know how to drive a car?,Do you know how to drive? ♰ Do you drive? ♰ Do you drive?,Do you know how to drive a car?
81054,266051,Can I help?,Can I help? - Can I help?,Can I help?
81063,266065,Help me.,Help me a little.,"Help me, help me."
81369,266400,Practice makes perfect.,Knowledge of chance.,Exercise is art.
81701,266790,Get out!,Go out! and go out!,Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten Forgotten
82881,268087,Get down!,Go to bed!,"Go to the bottom, go to the bottom, go to the bottom, go to the bottom, go to the bottom, go to the bottom."
83562,268828,Unbelievable!,Unbelievable! it’s hard to believe!,Unbelievable!  Unbelievable!  Unbelievable!
84767,270147,Are you kidding?,Are you joking?,Are you crazy? <unk> Do you make a joke? <unk> Do you love me for the crazy?
86352,271901,Try hard.,The effort.,Do your best.
86481,272043,Keep quiet.,Stay quiet!,"Stay quiet, be quiet!"
87954,273621,See above.,See the above.,See above.
88018,273694,Everything went smoothly.,All progress was well.,"Everything went smoothly, everything went smoothly."
88107,273786,I have no idea.,"I don’t know, I don’t know anything.",I have no idea.
88478,274210,Open the window.,Please open the window.,Open the window!
88496,274237,Close the window.,Close the window!,Close the window.
89422,275276,I am exhausted.,"I’m tired, I’m tired, I’m tired.",I am exhausted.
89857,275743,Are you all right?,You are okay right?,Is it going well with you?
90203,276105,Is anybody here?,Someone is?,Is there someone here?
90204,276106,Is somebody there?,Is there someone there?,Is there someone?
90373,276298,Is anybody home?,Is there anyone in the house?,Is there someone at home?
90434,276369,Who knows?,Who knows?,"Who knows, who knows, who knows, who knows, who knows?"
90652,276629,No one helped me.,No one helped me.,No one helped me.
90948,276955,It's too expensive.,"It’s too expensive, it’s too expensive!",It’s too expensive. it’s too expensive. it’s too expensive!
90985,276998,Ignorance is bliss.,Ignorance is happiness.,"What the eye does not see, the heart does not."
91027,277046,Knowledge is power.,Knowledge is power; Knowledge is power.,Knowledge is power.
91406,277466,Let me in.,Let me enter.,Let me enter.
91640,277720,Stop talking.,Don’t talk anymore.,Stop talking.
91688,277773,Breakfast is ready.,Breakfast is ready.,"Breakfast is ready, breakfast is ready."
92046,278174,Birds sing.,The bird sing.,The birds sing.
92080,278213,Birds fly.,The birds fly.,Birds are flying.
92087,278220,Birds lay eggs.,The bird.,Birds put eggs.
92373,278535,It's my brother's.,It is my brother.,It is of my brother.
92441,278606,Don't give up!,Don’t give up!,Don’t give up!
92944,279153,Turn off the light.,and lighting.,"Disconnect the light, disconnect the light."
93063,279284,Answer the phone.,Get the phone.,Take the phone.
93811,280125,My head aches.,I have a headache. I have a headache. I have a headache.,I have headaches.
93842,280162,Cool off!,calmly!,Go to cool!
94051,280393,Are you lost?,Are you lost? are you lost?,Are you lost?
94219,280576,Are you single?,Are you single?,Are you single? are you single? are you single? are you single?
94881,281301,Have you decided to go to Japan?,Have you decided to go to Japan?,Have you decided to go to Japan?
95165,281606,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.
95175,281616,Welcome to Japan.,Welcome to Japan.,Welcome to Japan.
95690,282197,Years passed.,How many years have passed.,Years have passed.
