,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
2474,17103,Is your watch correct?,Your hand is not aiming?,Is your watch running correctly?,Is your watch right?,.سوقۇڭ توغرىمۇ؟.سوقۇڭ توغرىمۇ؟,Ĉu via horloĝo funkcias ĝuste?,Votre horloge est-elle exacte?,သင့်နာရီက အချိန်မှန်လား။ သူ့နာရီက အချိန်မှန်လား။ သင့်နာရီက အချိန်မှန်လား။,Zure erlojua ondo doa?,Ĉu via horloĝo funkcias bone?,.سىزنىڭ سائەتڭىز توغرا كېتىۋاتامدۇ؟ سىزنىڭ سائەتڭىز توغرا كېتىۋاتامدۇ؟,Is your watch on time?,Is your watch correct?,Ĉu via horloĝo funkcias ĝuste?
2480,17110,Where are your things?,Where's your stuff? Where's your stuff? Where's your stuff? Where's your stuff?,.ھازىر سىزدە بارلار قەيەردە؟.ھازىر سىزدە بارلار قەيەردە؟,Where's your stuff? Where's your stuff?,.ھازىر سىزدە نېمە بار؟,Where are your things?,Où sont vos affaires?,.ئۆزىڭىزنىڭ نېمە؟ ئۇنىڭ نېمە؟ سىزنىڭ نېمە؟,"그리고, 이 모든 것들이 어디에 있는 걸까요?",Where's your stuff?,.ھازىر ئۇ يەردە سىز ئولتۇرغان ئىشلار قەيەردە؟,Where's your stuff?,Where's your stuff?,Kie estas viaj aĵoj?
2516,17150,Where do you come from?,Where are you from? What country are you from?,Where are you from?,De kie vi estas? De kie vi estas? De kie vi estas? De kie vi estas? De kie vi estas? De kie vi estas?,قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قانداق دۆلەتتىن كەلدىڭ؟,قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟,D'où viens-tu?,قەيەردىن كەلدىڭ؟ سىز قەيەردىن كەلدىڭ؟ سىز قەيەردىن كەلدىڭ؟ سىز قەيەردىن كەلدىڭ؟ سىز قەيەردىن كەلدىڭ؟ سىز قەيەردىن كەلدىڭ؟,De kie vi venas? De kie vi venas? De kie vi venas?,Where are you from? Where are you from? Where are you from?,قەيەردىن كەلدىڭ؟,قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟ قەيەردىن كەلدىڭ؟,Where are you from?,De kie vi estas? De kie vi estas? De kie vi estas?
2555,17190,Make your choice.,You have to make your choice.,.سىز ئۆزىڭىزگە ھەيدەكچىلىك قىلىڭ.,Egin zure erabakia.,.سىز ئۆزىڭىزگە ھەيدەكچىلىك قىلىڭ,Egin zure aukera.,Choisissez votre choix.,.ئۆزىڭىزنىڭ تاللىشىڭىزنى قىلىڭ.ئۇنىڭ تاللىشىڭىزنى قىلىڭ.ئۆزىڭىزنىڭ تاللىشىڭىزنى قىلىڭ,당신이 좋아하는 것을 선택해,Aukeratu.,.ئۆزىڭىزنىڭ تاللىشىڭىزنى قىلغايسىز,.ئۆزىڭىزنىڭ تاللىشىڭىزنى قىلىڭ,.سىز ئۆزىڭىز ئىختىيار قىلىڭ,Egin zure erabakia.
2562,17198,I know what you mean.,I know what you mean.,I know what you're saying. I know what you mean.,I know what you mean.,.مەن سىزنىڭ نېمىنى دېيىشىڭىزنى بىلىمەن,.مەن سىزنىڭ ئويلىغىنىڭلارنى بىلىمەن. مەن سىزنىڭ ئويلىغىنىڭلارنى بىلىمەن. مەن سىزنىڭ ئويلىغىنىڭلارنى بىلىمەن.,Je sais ce que tu veux dire. Je sais ce que tu veux dire. Je sais ce que tu veux dire. Je sais ce que tu veux dire. Je sais ce que tu veux dire. Je sais ce que tu veux dire.,.مەن سىزنىڭ ئويلىغىنىڭىزنى بىلىمەن,이해해요. 이해해요. 제가 무슨 말을 하는지 아시죠.,I know what you meant.,.مەن سىزنىڭ نېمىنى ئويلاپ باققانلىقىڭىزنى بىلىمەن,I know what you mean.,I know what you mean. I know what you mean.,Mi komprenas kion vi celas.
2643,17283,Where is your school?,Where is your school?,Kie estas via lernejo?,Where's your school?,مەكتىپىڭىز قەيەردە؟ مەكتىپىڭىز قەيەردە؟,ကျောင်းက ဘယ်မှာလဲ။ ကျောင်းက ဘယ်မှာလဲ။ ကျောင်းက ဘယ်မှာလဲ။,Où est votre école?,-- سىزنىڭ مەكتەپىڭىز قەيەردە؟ ئۇنىڭ مەكتىپى قەيەردە؟ سىزنىڭ مەكتىپىڭىز قەيەردە؟,Kie estas via lernejo? Kie estas via lernejo?,Where's your school?,سىزنىڭ مەكتەپىڭىز قەيەردە؟ سىزنىڭ مەكتەپىڭىز قەيەردە؟ سىزنىڭ مەكتەپىڭىز قەيەردە؟ سىزنىڭ مەكتەپىڭىز قەيەردە؟,Kie estas via lernejo?,Where's your school?,Kie estas via lernejo? Kie estas via lernejo?
2703,17344,You're on the right track.,You're right. You're on the right track.,سىز توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى توغرا يولدا بولسىڭىز يەنى Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right Right,You're on the right track.,سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا,You're on the right track.,Vous êtes sur la bonne voie.,سىز توغرا يولدا كېتىسىز. سىز توغرا يولدا كېتىسىز. سىز توغرا يولدا كېتىسىز. سىز توغرا يولدا كېتىسىز. ئۇ توغرا يولدا تۇرىدۇ. سىز توغرا يولدا كېتىسىز.,네가 하는 일은 잘못되지 않았어,You're on the right track.,سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا,You're on the right track.,You're on the right track.,سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا يولدا ماڭدىڭىز. سىز توغرا
2705,17347,Your time is up.,It's your time.,Your time is up.,Your time is up.,.سىلەرنىڭ ۋاقتىڭلار ئۆتتى.,Your time is up. Your time is up.,Ton temps est passé. Tu as perdu ton temps.,.ھازىرنىڭ ئۆزىدە ۋاقىت تۈگىدى.,이제 제 두 번째 시간이 끝났습니다.,Your time is up.,.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.ھازىرنىڭ ئۆزىدە.,Your time is up. Your time is up. Your time is up.,Your time is up.,.سىزنىڭ ۋاقتىڭىز ئۆتتى..سىزنىڭ ۋاقتىڭىز ئۆتتى..سىزنىڭ ۋاقتىڭىز ئۆتتى.
2713,17355,Your pen is better than mine.,Your pen is better than mine.,Via skribilo estas pli bona ol la mia.,Via skribilo estas pli bona ol la mia.,.سىزنىڭ قەلەمىڭىز مېنىڭ قەلەمىمدىنمۇ ياخشى. سىزنىڭ قەلەمىڭىز مېنىڭ قەلەمىمدىنمۇ ياخشى,Via skribilo estas pli bona ol la mia.,Ton stylo est meilleur que le mien.,.قەلەمىڭىز مېنىڭكىدىنمۇ ياخشى. سىزنىڭ ئورنىڭىز مېنىڭكىدىنمۇ ياخشى,Via skribilo estas pli alta ol mia. Via skribilo estas pli bona ol mia.,Your pen is better than mine. Your pen is better than mine.,.مېنىڭ قەلەمم ئۆزۈمدىن ئۈستۈن. سىزنىڭ قەلەمىڭىز مېنىڭ قەلەممدىن ئۈستۈن. سىزنىڭ قەلەمىڭىز مېنىڭ قەلەممدىن ئۈستۈن.,His pen is better than mine. Your pen is better than mine.,Via plumilo estas pli bona ol mia.,.سىزنىڭ قولىڭىز مېنىڭ قولۇمدىنمۇ ياخشى.
2715,17357,Your plan sounds great.,Your plan sounds good.,Your plan sounds great. Your plan sounds great.,Your plan sounds great.,.خىيالىڭىز بەك ياخشى كۆرۈنىدۇ,Your plan sounds great.,Votre programme semble excellent. Votre programme sonne très bien.,.سىزنىڭ پىلانىڭىز بەك ياخشى كۆرۈنىدۇ,Zure plana zoragarria da.,Your plan sounds great.,.خىيالىڭىز بەك ياخشى ئاڭلاندى,Your plan sounds great.,Your plan looks great.,.خىيالىڭىز بەكلا ياخشى ئاڭلاندى
2749,17395,Your cake is delicious.,Your cake is delicious.,Via kuko estas bongusta.,Your cake is really good. Your cake is really good.,.تورتىڭىز بەكلا ياخشىكەن.تورتىڭىز بەكلا ياخشىكەن,Your cake tastes good. Your cake tastes good.,Votre gâteau est vraiment délicieux.,.چۈنكى، سىز بىر ياخشى تۇخۇم تورتنى يەپتۇڭىز.ئۇنىڭ تۇخۇم تورتى بەكلا ياخشى.,네 케이크는 맛있어요. 네 케이크는 맛있어요.,Your cake is delicious.,Via kuko bongustas.,သင့်ကိတ်က အရသာရှိပါတယ် သင့်ကိတ်က အရသာရှိပါတယ် သင့်ကိတ်က အရသာရှိပါတယ်,The cake is delicious.,.تورتىڭىز ناھايىتى ياخشى.تورتىڭىز ناھايىتى ياخشى.
2754,17400,Here is your bag.,Your bag is here.,Here's your purse.,Here's your bag.,.بۇ سىزنىڭ سومكىڭىز. بۇ سىزنىڭ سومكىڭىز. بۇ سىزنىڭ سومكىڭىز. بۇ سىزنىڭ سومكىڭىز.,သင့်အိတ်က ဒီမှာရှိပါသေးတယ်။ ဒါက သင့်အိတ်ပါ။ ဒါက သင့်အိတ်ပါ။ ဒါက သင့်အိတ်ပါ။,Voici votre dossier.,.بۇ سىزنىڭ سومكىڭىز.بۇ ئۇنىڭ سومكىڭىز.بۇ سىلەرنىڭ سومكىڭىز,Zure poltsa hemen dago.,Here's your bag.,.بۇ سىزنىڭ سومكىڭىز,Here's your bag.,Here's your bag.,Jen via sako.
2774,17421,I believe you.,I believe you.,Sinesten dizut.,I believe you. I believe you.,.مەن سىزگە ئىشىنىمەن,.مەن سىزگە ئىشىنىمەن,Je te crois. Je te crois.,.سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن,저는 당신을 믿습니다. 저는 당신의 말을 믿습니다. 저는 당신이 말하는 것을 믿습니다.,Sinesten dizut.,.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.مەن سىزگە ئىشىنىمەن.,I believe you.,.مەن سىزگە ئىشىنىمەن,Mi kredas je vi. Mi kredas je vi.
2776,17423,I don't agree with you.,I don't agree with you.,I don't agree with you. I don't agree with you.,I don't agree with you.,.مەن سىزگە قوشۇلمايمەن. مەن سىزگە قوشۇلمايمەن. مەن سىزنىڭ پىكىرىڭىزگە قوشۇلمايمەن,.مەن سىزنىڭ ئويلىغىنىڭىزغا قوشۇلمايمەن.مەن سىزنىڭ ئويلىغىنىڭىزغا قوشۇلمايمەن.مەن سىزگە قوشۇلمايمەن.مەن سىزگە قوشۇلمايمەن,Je ne suis pas d'accord avec toi.,.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ,저는 동의하지 않습니다. 저는 동의하지 않습니다. 저는 동의하지 않습니다.,I don't agree with you.,.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.مەن سىزگە قىلچە ئۇيغۇن كەلمەيدۇ.,I don't agree with you.,مەن سىلەر بىلەن بىرلىكتە ئەمەس. مەن سىلەر بىلەن بىرلىكتە ئەمەس. مەن سىلەر بىلەن بىرلىكتە ئەمەس.,Mi ne konsentas kun vi. Mi ne konsentas kun vi. Mi ne konsentas kun vi.
2880,17534,You deserve the prize.,You should get this bonus.,Irabazi egin duzu. Irabazi egin duzu. Irabazi egin duzu.,You deserve a prize.,.سىلەر مۇكاپاتقا ئېرىشىشىڭلار كېرەك,You deserve the prize.,Tu mérites le prix. Tu mérites le prix. Tu mérites le prix. Tu l'as gagné avec intégrité. Tu mérites le prix.,.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز.سىز مۇكاپاتقا ئېرىشتىڭىز,그 상을 받을 자격이 있어,You deserve a reward.,.سىز بۇ مۇكاپاتقا (يۆتكەلگەنلىكتىن) ئېسىل مۇكاپاتقا (يەنى ئېسىل مۇكاپاتقا) ئېرىشتىڭىز,You deserve the prize. You deserve the prize.,You deserve the reward.,.سىز مۇكاپاتقا ئېرىشتىڭىز
2884,17538,Green suits you.,Green is for you.,Green looks good on you.,Green is good for you.,.يېشىل رەڭ سىزگە ماس كېلىدۇ. يېشىل رەڭ سىزگە ماس كېلىدۇ,.يېشىل رەڭ سىزگە مەنسۇپ,Le vert vous convient.,.يېشىل سىزگە ياردىمى بولىدۇ.يېشىل سىزگە ياردىمى بولىدۇ.يېشىل سىزگە ياردىمى بولىدۇ.يېشىل سىزگە ياردىمى بولىدۇ.يېشىل سىزگە ياردىمى بولىدۇ.يېشىل سىزگە ياردىمى بولىدۇ,Berdea ondo geratzen zaizu.,The green one suits you.,.يېشىل رەڭ سىزگە يېتەكچى بولىدۇ,You'll have the green.,.يېشىل رەڭ سىزگە ماس كېلىدۇ,.يېشىل رەڭ سىزگە يېتەرلىك
3032,17707,I want you.,I want you.,Zu nahi zaitut.,I want you. I want you.,.مەن سىزنى ياخشى كۆرىمەن.,I want you. I want you!,Je vous veux.,.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن,Zu nahi zaitut.,I want you.,Zu nahi zaitut.,I want you.,I want you. I want you.,.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن.مەن سىزنى ياخشى كۆرىمەن
3055,17735,I need you.,I need you.,Behar zaitut. Behar zaitut.,I need you. I need you.,.مېنىڭ سىزنى ھەقىقەتەنمۇ দরকারى قىلىمەن,မင်းကို ငါလိုအပ်တယ်။ မင်းကို ငါလိုအပ်တယ်။ မင်းကို ငါလိုအပ်တယ်။,"J'ai besoin de toi, j'ai besoin de toi, j'ai besoin de toi, j'ai besoin de toi.",.مېنىڭ سىزنى ھەقىقەتەنمۇ দরকারى قىلىمەن. مېنىڭ سىزنى ھەقىقەتەنمۇ দরকারى قىلىمەن.,난 널 필요로 해,I need you. I need you.,.مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن. مېنىڭ سىزنى ياخشى كۆرىمەن,I need you.,I need you.,Behar zaitut. Behar zaitut. Behar zaitut.
3082,17764,Show me what you bought.,Let me see what you bought.,Show me what you bought.,Show me what you bought.,.ماڭا نېمىنى سېتىۋالغانلىقىڭىزنى كۆرسىتىڭ,"Montru al mi, kion vi aĉetis.",Montrez-moi ce que vous avez acheté.,.ماڭا نېمىنى سېتىۋالغانلىقىڭىزنى كۆرسىتىڭلار.ماڭا نېمىنى سېتىۋالغانلىقىنى كۆرسىتىڭلار.ماڭا نېمىنى سېتىۋالغانلىقىڭىزنى كۆرسىتىڭلار,제가 제가 여러분께 제가 제가 제가 여러분께 제가 제가 여러분께 제가 제가 제가 여러분께 제가 제가 여러분께 제가 제가 여러분께 제가 제가 여러분께 제가 제가 여러분께 제가 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 제가 여러분께 제가 여러분께 제가 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가 여러분께 제가,.ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ,.ماڭا نېمىنى سېتىۋالغانلىقىڭىزنى كۆرسىتىڭ,Show me what you bought.,Show me what you got.,.ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسىتىڭ. ماڭا نېمىنىڭ ساتقانلىقىنى كۆرسى
