,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
1068,2389,I don't want it anymore.,我再也不想要了。,Ik wil het niet meer.,En halua sitä enää.,Je n'en veux plus.,Ich will das nicht mehr!,אני כבר לא רוצה את זה.,Nem akarom tovább.,Non ne voglio più.,もうそれはいらない。,Nie chcę już tego.,Я больше не хочу этого.,Ya no lo quiero.,Artık onu istemiyorum.,Я більше цього не хочу.
1080,2401,I thought it was true.,我以为这是真的。,Ik dacht dat het waar was.,"Luulin, että se oli totta.",Je croyais que c'était vrai.,"Ich dachte, es wäre wahr.",חשבתי שזה היה נכון.,"Úgy gondoltam, ez igaz lehet.",Credevo fosse vero.,それは本当だと思った。,"Myślałem, że to prawda.","Я думал, что это правда.",Yo pensé que era cierto.,Ben onun doğru olduğunu düşündüm.,"Я думав, що це правда."
1088,2409,I went to drink a beer with friends.,我去和朋友喝了杯啤酒。,Ik ging met vrienden een biertje drinken.,Menin kaljalle kavereiden kanssa?,Je suis allé boire une bière avec des amis.,Ich bin mit Freunden ein Bier trinken gegangen.,הלכתי לשתות בירה עם חברים.,Sörözni mentem a barátokkal.,Sono andato bere una birra con degli amici.,私は友達とビールを飲みに行った。,Poszedłem na piwo z przyjaciółmi.,Я пошёл выпить пива с друзьями.,Fui a beber una cerveza con los amigos.,Arkadaşlarla birlikte bir bira içmek için gittim.,Я сходив попити пивка з друзями.
1091,2412,They quarreled.,他们吵架了。,Ze maakten ruzie.,He riitelivät.,Elles se sont disputées.,Sie haben sich gestritten.,הם רבו.,Veszekedtek.,Hanno litigato.,彼らは言い争いをした。,Pokłócili się.,Они поссорились.,Ellos discutieron.,Onlar tartıştılar.,Вони посварилися.
1092,2413,I ate caviar.,我吃了魚子醬。,Ik at kaviaar.,Söin kaviaaria.,J'ai mangé du caviar.,Ich habe Kaviar gegessen.,אני אכלתי קוויאר.,Kaviárt ettem.,Ho mangiato del caviale.,私はキャビアを食べた。,Zjadłem kawior.,Я ел икру.,Comí caviar.,Ben havyar yedim.,Я їв ікру.
1097,2418,How much is it?,这个多少？,Hoeveel kost het?,Kuinka paljon se maksaa?,Ça coûte combien ?,Wie viel kostet es?,כמה זה עולה?,Mennyibe kerül ez?,Quanto costa?,いくらですか？,Ile kosztuje?,Сколько это стоит?,¿Cuánto cuesta?,Fiyatı ne kadar?,Скільки це коштує?
1101,2423,Did you leave a tip?,你们给了小费吗？,Heb je een fooi gegeven?,Jätitkö tippiä?,Tu as laissé un pourboire ?,Hast du ein Trinkgeld dagelassen?,השארת תשר?,Adtál borravalót?,Hai lasciato la mancia?,チップを置きましたか。,Czy zostawiłeś napiwek?,Ты оставил на чай?,¿Dejaste propina?,Bir bahşiş bıraktın mı?,Ти залишив чайові?
1102,2424,Don't forget the ticket.,不要忘了票。,Vergeet het kaartje niet.,Älä unohda lippua.,N'oubliez pas le ticket.,Vergessen Sie die Fahrkarte nicht.,אל תשכח את הכרטיס.,A jegyet ne felejtse el!,Non dimenticare il biglietto.,チケットを忘れないでください。,Nie zapomnij biletu.,Не забудьте билет.,No olvides la tarjeta.,Bileti unutma.,Не забудь квиток.
1107,2429,I want you to tell me the truth.,我想你把真相告诉我。,Ik wil dat je me de waarheid vertelt.,"Haluan, että kerrot minulle totuuden.",Je voudrais que tu me dises la vérité.,"Ich hätte gerne, dass du mir die Wahrheit erzählst.",אני רוצה שתגיד לי את האמת.,"Azt akarom, hogy mondd el nekem az igazat.",Vorrei che tu mi dicessi la verità.,私はあなたに本当のことを言って欲しい。,"Chcę, żebyś powiedział mi prawdę.","Я хочу, чтобы ты сказал мне правду.",Quiero que me digas la verdad.,Bana gerçeği söylemeni istiyorum.,"Я хочу, щоб ти мені сказав правду."
1115,2437,I talked to friends.,我和朋友们交谈。,Ik heb met vrienden gesproken.,Puhuin ystävilleni.,J'ai parlé à des amis.,Ich habe mit Freunden gesprochen.,דיברתי עם חברים.,Barátokkal beszélgettem.,Ho parlato a degli amici.,私は友達に話しかけた。,Rozmawiałem z przyjaciółmi.,Я говорил с друзьями.,Hablé con amigos.,Ben arkadaşlarla konuştum.,Я розмовляв з друзями.
1122,2444,Tell me what happened.,告訴我發生了什麼事。,Vertel me wat er is gebeurd.,Kerro minulle mitä tapahtui.,Dis-moi ce qui est arrivé.,"Sag mir, was passiert ist.",ספר לי מה קרה.,"Mondd el, mi történt!",Dimmi quello che è successo.,何が起きたのか話して下さい。,"Powiedz mi, co się stało.","Скажи мне, что случилось.",Dime qué ha pasado.,Bana ne olduğunu anlat.,"Скажи мені, що трапилося."
1127,2449,It's more difficult than you think.,它比你想像的要难。,Het is moeilijker dan je denkt.,Se on vaikeampaa kuin luulet.,C'est plus difficile que tu ne crois.,"Es ist schwieriger, als du glaubst.",זה קשה יותר ממה שאתה חושב.,"Ez nehezebb, mint gondolnád.",È più difficile di quello che pensi.,あなたが思っているより難しい。,To jest trudniejsze niż myślisz.,"Это труднее, чем ты думаешь.",Es más difícil de lo que crees.,O düşünmenden daha zordur.,"Це важче, ніж ти думаєш."
1130,2453,I don't agree with him.,我不同意他。,Ik ben het niet met hem eens.,En ole samaa mieltä kuin hän.,Je ne suis pas d'accord avec lui.,Ich stimme ihm nicht zu.,אני לא מסכים איתו.,Nem értek vele egyet.,Non sono d'accordo con lui.,彼には賛成できません。,Nie zgadzam się z nim.,Я не согласен с ним.,No estoy de acuerdo con él.,Onunla aynı fikirde değilim.,Я не погоджуюся з ним.
1150,2474,I'd rather be a bird than a fish.,我寧願是一隻鳥勝過一條魚。,Ik zou liever een vogel dan een vis zijn.,Olisin mieluummin lintu kuin kala.,Je préférerais être un oiseau plutôt qu'un poisson.,Ich wäre lieber ein Vogel als ein Fisch.,עדיף לי להיות ציפור מאשר דג.,"Inkább lennék egy madár, mint egy hal.",Mi piacerebbe di più essere un uccello che un pesce.,私は魚よりもむしろ鳥になりたい。,Wolałbym być raczej ptakiem niż rybą.,"Я бы лучше был птицей, чем рыбой.",Preferiría ser un pájaro a ser un pez.,Bir balık olmaktansa bir kuş olmayı yeğlerim.,"Я би краще був птахом, ніж рибою."
1169,5944,Tell me about it!,跟我讲讲那件事。,Vertel me erover!,Kerro minulle siitä!,À qui le dis-tu !,Wem sagst du das!,ספר לי על כך!,Nekem mondod!,A chi lo dici!,教えてよ！,Opowiedz mi o tym!,И не говорите!,¡Dímelo a mí!,Bana ondan bahset!,І не кажи!
1176,5999,I have to take medicine.,我必须吃药。,Ik moet medicijnen gebruiken.,Minun täytyy ottaa lääkettä.,Je dois prendre des médicaments.,Ich muss Medikamente nehmen.,אני צריך לקחת תרופות.,Gyógyszert kell szedjek.,Devo prendere delle medicine.,薬を飲まなければなりません。,Muszę brać lekarstwa.,Я должен принимать лекарства.,Tengo que tomar un medicamento.,İlaç almak zorundayım.,Я повинен вживати ліки.
1182,6019,I work even on Sunday.,我甚至在週日工作。,Ik werk zelfs op zondag.,Teen töitä myös sunnuntaina.,Je travaille même le dimanche.,Ich arbeite sogar sonntags.,אני עובד אפילו ביום ראשון.,Vasárnap is dolgozom.,Lavoro perfino di domenica.,日曜日でも、働きます。,Pracuję nawet w niedzielę.,Я работаю даже в воскресенье.,Trabajo hasta los domingos.,Ben pazar günü bile çalışırım.,Я працюю навіть у неділю.
1184,6024,It happened a long time ago.,这事发生在很多年以前。,Het gebeurde lang geleden.,Se tapahtui pitkän aikaa sitten.,Cela s'est passé il y a longtemps.,Es ist vor langer Zeit passiert.,זה קרה לפני זמן רב.,Sok éve történt.,È successo molto tempo fa.,それは随分昔に起きたことです。,To stało się dawno temu.,Это произошло давным-давно.,Eso ocurrió hace mucho tiempo.,O uzun zaman önce oldu.,Це сталося дуже давно.
1185,6026,Where have you been?,你一直在哪里？,Waar was je?,Missä olet ollut?,Où étais-tu passé ?,Wo warst du?,איפה היית?,Hol jártatok?,Dove sei stato?,今までどこに行っていたの？,Gdzie byłeś?,Где вы были?,¿Dónde habías estado hasta ahora?,Neredeydin?,Де ви були?
1188,6034,It's been snowing all night.,雪下了一整夜。,Het heeft de hele nacht gesneeuwd.,On satanut lunta koko yön.,Il a neigé toute la nuit.,Es hat die ganze Nacht geschneit.,ירד שלג במשך כל הלילה.,Egész éjjel havazott.,Ha nevicato tutta la notte.,一晩中雪が降っています。,Całą noc padał śnieg.,Всю ночь идёт снег.,Ha nevado toda la noche.,Bütün gece kar yağıyordu.,Всю ніч іде сніг.
1198,6054,"He was born on July 28th, 1888.",他出生於1888年7月28日。,Hij werd op 28 juli 1888 geboren.,Hän syntyi 28.7.1888.,Il est né le 28 juillet 1888.,Er ist am 28. Juli 1888 geboren.,הוא נולד בעשרים ושמונה ביולי שנת אלף שמונה מאות שמונים ושמונה.,1888. július 28-án született.,È nato il 28 luglio 1888.,彼は1888年7月28日に生まれました。,Urodził się 28 lipca 1888 roku.,Он родился 28 июля 1888 года.,Él nació el 28 de julio de 1888.,"O, 28 Temmuz, 1888'de doğdu.",Він народився 28-го липня 1888-го року.
1207,6130,She is mad at me.,她跟我生气了。,Ze is boos op me.,Hän on vihainen minulle.,Elle est en colère contre moi.,Sie ist wütend auf mich.,היא כועסת עליי.,Mérges rám.,È arrabbiata con me.,彼女は私に怒っています。,Ona jest na mnie zła.,Она на меня злится.,Ella está enfadada conmigo.,O bana deli oluyor.,Вона на мене сердиться.
1249,9905,You can rely on him.,你可以依靠他。,Op hem kan je rekenen.,Voit luottaa häneen.,On peut lui faire confiance.,Du kannst dich auf ihn verlassen.,אפשר לסמוך עליו.,Rábízhatod magadat.,Ci si può fidare di lui.,彼に頼っておけばいい。,Możesz na nim polegać.,Ты можешь положиться на него.,Puedes confiar en él.,Ona güvenebilirsiniz.,Ти можешь на нього покластися.
1260,13335,Did you meet her?,你碰见过她了吗？,Heb je haar ontmoet?,Tapasitko hänet?,Tu l'as rencontrée ?,Haben Sie sie getroffen?,האם פגשת אותה?,Találkoztál vele?,L'hai incontrata?,君は彼女に会ったのかい。,Poznałeś ją?,Ты встретил её?,¿Te encontraste con ella?,Onunla buluştun mu?,Ти зустрів її?
1333,15859,Can you ride a horse?,您会骑马吗？,Kan jij paardrijden?,Osaatko ratsastaa?,Savez-vous monter à cheval ?,Kannst du reiten?,אתה יכול לרכוב על סוס?,Tudsz lovagolni?,Sai andare a cavallo?,馬に乗ることができますか？,Umiesz jeździć konno?,Вы умеете ездить на лошади?,¿Sabes montar a caballo?,Ata binebilir misin?,Ти вмієш їздити верхи?
1354,15882,Do you live here?,你住這裡嗎?,Woon je hier?,Asutko täällä?,Vivez-vous ici ?,Leben Sie hier?,אתה גר כאן?,Itt élsz?,Vivi qui?,君は当地に住んでいるのか。,Mieszkasz tutaj?,Вы здесь живете?,¿Habitas aquí?,Burada mı yaşıyorsun?,Ти живеш тут?
1376,15904,Who are you waiting for?,你在等誰?,Op wie wacht je?,Ketä sinä odotat?,Qui attendez-vous ?,Auf wen wartest du?,למי אתה מחכה?,Kire vártok?,Chi stai aspettando?,誰を待ってるの？,Na kogo ty czekasz?,Кого ты ждешь?,¿A quién esperas?,Kimi bekliyorsun?,Кого ти чекаєш?
1384,15913,I'm proud of you.,我以你為榮。,Ik ben trots op je.,Olen ylpeä sinusta.,Je suis fier de toi.,Ich bin stolz auf dich.,אני גאה בך.,Büszke vagyok rád.,Sono fiero di te.,お前のことを誇りに思うよ。,Jestem z ciebie dumny.,Я тобой горжусь.,Estoy orgulloso de ti.,Seninle gurur duyuyorum.,Я пишаюся тобою.
1389,15918,You look bored.,你看起來很無聊。,Ge ziet er verveeld uit.,Näytät ikävystyneeltä.,Tu as l'air de t'ennuyer.,Du siehst gelangweilt aus.,אתה נראה משועמם.,"Úgy látszik, hogy unatkozol.",Sembri annoiato.,君は退屈そうだ。,Wyglądasz na znudzonego.,Ты выглядишь скучающей.,Pareces aburrido.,Sıkılmış görünüyorsun.,"Схоже, тобі нудно."
1460,15993,You work hard.,你工作努力。,Je werkt hard.,Sinä teet kovasti töitä.,Tu travailles dur.,Ihr arbeitet schwer.,אתה עובד קשה.,Keményen dolgozol.,Lavori duramente.,君は商売熱心だね。,Ciężko pracujesz.,Ты много работаешь.,Trabajas duro.,Çok çalışıyorsun.,Ти важко працюєш.
1477,16010,Are you writing a letter?,你在写信吗？,Schrijft ge een brief?,Kirjoitatko kirjettä?,Es-tu en train d'écrire une lettre ?,Schreibst du einen Brief?,האם אתה כותב מכתב?,Levelet írsz?,Stai scrivendo una lettera?,手紙を書いていますか。,Piszesz list?,Вы пишете письмо?,¿Estás escribiendo una carta?,Bir mektup yazıyor musunuz?,Ти пишеш листа?
1487,16020,Can you drive a car?,你會駕車嗎？,Kunt u autorijden?,Osaatko ajaa autoa?,Est-ce que tu sais conduire ?,Kannst du Auto fahren?,אתה יכול לנהוג במכונית?,Tudsz autót vezetni?,Sai guidare una macchina?,車の運転は出来ますか？,Czy potrafisz kierować autem?,Ты умеешь водить машину?,¿Puedes conducir un auto?,Bir araba sürebilir misin?,Ти вмієш водити машину?
1490,16023,You should apologize.,你應該道歉。,Jullie zouden om verontschuldiging moeten vragen.,Sinun pitäisi pyytää anteeksi.,Tu devrais t'excuser.,Du solltest dich entschuldigen.,אתה חייב להתנצל.,Bocsánatot kellene kérned.,Dovresti scusarti.,君は謝罪すべきだ。,Powinieneś prosić o przebaczenie.,Ты должен извиниться.,Deberías pedir disculpas.,Özür dilemelisin.,Тобі слід вибачитися.
1580,16117,Why were you absent yesterday?,你昨天為甚麼缺席？,Waarom was je gisteren afwezig?,Miksi olit poissa eilen?,Pourquoi étiez-vous absent hier ?,Warum warst du gestern nicht da?,למה נעדרת אתמול?,Miért hiányoztál tegnap?,Perché eravate assente ieri?,昨日はなぜ休んだのですか。,Dlaczego wczoraj byłeś nieobecny?,Почему тебя вчера не было?,¿Por qué te ausentaste ayer?,Dün neden yoktun?,Чому тебе вчора не було?
1584,16122,You must do your best.,你必须做到最好。,Ge moet uw best doen.,Sinun täytyy tehdä parhaasi.,Vous devez faire de votre mieux.,Du musst dein Bestes geben.,אתה חייב לעשות כמיטב יכולתך.,A legjobbat kell adnod.,Devi fare del tuo meglio.,君は最善をつくさなければならない。,Musisz dać z siebie wszystko.,Ты должен постараться.,Debes dar lo mejor.,Elinizden geleni yapmalısınız.,"Ти маєш робити все, що в твоїх силах."
1591,16130,You look pale today.,你今天看上去很苍白。,Ge ziet er bleek uit vandaag.,Näytät kalpealta tänään.,Tu as l'air pâle aujourd'hui.,Du siehst heute blass aus.,אתה נראה חיוור היום.,Ma sápadtnak látszol.,Sembri pallido oggi.,今日、顔色が悪いよ。,Blado dziś wyglądasz.,Сегодня ты выглядишь бледным.,Hoy estás un poco paliducho.,Bugün solgun görünüyorsun.,Ти сьогодні блідий.
1614,16159,You have to go.,你們得走了。,Je moet gaan.,Sinun täytyy mennä.,Il faut que tu t'en ailles.,Du musst gehen.,עליך ללכת.,Menned kell.,Devi andare.,君は行かねばならない。,Musisz iść.,Ты должен идти.,Tienes que ir.,Gitmek zorundasın.,Ти маєш йти.
1616,16161,You'd better not go.,你最好不要去。,Je kunt beter niet naar.,Sinun on parempi jättää menemättä.,Tu ferais mieux de ne pas y aller.,Du gehst besser nicht.,עדיף שלא תלך.,"Jobb, ha nem mész.",Faresti meglio a non andare.,君は行かないほうがよい。,Lepiej nie idź.,Тебе бы лучше не ходить.,Sería mejor que no vayas.,Gitmesen iyi olur.,Тобі краще не ходити.
1619,16164,Are you happy?,你快樂嗎？,Ben je gelukkig?,Oletko onnellinen?,Êtes-vous contents ?,Bist du glücklich?,האם אתה מאושר?,Boldog vagy?,Sei felice?,幸せですか？,Czy jesteś szczęśliwy?,Ты счастлива?,¿Estás feliz?,Mutlu musun?,Ти щасливий?
1670,16216,You broke the rule.,你坏了规矩。,Je hebt de regel gebroken.,Sinä rikoit sääntöä.,Tu as enfreint la règle.,Du hast die Regel gebrochen.,אתה הפרת את החוק.,Megszegted a szabályt.,Hai infranto la regola.,君は規則を破った。,Złamałeś zasadę.,Ты нарушил правило.,Rompiste la regla.,Kuralı bozdun.,Ти порушив правило.
1678,16224,You look pale.,你看起來很蒼白。,Je ziet er bleek uit.,Näytät kalpealta.,Tu as l'air pâle.,Du siehst blass aus.,אתה נראה חיוור.,Sápadtnak tűnsz.,Sembri pallido.,顔色が悪いですよ。,Jesteś blady.,Ты выглядишь бледно.,Te ves pálido.,Solgun görünüyorsun.,Ти блідий.
1699,16246,Will you stay at home?,你会待在家吗？,Zult ge thuis blijven?,Aiotko jäädä kotiin?,Tu restes à la maison ?,Wirst du zu Hause bleiben?,תשאר בבית?,Otthon fogsz maradni?,Rimarrai a casa?,君は家にいますか。,Zostaniesz w domu?,Ты останешься дома?,¿Te vas a quedar en casa?,Evde kalacak mısın?,Ти залишишся вдома?
1708,16255,What are you looking for?,你们在找什么？,Waar bent u naar op zoek?,Mitä sinä etsit?,Que cherches-tu ?,Wonach suchen Sie?,מה אתה מחפש?,Mit kerestek?,Cosa stai cercando?,何を探しているんですか？,Czego szukasz?,Что вы ищете?,¿Qué estás buscando?,Ne arıyorsunuz?,Що ви шукаєте?
1709,16256,What are you looking at?,你在看什麼？,Waar kijk je naar?,Mitä sinä katsot?,Que regardes-tu ?,Was siehst du dir an?,על מה אתה מסתכל?,Mit nézel?,Cosa stai guardando?,何を見てるの？,Na co patrzysz?,На что ты смотришь?,¿Qué estás mirando?,Neye bakıyorsun?,На що ти дивишся?
1711,16259,What do you intend to do?,你想做什麼?,Wat ben je van plan om te doen?,Mitä sinä aiot tehdä?,Qu'as-tu l'intention de faire ?,Was beabsichtigen Sie zu tun?,מה אתה מתכוון לעשות?,Mit szándékozol csinálni?,Cosa intendi fare?,君は何をするつもりなの。,Co zamierzasz zrobić?,Что Вы намереваетесь делать?,¿Qué intentas hacer?,Ne yapmaya niyet ediyorsun?,Що ти маєш намір робити?
1714,16263,What do you want to be?,您想成为什么？,Wat wil je worden?,Mitä sinä haluat olla?,Que veux-tu être ?,Was willst du werden?,מה אתה רוצה להיות?,Mi akarsz lenni?,Cosa vuoi essere?,君は何になりたいの。,Kim chcesz być?,Кем ты хочешь стать?,¿Qué quieres ser?,Ne olmak istiyorsun?,Ким ти хочеш стати?
1715,16265,What will you have?,你将拥有什么？,Wat ga je nemen?,Mitä sinä aiot ottaa?,Que choisis-tu ?,Was bekommst du?,מה תזמין?,Mit fogsz enni?,Cosa prenderai?,君は何にする？,Co będziesz miał?,Что у тебя будет?,¿Qué vas a llevar?,Ne istiyorsunuz?,Що в тебе буде?
1718,16268,What woke you up?,什麼吵醒你了?,Wat maakte je wakker?,Mikä herätti sinut?,Qu'est-ce qui t'a réveillé ?,Was hat dich geweckt?,מה העיר אותך?,Mi ébresztett föl?,Cosa ti ha svegliato?,何で目が覚めたの？,Co cię obudziło?,Что тебя разбудило?,¿Qué te ha despertado?,Seni ne uyandırdı?,Що тебе розбудило?
1731,16283,You dropped your pencil.,你把你的铅笔弄掉了。,Je hebt je potlood laten vallen.,Pudotit kynäsi.,Tu as fait tomber ton crayon.,Du hast deinen Bleistift fallen lassen.,הפלת את העיפרון שלך.,Leejtetted a ceruzádat.,Ti è caduta la matita.,あなたは自分の鉛筆を落とした。,Upuściłeś ołówek.,Ты уронил карандаш.,Se te ha caído el lápiz.,Kalemini düşürdün.,Ти впустив олівець.
1736,16289,Do you study English?,您学英语吗？,Studeert u Engels?,Opiskeletko englantia?,Étudies-tu l'anglais ?,Studierst du Anglistik?,אתה לומד אנגלית?,Tanulsz angolul?,Studi inglese?,君は英語を勉強しますか。,Uczysz się angielskiego?,Вы изучаете английский язык?,¿Estudias inglés?,İngilizce çalışır mısın?,Ти вивчаєш англійську?
1744,16300,Can you swim?,你會游泳嗎?,Kun je zwemmen?,Osaatko uida?,Sais-tu nager ?,Kannst du schwimmen?,את יכולה לשחות?,Tudsz úszni?,Sai nuotare?,君は泳げますか。,Umiesz pływać?,Ты умеешь плавать?,¿Sabes nadar?,Sen yüzebiliyor musun?,Ви вмієте плавати?
1859,16428,Can you speak French?,你会说法语吗？,Kunt u Frans spreken?,Osaatko ranskaa?,Parlez-vous français ?,Kannst du Französisch sprechen?,אתה יודע צרפתית?,Tudsz franciául?,Sai parlare in francese?,君はフランス語が話せますか。,Czy umiesz mówić po francusku?,Вы говорите по-французски?,¿Sabes hablar francés?,Fransızca konuşur musun?,Ви говорите французькою?
1877,16449,Do you want anything?,你想要什麼嗎？,Wil je iets?,Haluatko sinä mitään?,Tu veux quelque chose ?,Willst du irgendetwas?,את רוצה משהו?,Akarsz valamit?,Vuoi qualcosa?,君は何かほしいですか。,Czy potrzebujesz czegoś?,Хочешь чего-нибудь?,¿Quieres alguna cosa?,Bir şey istiyor musunuz?,Хочеш чогось?
1899,16475,You look very tired.,你看上去非常累。,Je ziet er erg moe uit.,Näytät hyvin väsyneeltä.,Vous avez l'air très fatigué.,Du siehst sehr müde aus.,אתה נראה עייף מאוד.,Nagyon fáradtnak tűnsz.,Sembri molto stanco.,とても疲れているように見えます。,Wyglądasz na bardzo zmęczonego.,Ты выглядишь очень усталой.,Pareces muy cansado.,Çok yorgun görünüyorsun.,Ти виглядаєш дуже втомленим.
1912,16491,How about you?,你呢？,En jij?,Entä sinä?,Et vous ?,Was ist mit dir?,מה איתך?,Hogy vagy?,E tu?,君はどうだい？,A co z tobą?,А ты?,¿Qué hay de ti?,Peki ya sen?,А ти?
1913,16492,What are you doing?,你在干什麼啊？,Wat doe je?,Mitäs puuhaat?,Qu'est-ce que tu fais ?,Was machst du?,מה אתה עושה?,Mit csinálsz?,Che stai facendo?,何してるの？,Co robisz?,Что ты делаешь?,¿Qué estás haciendo?,Ne yapıyorsun?,Що ти робиш?
1941,16525,You have many books.,您有很多书。,U heeft veel boeken.,Sinulla on monta kirjaa.,Tu as de nombreux livres.,Du hast viele Bücher.,יש לך הרבה ספרים.,Sok könyved van.,Hai molti libri.,君はたくさんの本を持っている。,Masz dużo książek.,У тебя много книг.,Tú tienes muchos libros.,Birçok kitabın var.,У тебе багато книг.
2001,16590,Did you watch the game?,你看了比賽嗎？,Had je de wedstrijd gezien?,Katsoitko pelin?,As-tu regardé le match ?,Hast du das Spiel gesehen?,האם צפית במשחק?,Láttad a meccset?,Hai guardato la partita?,その試合、見ました？,Czy oglądałeś ten mecz?,Ты смотрел эту игру?,¿Viste el partido?,Maçı izledin mi?,Ви бачили гру?
2116,16715,You can study here.,你們可以在這兒學習。,Je kunt hier studeren.,Voit opiskella täällä.,Tu peux étudier ici.,Du kannst hier lernen.,אתה יכול ללמוד כאן.,Itt tudsz tanulni.,Puoi studiare qui.,君はここで勉強できる。,Możesz tutaj studiować.,Ты можешь учиться здесь.,Puedes estudiar aquí.,Burada çalışabilirsin.,Можеш вчитися тут.
2144,16747,Aren't you happy?,你不快樂嗎?,Zijt ge niet gelukkig?,Etkö ole onnellinen?,N'êtes-vous pas heureux ?,Bist du nicht glücklich?,אתה לא מרוצה?,Nem vagy boldog?,Non sei felice?,君はうれしくないのかい？,Czy nie jesteś szczęśliwa?,Ты не счастлив?,¿No eres feliz?,Mutlu değil misin?,А ви не щасливі?
2168,16774,What time do you usually get up?,你通常幾點起床？,Hoe laat staat ge gewoonlijk op?,Mihin aikaan sinä yleensä heräät?,À quelle heure te lèves-tu d'habitude ?,Wann stehst du für gewöhnlich auf?,באיזו שעה אתה בדרך כלל קם?,Hány órakor szoktál felkelni?,A che ora ti svegli di solito?,いつも何時に起床しますか。,O której godzinie zwykle wstajesz?,В котором часу ты обычно просыпаешься?,¿A qué hora te sueles levantar?,Genellikle saat kaçta kalkarsın?,У котрій годині ти зазвичай встаєш?
2184,16792,You've given me good advice.,你給了我很好的建議。,Je hebt me goed advies gegeven.,Olet antanut minulle hyviä neuvoja.,Tu m'as fourni de bons conseils.,Du hast mich gut beraten.,נתת לי עצה טובה.,Jó tanácsot adtál nekem.,Mi hai dato dei buoni consigli.,君はいい助言をしてくれた。,Dałeś mi dobrą radę.,Вы дали мне хороший совет.,Me has dado un buen consejo.,Bana iyi öğüt verdin.,Ви дали мені добру пораду.
2311,16926,Your hair is too long.,你的頭髮太長了。,Jouw haar is te lang.,Tukkasi on liian pitkä.,Tes cheveux sont trop longs.,Ihre Haare sind zu lang.,השיער שלך ארוך מדי.,Túl hosszúra nőtt a hajad.,I tuoi capelli sono troppo lunghi.,君の髪は長すぎる。,Twoje włosy są za długie.,У тебя слишком длинные волосы.,Tu pelo está demasiado largo.,Saçınız çok uzun.,Твоє волосся задовге.
2328,16945,Compare your answer with Tom's.,比較你和湯姆的答案。,Vergelijk uw antwoord met dat van Tom.,Vertaa vastaustasi Tomin vastaukseen.,Compare ta réponse avec celle de Tom.,Vergleiche deine Antwort mit Toms.,תשווה את התשובה של עם התשובה של תום.,Hasonlítsd össze a válaszodat Toméval!,Confronta la tua risposta con quella di Tom.,君の答えをトムのと比較しなさい。,Porównaj twoją odpowiedź z odpowiedzią Toma.,Сравни свой ответ с ответом Тома.,Compara tu respuesta con la de Tom.,Cevabını Tom'unkiyle karşılaştır.,Порівняй свою відповідь з відповіддю Тома.
2331,16948,Your answer is right.,你的回答是正确的。,Uw antwoord is juist.,Vastauksesi on oikein.,Ta réponse est juste.,Deine Antwort ist korrekt.,תשובתך נכונה.,A feleleted helyes.,La tua risposta è giusta.,君の答えは合っています。,Twoja odpowiedź jest poprawna.,Ваш ответ — правильный.,Tu respuesta es correcta.,Cevabınız doğru.,Правильна відповідь.
2351,16969,May I use your phone?,可以借你的電話用用嗎？,Mag ik jouw telefoon gebruiken?,Saanko käyttää puhelintasi?,Puis-je utiliser votre téléphone ?,Darf ich Ihr Telefon benutzen?,אפשר להשתמש בטלפון שלך?,Használhatom a telefonodat?,Posso usare il tuo telefono?,電話を貸してもらえませんか。,Czy mogę użyć twojego telefonu?,Могу я воспользоваться твоим телефоном?,¿Puedo usar su teléfono?,Telefonunuzu kullanabilir miyim?,Можна скористатися вашим телефоном?
2375,16994,It's none of your business.,這不關你的事。,Dat zijn jouw zaken niet.,Se ei ole pätkääkään sinun asiasi.,Ce ne sont pas tes affaires.,Das geht Sie nichts an.,זה לא עניינך.,Ez nem a te dolgod.,Non sono affari tuoi.,いらぬお世話だ。,To nie twój interes.,Это тебя не касается.,No es asunto tuyo.,Seni ilgilendirmez.,Це не твоя справа.
2376,16996,Mind your own business!,管好你自己的事吧。,Bemoei je met je eigen zaken!,Huolehdi omista asioistasi!,Mêle-toi de tes affaires.,Kümmere dich um deine eigenen Angelegenheiten!,אל תתערב במה שלא עניינך!,Törődj a magad dolgával!,Fatti gli affari tuoi!,大きなお世話だ。,Nie mieszaj się do nieswoich spraw!,Не суй свой нос куда не надо!,¡Métete en tus asuntos!,Seni ilgilendirmez.,Не твоя справа!
2392,17013,Go back to your seat.,回到你的座位。,Ga terug naar je stoel.,Mene takaisin paikallesi.,Regagnez votre place.,Geh zurück auf deinen Platz.,חזור לכיסא שלך.,Menj vissza a helyedre!,Torna al tuo posto.,席にもどりなさい。,Wracaj na swoje miejsce.,Вернитесь на своё место.,Vuelve a tu sitio.,Koltuğunuza geri dönün.,Поверніться на своє місце.
2440,17065,Write your address here.,在這裡寫下你的地址。,Schrijf hier je adres.,Kirjoita osoitteesi tähän.,Écrivez votre adresse ici.,Schreibe deine Adresse hier auf.,כתוב כאן את כתובתך.,Írd ide a címedet.,Scrivi il tuo indirizzo qui.,君の住所をここにお書きなさい。,Napisz tutaj swój adres.,Напишите свой адрес вот здесь.,Escriba aquí su dirección.,Adresini buraya yaz.,Напиши тут свою адресу.
