,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
2447,17073,I received your letter yesterday.,Ik heb gisteren je brief gekregen. | Ik heb gisteren uw brief gekregen.,Sain kirjeesi eilen.,J'ai reçu votre lettre hier. | J'ai reçu ta lettre hier.,Ich habe deinen Brief gestern erhalten. | Ich habe gestern deinen Brief bekommen.,קיבלתי את מכתבך אתמול.,Tegnap kaptam meg a leveledet. | Tegnap kézhez kaptam a leveled. | Megkaptam tegnap a leveledet.,Ho ricevuto la tua lettera ieri. | Ho ricevuto la vostra lettera ieri. | Ho ricevuto la sua lettera ieri.,手紙を昨日受け取りました。 | 昨日、あなたからの手紙を受け取りました。 | そちらからの手紙は昨日届きました。,我昨天收到了你的信。,Otrzymałem pański list wczoraj.,Recebi sua carta ontem. | Recebi tua carta ontem. | Eu recebi a sua carta ontem.,Я получил вчера твоё письмо. | Я получил ваше письмо вчера. | Я получила ваше письмо вчера. | Я получил твоё письмо вчера. | Я получила твоё письмо вчера.,Recibí tu carta ayer. | Recibí su carta ayer. | Ayer recibí su carta. | Ayer recibí tu carta.,Mektubunu dün aldım.,Я отримав твого листа вчора. | Я отримала твого листа вчора. | Я отримав вашого листа вчора. | Я отримала вашого листа вчора. | Я вчора отримав твого листа.
2450,17076,Are your hands clean?,Zijn jullie handen schoon?,Ovatko kätesi puhtaat? | Ovatko teidän kätenne puhtaat?,Tes mains sont-elles propres ? | Vos mains sont-elles propres ?,Sind deine Hände sauber? | Sind eure Hände sauber?,האם ידיך נקיות? | ידיך נקיות? | הידיים שלך נקיות?,Tiszták a kezeid? | Tiszta a kezed?,Le tue mani sono pulite? | Le sue mani sono pulite? | Le vostre mani sono pulite?,君の手は清潔ですか。,你的手乾淨嗎?,Masz czyste ręce?,As suas mãos estão limpas? | Tuas mãos estão limpas? | Suas mãos estão limpas?,У тебя чистые руки? | У вас чистые руки? | Твои руки чистые? | Ваши руки чистые? | У тебя руки чистые? | У вас руки чистые?,¿Tienes las manos limpias? | ¿Tenéis las manos limpias?,Ellerin temiz mi?,У тебе чисті руки? | В тебе чисті руки? | У вас чисті руки?
2472,17101,Your bicycle is similar to mine.,Jouw fiets lijkt op die van mij.,Pyöräsi on samantapainen kuin minun.,Votre vélo est similaire au mien. | Ton vélo est similaire au mien.,Dein Fahrrad ist so ähnlich wie meins.,האפניים שלך דומים לשלי. | האופניים שלך דומים לשלי.,A kerékpárod hasonlít az enyémre. | A kerékpárja hasonlít az enyémre.,La tua bicicletta è simile alla mia. | La sua bicicletta è simile alla mia. | La vostra bicicletta è simile alla mia.,君の自転車は私のと似ている。 | お前の自転車って、俺のと似てるんだよ。,你的腳踏車和我的很相似。,Twój rower podobny jest do mojego.,Sua bicicleta é parecida com a minha. | Tua bicicleta é parecida com a minha.,"У тебя такой же велосипед, как и у меня. | Твой велосипед похож на мой. | Ваш велосипед похож на мой.",Su bicicleta es similar a la mía.,Bisikletiniz benimkine benziyor.,"Твій велосипед такий самий, як і в мене. | Твій ровер схожий на мій. | Твій ровер такий самий, як мій."
2474,17103,Is your watch correct?,Loopt je horloge goed? | Loopt uw horloge juist?,Onko kellosi oikeassa?,Votre montre est-elle exacte ? | Ta montre est-elle exacte ?,Geht deine Uhr richtig?,האם השעון שלך מדויק?,Pontos az órád?,Il tuo orologio fa l'ora giusta? | Il suo orologio fa l'ora giusta? | Il vostro orologio fa l'ora giusta?,君の時計は合ってる？,你的手錶準不準？,Czy twój zegarek dobrze chodzi?,O seu relógio está correto? | Seu relógio está certo?,Ваши часы идут верно? | У тебя часы правильно идут? | Ваши часы идут правильно? | У тебя часы правильные?,¿Su reloj está a la hora? | ¿Está bien tu reloj?,Saatinizin doğru mudur?,Твій годинник іде правильно?
2480,17110,Where are your things?,Waar zijn jouw spullen? | Waar zijn uw spullen? | Waar zijn jullie spullen? | Waar zijn je spullen?,Missä sinun tavarasi ovat? | Missä sun kamat on?,Où sont tes affaires ? | Où sont vos affaires ?,Wo sind deine Sachen? | Wo sind Ihre Sachen?,איפה הדברים שלך?,Hol vannak a dolgaid? | Hol vannak a cuccaid?,Dove sono le tue cose? | Dove sono le sue cose? | Dove sono le vostre cose?,君の持ち物はどこにあるのですか。 | お前の物はどこ？,你的東西在哪裡? | 你們的東西在哪裡？ | 您的東西在哪裡？ | 你的東西在哪裡？,Gdzie są twoje rzeczy?,Onde estão suas coisas?,Где твои вещи? | Где ваши вещи? | А где твои вещи?,¿Dónde están vuestras cosas?,Şeylerin nerede?,Де твої речі? | Де ваші речі?
2516,17150,Where do you come from?,Waar kom je vandaan? | Waar komt u vandaan?,Mistä olet kotoisin? | Mistä sinä tulet? | Mistä te olette kotoisin? | Mistä tulet? | Mistä päin sinä tulet? | Mistä päin tulet?,Tu viens d'où ? | D'où viens-tu ? | D'où venez-vous ? | D'où es-tu ? | Vous venez d'où ? | D'où êtes-vous ? | Tu viens de quel endroit ? | De quel pays viens-tu ?,Woher kommst du? | Woher kommen Sie? | Wo kommen Sie her? | Wo kommst du her? | Woher kommt ihr?,מאין אתה בא? | מאין באת?,Ön honnan jött? | Hová valósi vagy?,Da dove vieni? | Tu da dove vieni? | Da dove viene? | Lei da dove viene? | Da dove venite? | Voi da dove venite?,御出身はどちらですか。 | 君の国はどこですか。 | どちらのご出身ですか？ | どこのご出身ですか。 | あなたは何処から来ましたか。 | ご出身はどちらですか。 | 出身はどちらですか。,你是哪儿人？ | 你是哪国家？ | 你是哪国人？,Skąd jesteś? | Skąd pochodzicie? | Skąd pochodzisz?,De onde vêm vocês? | De onde é você? | De onde são vocês? | Você é de onde?,Откуда вы? | Откуда ты?,¿De dónde eres? | ¿De dónde venís? | ¿De dónde viene? | ¿De dónde vienen?,Nerelisin? | Nerelisiniz?,Звідки ти? | Звідкиля ти? | Звідки ви?
2555,17190,Make your choice.,Maak je keuze. | Maak uw keuze. | Maak jullie keuze.,Tee valintasi.,Fais ton choix. | Faites votre choix.,Triff deine Wahl.,תבחר את הבחירה שלך.,Válasszon! | Válassz!,Fai la tua scelta. | Faccia la sua scelta. | Fate la vostra scelta.,君の好きなものを選びなさい。,做出您的選擇。,Wybierz.,Faça sua escolha. | Façam sua escolha.,Выбери что-нибудь. | Сделайте свой выбор. | Сделай свой выбор. | Делай свой выбор.,Haz tu elección. | Elige. | Escoge.,Seçimini yap. | Tercihinizi yapın.,Зроби свій вибір.
2562,17198,I know what you mean.,Ik weet wat je wilt zeggen. | Ik weet wat je bedoelt.,Tiedän mitä tarkoitat.,Je sais ce que tu veux dire. | Je sais ce que vous voulez dire.,"Ich weiß, was du meinst. | Ich weiß, was ihr meint. | Ich weiß, was Sie meinen. | Ich weiß, worauf du hinauswillst.",אני יודע מה כוונתך. | אני יודע למה אתה מתכוון. | אני יודעת למה אתה מתכוון. | אני יודעת למה את מתכוונת. | אני יודע למה את מתכוונת. | אני יודע מה רצית להביע.,"Tudom, mit akarsz mondani. | Tudom, hogy mire gondolsz. | Tudom, mire gondolsz.",So cosa intendi. | So cosa intende. | So cosa intendete.,分かる、分かる。 | 言いたいことは分かるよ。 | 言わんとすることはわかる。,我知道你的意思。 | 我懂你的意思。,"Wiem, co chciałeś wyrazić.",Eu sei o que você quer dizer.,"Я знаю, что ты имеешь в виду. | Я знаю, что вы имеете в виду.",Sé lo que quieres decir.,Ne demek istediğinizi biliyorum. | Neyi kastettiğini biliyorum.,"Я розумію, що ти маєш на увазі. | Я розумію, що ви маєте на увазі."
2643,17283,Where is your school?,Waar is je school?,Missä sinun koulusi on?,Où se trouve ton école ? | Où est ton école ?,Wo ist deine Schule? | Wo ist eure Schule? | Wo ist Ihre Schule?,איפה בית הספר שלך? | איפה נמצא בית הספר שלך?,Hol van az iskolád? | Merre van az iskolád? | Hol van az iskolátok?,Dov'è la tua scuola? | Dov'è la sua scuola? | Dov'è la vostra scuola?,君の学校はどこにありますか。 | あなたがたの学校はどこにありますか。 | あなたの学校はどこにありますか？ | あなたの学校はどこですか。,你的學校在哪裏？,Gdzie jest Twoja szkoła? | Gdzie jest twoja szkoła?,Onde fica sua escola? | Onde é a sua escola?,Где твоя школа? | Где находится ваша школа? | Где находится твоя школа? | Где находится Ваша школа?,¿Dónde está tu escuela?,Okulun nerede?,Де твоя школа? | Де ваша школа?
2703,17344,You're on the right track.,U bent op de goede weg. | Je zit op de goede weg. | Jullie zitten op de juiste weg. | U bent op het juiste spoor. | Je bent goed bezig.,Olet oikeilla jäljillä.,Tu es sur la bonne pente. | Vous êtes sur la bonne piste. | Tu es en bonne voie. | Vous êtes sur la bonne voie. | Vous êtes sur le bon chemin.,Du bist auf dem richtigen Weg.,אתה במסלול הנכון.,Jó úton vagy.,Sei sulla strada giusta. | Tu sei sulla strada giusta. | Siete sulla strada giusta. | Voi siete sulla strada giusta. | È sulla strada giusta. | Lei è sulla strada giusta.,君のやっていることは間違っていないよ。,你的想法是對的。 | 你在正確的軌道上。,Jesteś na dobrej drodze.,Você está no caminho certo.,Вы на верном пути. | Ты на верном пути. | Ты на правильном пути. | Вы на правильном пути.,Vas por buen camino.,Siz doğru yoldasınız.,Ти на вірному шляху. | Ви на вірному шляху. | Ти на правильному шляху. | Ви на правильному шляху.
2705,17347,Your time is up.,Je tijd is om. | Uw tijd is op.,Aikasi on loppu.,Votre temps est écoulé. | Ton temps est écoulé.,Deine Zeit ist um. | Ihre Zeit ist abgelaufen.,זמנך עבר. | נגמר לך הזמן.,Lejárt az időd. | Eljárt feletted az idő.,Il tuo tempo è scaduto. | Il suo tempo è scaduto. | Il vostro tempo è scaduto.,君のもち時間はもう終わりです。 | 時間切れです。,你的時間到了。,Twój czas się skończył.,Seu tempo acabou.,Твоё время вышло. | Твоё время истекло. | Ваше время истекло. | Ваше время вышло.,Se te acabó el tiempo. | Se os acabó el tiempo. | Se acabó tu tiempo.,Zamanın bitti.,Твій час вийшов. | Ваш час вийшов. | Твій час закінчився. | Ваш час кінчився.
2713,17355,Your pen is better than mine.,Uw pen is beter dan de mijne.,Sinun kynäsi on parempi kuin minun.,Ton stylo est meilleur que le mien. | Votre stylo est meilleur que le mien.,Dein Stift ist besser als meiner.,העט שלך טוב משלי.,"A tollad jobb, mint az enyém. | A te tollad jobb mint az enyém.",La tua penna è migliore della mia. | La tua biro è migliore della mia.,君のペンは僕のペンよりも上等です。 | お前のペン、俺のよりいいやつじゃん。 | そのペン、私のよりいいね。,你的笔比我的好。,Twój długopis jest lepszy od mojego. | Twoje pióro jest lepsze od mojego.,Sua caneta é melhor do que a minha.,"Твоя ручка лучше моей. | Твоя ручка лучше, чем моя. | Ваша ручка лучше моей.",Su pluma es mejor que la mía. | Tu bolígrafo es mejor que el mío.,Senin dolma kalemin benimkinden iyidir.,"Твоя ручка краща, ніж моя. | Твоя ручка краща від моєї."
2715,17357,Your plan sounds great.,Uw plan klinkt uitstekend. | Jouw plan klinkt uitstekend.,Suunnitelmasi kuulostaa hienolta.,Votre plan semble excellent. | Ton plan semble excellent.,Dein Plan hört sich toll an.,התוכנית שלך נראית מצוינת. | התכנית שלך נשמעת נהדר.,A terved kitűnően hangzik.,Il tuo piano sembra ottimo. | Il vostro piano sembra ottimo.,君のプランは素晴らしい。,你的計劃聽起來很不錯。,Twój plan brzmi wspaniale.,Seu plano parece ser bom. | O teu plano parece ótimo.,Твой план звучит здорово. | Ваш план звучит здорово.,Tu plan suena genial.,Planın muhteşem görünüyor.,Твій план звучить чудово. | Ваш план звучить чудово.
2749,17395,Your cake is delicious.,Je taart is heerlijk.,Kakkusi on tosi hyvää. | Sun kakkus on tosi hyvää.,Ton gâteau est délicieux. | Votre gâteau est délicieux.,Dein Kuchen schmeckt gut. | Ihr Kuchen schmeckt gut.,העוגה שלך ממש מעדן. | העוגה שלך טעימה.,A süteményed felséges. | A tortád felséges. | A kalácsod felséges. | A süteménye remek. | A tortája remek. | A kalácsa remek. | A süteménye pompás. | A tortája pompás. | A kalácsa pompás.,La tua torta è deliziosa. | La sua torta è deliziosa. | La vostra torta è deliziosa.,君のケーキはおいしいね。 | 君のケーキはおいしい。,您的蛋糕很美味。 | 你的蛋糕很美味。,Twoje ciasto jest pyszne.,Seu bolo é delicioso. | Seu bolo está delicioso.,Ваш торт вкусный.,Tu tarta está deliciosa. | Vuestra tarta está deliciosa. | Tu pastel está delicioso.,Kek'in lezzetli.,Твій торт смачний. | Ваш торт смачний.
2754,17400,Here is your bag.,Hier is jouw tas.,Tässä on laukkusi.,Ton sac est ici. | Voici ton sac. | Voilà ton sac. | Voici ton sac !,Deine Tasche ist hier. | Hier ist Ihre Tasche. | Hier ist deine Tasche! | Hier ist deine Tasche.,הנה התיק שלך.,"Itt a táskád! | Itt van a táskád. | Íme a táskád! | Tessék, a táskád.",Ecco la tua borsa. | Ecco la sua borsa. | Ecco la vostra borsa.,君のかばんはここにあるよ。,你的袋子在這裡。,Tutaj jest twoja torba.,Aqui está a sua mala. | Aqui está a sua bolsa.,Вот твоя сумка. | Вот Ваша сумка.,Aquí está tu bolsa.,İşte senin çantan.,Ось твоя сумка.
2774,17421,I believe you.,Ik geloof je.,Minä uskon sinua. | Uskon sinua.,Je te crois. | Je vous crois.,Ich glaube euch. | Ich glaube Ihnen. | Ich glaube dir.,אני מאמין לך. | אני מאמינה לך.,Hiszek neked.,Ti credo. | Io ti credo. | Vi credo. | Io vi credo. | Le credo. | Io le credo.,僕は君を信じる。 | 僕は君の言葉を信じる。 | 君の言うことを信じている。 | 君の言うことを信じるよ。,我相信你。,Wierzę ci.,Eu acredito em você. | Acredito em você. | Eu acredito em vocês.,Я вам верю. | Я тебе верю. | Я Вам верю. | Я верю тебе.,Te creo. | Les creo.,Sana inanıyorum. | Size inanıyorum.,Я вірю тобі. | Я вам вірю. | Я тобі вірю.
2776,17423,I don't agree with you.,Ik ben het niet met u eens. | Ik ben het niet met jou eens.,En ole samaa mieltä kanssasi.,Je ne suis pas d'accord avec toi. | Je ne suis pas d'accord avec vous. | Je ne suis pas de ton avis.,Ich bin nicht Ihrer Meinung. | Ich bin nicht deiner Meinung. | Ich bin nicht eurer Meinung. | Ich bin mit dir nicht einverstanden. | Ich stimme dir nicht zu.,אני לא מסכים אתך. | אני לא מסכימה אתך.,Nem értek veled egyet. | Nem értek önnel egyet. | Nem értek veletek egyet. | Nem értek egyet önökkel.,Non sono d'accordo con te. | Non sono d'accordo con voi. | Non sono d'accordo con Lei. | Io non sono d'accordo con te. | Io non sono d'accordo con voi. | Non sono d'accordo con lei. | Io non sono d'accordo con lei.,賛成はできません。 | 君のいうことに同意できない。 | 私はあなたに同意できない。 | 納得いかないな。,我不同意你的看法。,Nie zgadzam się z tobą.,Não estou de acordo com você. | Não estou de acordo contigo. | Não concordo com você.,Я не согласен с тобой. | Я с тобой не согласна. | Я не согласна с тобой. | Я с Вами не согласен. | Я с тобой не согласен. | Я с вами не согласен.,No estoy de acuerdo contigo.,Sizinle aynı fikirde değilim. | Sana katılmıyorum. | Size katılmıyorum. | Sizinle aynı görüşte değilim.,Я не згодний з тобою. | Я не згодна з тобою. | Я не згодна з вами. | Я не згодний з вами.
2880,17534,You deserve the prize.,Jij verdient de prijs. | U verdient de prijs. | Jullie verdienen de prijs.,Ansaitset palkinnon.,Tu mérites le prix. | Vous méritez le prix.,Du verdienst den Preis.,מגיע לך הפרס. | אתה ראוי לפרס. | הפרס מגיע לך. | הרווחת את הפרס ביושר. | אתה ראוי לַפּרָס.,Megérdemled a díjat. | Te érdemled meg a díjat. | Neked jár a díj. | Te érdemelted ki a díjat.,Ti meriti il premio. | Tu ti meriti il premio. | Vi meritate il premio. | Voi vi meritate il premio. | Si merita il premio. | Lei si merita il premio. | Te lo meriti il premio. | Tu te lo meriti il premio. | Se lo merita il premio. | Lei se lo merita il premio. | Ve lo meritate il premio. | Voi ve lo meritate il premio.,君にはその賞を取るに値する。,你應該得到這個獎金。,Zasługujesz na nagrodę.,Você merece o prêmio.,Ты заслуживаешь этой награды. | Ты заслуживаешь этот приз. | Вы заслуживаете этой награды.,Te mereces el premio. | Os merecéis el premio.,Ödülü hak ediyorsun.,Ти заслуговуєш на приз. | Ви заслуговуєте на приз.
2884,17538,Green suits you.,Groen staat je goed.,Vihreä sopii sinulle.,Le vert te va bien. | Le vert vous sied bien.,Grün steht dir. | Grün steht euch. | Grün steht Ihnen.,הצבע הירוק הולם אותך. | ירוק הולם אותך.,A zöld illik hozzád. | Megy hozzád a zöld. | A zöld szín illik önhöz.,Il verde ti sta bene. | Il verde ti dona. | Il verde vi sta bene. | Il verde le sta bene. | Il verde vi dona. | Il verde le dona.,君にはグリーンが似合う。,綠色適合你。,Zielony ci pasuje.,Você fica bem de verde. | O verde fica-te bem. | O verde fica-vos bem.,Зеленый тебе идет. | Вам зелёный идёт.,El verde te queda.,Yeşil size uyar. | Yeşil size uyuyor.,Зелене тобі пасує. | Зелене вам пасує.
3032,17707,I want you.,Ik wil jou.,Minä haluan sinut. | Minä haluan sinua.,Je te veux. | J'ai envie de toi. | Je te veux ! | Je vous veux !,Ich will dich. | Ich will dich!,אני רוצה אותך. | אני רוצה אתכם.,Akarlak téged! | Akarlak.,Ti voglio. | Voglio voi. | Voglio te. | Voglio lei.,君が欲しい。,我想要你。,Chcę ciebie.,Eu te quero. | Quero-te. | Eu a quero. | Eu o quero.,Я хочу тебя.,Yo te deseo.,Seni istiyorum. | Sizi istiyorum.,Я хочу тебе. | Я бажаю тебе. | Я потребую тебе.
3055,17735,I need you.,Ik heb u nodig. | Ik heb je nodig. | Ik heb jullie nodig.,Minä tarvitsen sinua. | Tarvitsen sinua.,J'ai besoin de toi. | J'ai besoin de vous.,Ich brauche dich. | Ich brauche Sie. | Ich brauche euch.,אני זקוק לך. | אני זקוקה לך. | אני צריך אותך. | אני צריכה אותך.,Szükségem van rád. | Szükségem van önre. | Szükségem van rátok. | Szükségem van önökre. | Kellesz nekem. | Kelletek nekem. | Nekem ön kell. | Kellesz. | Kellesz nekem! | Kelletek.,Ho bisogno di voi. | Ho bisogno di te. | Ho bisogno di lei. | Io ho bisogno di te. | Io ho bisogno di voi. | Io ho bisogno di lei.,君が必要だ。 | あなたが必要なんです。,我需要你。,Potrzebuję cię.,Eu preciso de você. | Eu preciso de vocês. | Eu preciso de ti. | Preciso de você. | Preciso de ti.,Ты нужна мне. | Ты мне нужен. | Ты мне нужна. | Вы мне нужны. | Ты нужен мне. | Вы нужны мне.,Te necesito.,Sana ihtiyacım var.,Ти потрібна мені. | Ти мені потрібна. | Ти потрібен мені.
3082,17764,Show me what you bought.,Laat zien wat ge gekocht hebt. | Laat me zien wat je gekocht hebt.,Näytä minulle mitä ostit.,Montre-moi ce que tu as acheté. | Montrez-moi ce que vous avez acheté. | Montre ce que tu as acheté.,"Zeig mir, was du gekauft hast.",הראה לי מה קנית.,"Mutasd, mit vettél! | Hadd lássam, mit vettél!",Mostrami quello che hai comprato. | Mi mostri quello che ha comprato. | Mostratemi quello che avete comprato.,君が買った物を見せなさい。 | 買ったもの見せて。,让我看一下你买的东西。,"Pokaż mi, co kupiłeś. | Pokaż mi, co kupiłaś. | Pokażcie mi, co kupiliście. | Pokażcie mi, co kupiłyście.",Mostre para mim o que você comprou.,"Покажи мне, что ты купил. | Покажите мне, что вы купили. | Покажи мне, что ты купила. | Покажи, что ты купил.",Enséñame lo que compraste.,Bana ne aldığını göster.,"Покажи мені, що ти купив. | Покажи мені, що ти купила. | Покажи мені, що ви купили. | Покажи, що ти купила. | Покажи, що ви купили. | Покажи, що ти купив. | Покажіть мені, що ви купили."
3110,17795,I guess you are right.,Ik vermoed dat je gelijk hebt.,"Luulen, että olet oikeassa.",Je suppose que tu as raison. | Je suppose que vous avez raison.,"Ich vermute, dass ihr Recht habt. | Ich vermute, dass Sie Recht haben. | Ich vermute, dass du Recht hast.",אני משער שאתה צודק. | אני משערת שאתה צודק.,"Feltételezem, hogy igaza van.",Suppongo che abbiate ragione. | Suppongo che tu abbia ragione.,君が正しいと思うよ。,我猜你是對的。,"Zdaje się, że masz rację.",Acho que você está certo. | Acho que você está certa. | Imagino que você esteja certo. | Acho que você tem razão. | Acho que vocês estão certos. | Imagino que vocês estejam certos.,"Пожалуй, ты прав. | Пожалуй, вы правы.",Supongo que tienes razón.,Haklısınız sanırım. | Sanırım haklısınız.,"Думаю, ти маєш рацію. | Думаю, ви маєте рацію."
3143,17829,I love you more than you love me.,Ik hou meer van jou dan jij van mij.,Minä rakastan sinua enemmän kuin sinä minua.,Je t'aime plus que tu ne m'aimes.,"Ich liebe dich mehr als du mich. | Ich liebe dich mehr, als du mich liebst.",אני אוהב אותך יותר משאתה אוהב אותי. | אני אוהב אותך יותר משאת אוהבת אותי. | אני אוהבת אותך יותר משאת אוהבת אותי.,"Jobban szeretlek, mint te engem.",Ti amo di più di quanto mi ami.,君が私を愛している以上に私は君を愛している。 | 君が私を愛しているよりもおおく私は君を愛している。,我爱你胜过你爱我。 | 我愛你多於你愛我。,Kocham cię bardziej niż ty mnie.,Eu te amo mais do que tu me amas.,"Я люблю тебя больше, чем ты меня.",Yo te amo más de lo que tú me amas a mí. | Te quiero más que tú a mí.,Ben seni senin beni sevdiğinden daha çok seviyorum.,"Я кохаю тебе більше, ніж ти мене."
3185,17881,I know you are rich.,Ik weet dat je rijk bent. | Ik weet dat ge rijk zijt. | Ik weet dat jullie rijk zijn. | Ik weet dat u rijk bent.,Tiedän että olet rikas.,Je sais que vous êtes riche. | Je sais que tu es riche.,"Ich weiß, dass du reich bist. | Ich weiß, dass Sie reich sind. | Ich weiß, dass ihr reich seid.",אני יודע שאתה עשיר. | אני יודעת שאתה עשיר. | אני יודע שאת עשירה. | אני יודעת שאת עשירה.,"Tudom, hogy gazdag vagy.",So che sei ricco. | So che sei ricca. | So che è ricco. | So che è ricca. | So che siete ricchi. | So che siete ricche.,君が金持ちなのは知っているよ。 | 君が金持ちなのは知ってるよ。,我知道你很有钱。,"Wiem, że jesteś bogaty.",Eu sei que você é rico.,"Я знаю, что Вы богаты. | Я знаю, что вы богаты. | Я знаю, что ты богата. | Я знаю, что ты богат. | Я знаю, что ты богатая. | Я знаю, что ты богатый.",Sé que eres rico. | Sé que eres rica.,Zengin olduğunu biliyorum. | Ben sizin zengin olduğunuzu biliyorum.,"Я знаю, що ти багатий."
3310,18017,I don't blame you.,Ik verwijt u dat niet.,En syytä siitä sinua. | En syytä sinua.,Je ne te le reproche pas. | Je ne vous le reproche pas.,Ich gebe dir keine Schuld. | Ich werfe es Ihnen nicht vor. | Ich nehme es dir nicht übel.,אינני מאשימה אותך. | אינני מאשים אותך. | אינני מאשימה אתכם.,Nem vádollak. | Nem hibáztatlak.,Non ti incolpo. | Io non ti incolpo. | Non vi incolpo. | Io non vi incolpo. | Non la incolpo. | Io non la incolpo.,君がそうするのは当然だ。 | しょうがないよ。 | 無理もないよ。,我不怪你。,Nie winię ciebie. | Nie winię was. | Nie winię cię.,Eu não te culpo.,Я тебя не виню. | Я вас не виню. | Я тебя не обвиняю. | Я вас не обвиняю.,No te culpo. | No os culpo. | No se lo reprocho. | No os lo reprocho.,Seni suçlamıyorum. | Sizi suçlamıyorum.,Я тебе не звинувачую.
3361,18073,You don't understand.,Je begrijpt het niet. | U begrijpt het niet. | Jullie begrijpen het niet.,Sinä et ymmärrä.,Tu ne comprends pas. | Vous ne comprenez pas.,Sie verstehen nicht. | Du verstehst nicht.,אתה לא מבין.,Nem érted.,Non capisci. | Tu non capisci. | Non capisce. | Lei non capisce. | Non capite. | Voi non capite.,君、わかってないね。,你不了解。 | 你不懂。 | 你不明白。,Ty nie rozumiesz.,Você não entende. | Você não está compreendendo. | Vocês não estão entendendo.,Ты не понимаешь. | Вы не понимаете.,No lo entiendes. | No entiende.,Anlamıyorsun.,Ти не розумієш. | Ви не розумієте.
3552,18278,The sky is full of stars.,De hemel is bezaaid met sterren.,Taivas on täynnä tähtiä.,Le ciel est rempli d'étoiles. | Le ciel est plein d'étoiles.,Der Himmel ist voll mit Sternen. | Der Himmel ist voller Sterne.,השמיים מלאים כוכבים.,Az ég teli van csillagokkal. | Az ég tele van csillagokkal.,Il cielo è pieno di stelle.,空は星でいっぱいだ。 | 満天の星だ。,天空中繁星点点。 | 天空布满星辰。,Niebo pełne jest gwiazd.,O céu está estrelado. | O céu está cheio de estrelas.,На небе полно звёзд. | Небо полно звёзд.,El cielo está lleno de estrellas.,Gökyüzü yıldızlarla dolu.,Небо повне зірок.
3619,18356,Stop grumbling.,Hou op met morren.,Lopeta marmatus.,Arrête de râler. | Arrête de ronchonner.,Hör auf zu murren.,תפסיק לקטר. | תפסיק להתלונן. | תפסיק לרטון.,Fejezd be a nyavalygást! | Ne morogj már! | Hagyd már abba a morgolódást!,Smettetela di lamentarvi. | La smetta di lamentarsi. | Smettila di lamentarti.,愚痴はやめろよ。,停止发牢骚吧。,Przestań narzekać.,Pare de resmungar. | Parem de resmungar. | Para de resmungar. | Para de refilar. | Parem de refilar. | Pare com suas reclamações.,Перестань ворчать. | Хватит ворчать. | Прекрати ворчать.,Deja de refunfuñar. | Deja de quejarte.,Homurdanmayı bırak.,Припини бурчати. | Припиніть бурчати.
3758,18505,Money is the root of all evil.,Geld is de wortel van alle kwaad.,Raha on kaiken pahan alku ja juuri.,L'argent est la racine de tous les maux.,Geld ist der Ursprung allen Übels. | Geld ist die Wurzel allen Übels.,הכסף הוא שורש כל רע.,A pénz minden rossz gyökere.,Il denaro è la radice di tutti i mali.,金銭はすべてのあくの根である。 | 金は諸悪の根源。,金錢是一切罪惡之源。,Pieniądze to źródło wszelkiego zła. | pieniądz to źródło wszelkiego zła.,O dinheiro é a raiz de todos os males.,Деньги — корень зла. | Деньги - корень всех зол.,El dinero es la raíz de todos los males.,Para tüm kötülüklerin köküdür. | Para bütün kötülüğün köküdür. | Para tüm kötülüklerin anasıdır.,Гроші — корінь зла.
3781,18531,I wish I were rich.,Ik wenste dat ik rijk was. | Ik zou rijk willen zijn. | Was ik maar rijk.,Olisinpa rikas.,Je souhaite être riche. | Je voudrais être riche. | J'aimerais être riche.,"Ich wünschte, ich wäre reich. | Wenn ich nur reich wäre! | Schön wär’s, wenn ich reich wäre.",הלוואי והייתי עשיר. | לו הייתי עשיר.,Szeretnék gazdag lenni. | Bárcsak gazdag lennék! | Hacsak gazdag lehetnék!,Vorrei essere ricco. | Io vorrei essere ricco. | Vorrei essere ricca. | Io vorrei essere ricca.,金持ちであればいいのに。 | お金持ちだったらなあ。,但願我很有錢。,Chciałabym być bogata.,Queria ser rico. | Queria ser rica.,"Хотел бы я быть богатым. | Был бы я богатым. | Хотела бы я быть богатой. | Жаль, что я небогат. | Жаль, что я небогата.",Ojalá fuera rico. | Ojalá fuese rico. | Ojalá fuera rica. | Ojalá fuese rica. | Desearía ser rico. | Desearía ser rica.,Keşke zengin olsaydım.,"Я хотів би бути багатим. | Я хотіла би бути багатою. | Шкода, що я не багатий. | Шкода, що я не багата. | Хотів би я бути багатим. | Хотіла би я бути багатою."
3870,18631,Money talks.,Geld regeert de wereld.,Raha puhuu.,L'argent est roi.,Geld regiert die Welt.,ממון מדבר.,Pénz beszél.,I soldi parlano. | Il denaro parla.,金がものを言う。,金钱万能。,Pieniądze mają siłę przekonywania.,O dinheiro é rei. | O dinheiro fala mais alto. | O dinheiro manda.,"Деньги решают всё. | Деньги есть — Иван Петрович, денег нет — паршивый сволочь.",El dinero mueve el mundo. | Poderoso caballero es Don Dinero.,Para konuşur. | Parası olan konuşur.,Гроші вирішують усе.
